clientid,quarter,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
1.66166E+11,2018 Q2,1,0,0,1
1.66822E+11,2018 Q3,1,1,1,3
1011770,2018 Q4,1,0,0,1
1012741,2018 Q4,1,1,0,2
1014223,2018 Q4,1,0,0,1
1027494,2018 Q4,0,1,0,1
1034665,2018 Q1,1,0,1,2
1035689,2016 Q2,1,1,1,3
1035903,2017 Q1,1,1,1,3
1035936,2018 Q3,1,0,1,2
1036002,2016 Q2,0,1,0,1
1036147,2017 Q1,1,0,1,2
1036346,2016 Q2,0,0,1,1
1036544,2016 Q2,0,0,1,1
1036578,2016 Q2,0,0,1,1
1036591,2016 Q2,1,0,0,1
1036595,2016 Q2,1,0,0,1
1036596,2016 Q2,1,0,1,2
1036632,2016 Q2,0,0,0,0
1036695,2016 Q3,1,0,1,2
1036884,2016 Q2,1,0,1,2
1036893,2016 Q2,0,1,0,1
1037080,2016 Q2,1,0,1,2
1037082,2017 Q1,0,0,1,1
1037195,2016 Q2,1,0,1,2
1037253,2016 Q2,0,0,1,1
1037321,2016 Q2,0,0,0,0
1037360,2016 Q2,0,0,0,0
1037507,2016 Q2,1,1,1,3
1037538,2016 Q2,0,0,0,0
1037540,2016 Q2,1,0,0,1
1037836,2016 Q2,1,0,1,2
1037846,2016 Q2,0,1,0,1
1037849,2016 Q2,0,1,1,2
1037855,2016 Q2,1,1,1,3
1037877,2016 Q2,0,1,0,1
1037909,2016 Q2,1,1,1,3
1037916,2016 Q2,0,0,0,0
1037942,2016 Q2,1,0,0,1
1037967,2016 Q2,1,0,1,2
1037982,2016 Q2,1,0,1,2
1038057,2016 Q2,1,0,0,1
1038065,2016 Q3,1,1,1,3
1038079,2016 Q2,0,1,0,1
1038080,2016 Q2,1,0,0,1
1038081,2016 Q2,0,1,0,1
1038097,2017 Q1,1,0,1,2
1038099,2016 Q2,0,1,1,2
1038195,2016 Q2,1,0,0,1
1038198,2016 Q2,0,0,0,0
1038217,2016 Q2,0,0,0,0
1038226,2016 Q2,0,1,0,1
1038273,2016 Q3,0,0,1,1
1038278,2016 Q2,0,0,0,0
1038296,2016 Q2,0,1,0,1
1038305,2018 Q1,1,0,1,2
1038352,2016 Q3,1,0,1,2
1038366,2016 Q2,1,1,1,3
1038367,2016 Q2,1,1,1,3
1038413,2016 Q2,0,0,0,0
1038468,2016 Q2,1,0,1,2
1038473,2016 Q2,1,0,0,1
1038479,2016 Q2,1,0,0,1
1038521,2016 Q2,0,0,1,1
1038550,2017 Q2,1,1,1,3
1038574,2016 Q2,1,0,1,2
1038575,2016 Q2,1,1,0,2
1038576,2016 Q2,1,0,1,2
1038583,2018 Q3,1,1,1,3
1038636,2017 Q1,1,1,1,3
1038665,2016 Q2,0,0,1,1
1038680,2016 Q2,1,1,0,2
1038731,2016 Q2,0,0,0,0
1038733,2016 Q2,1,0,0,1
1038750,2016 Q2,0,0,1,1
1038787,2017 Q1,0,1,1,2
1038808,2017 Q1,1,1,1,3
1038826,2016 Q2,0,0,1,1
1038869,2018 Q4,1,1,1,3
1038889,2017 Q2,1,1,1,3
1038909,2016 Q2,1,1,0,2
1038936,2016 Q2,1,1,1,3
1038944,2018 Q1,1,0,1,2
1038950,2016 Q2,1,1,1,3
1038951,2017 Q1,1,1,1,3
1038995,2016 Q2,0,0,0,0
1038997,2016 Q2,0,0,1,1
1039041,2017 Q2,1,1,1,3
1039057,2016 Q2,1,1,1,3
1039096,2016 Q2,1,0,1,2
1039114,2016 Q2,0,1,1,2
1039115,2016 Q2,1,0,1,2
1039177,2016 Q2,0,1,1,2
1039217,2016 Q3,1,1,1,3
1039318,2016 Q2,0,0,1,1
1039331,2016 Q2,0,0,1,1
1039338,2016 Q2,1,0,1,2
1039371,2016 Q4,1,1,1,3
1039406,2016 Q2,1,1,1,3
1039423,2017 Q1,0,1,1,2
1039454,2016 Q2,0,0,0,0
1039468,2016 Q2,1,0,1,2
1039485,2016 Q2,1,0,0,1
1039490,2016 Q2,1,0,1,2
1039493,2016 Q3,1,0,1,2
1039500,2016 Q2,1,0,0,1
1039519,2016 Q2,1,0,1,2
1039538,2016 Q2,0,1,0,1
1039545,2016 Q2,1,1,0,2
1039584,2016 Q2,1,1,0,2
1039591,2016 Q2,1,1,0,2
1039598,2016 Q2,1,1,0,2
1039605,2016 Q2,1,1,0,2
1039607,2016 Q2,1,1,0,2
1039634,2017 Q2,1,0,0,1
1039643,2016 Q3,1,0,1,2
1039658,2017 Q1,1,1,1,3
1039718,2016 Q2,1,0,1,2
1039721,2016 Q2,0,1,0,1
1039854,2016 Q2,1,1,1,3
1040004,2016 Q2,1,1,1,3
1040005,2016 Q2,1,1,1,3
1040427,2016 Q2,1,1,0,2
1040528,2016 Q2,0,0,1,1
1040534,2016 Q2,1,1,1,3
1040570,2016 Q2,1,1,1,3
1040580,2017 Q1,1,1,1,3
1040582,2016 Q2,1,1,1,3
1040605,2016 Q2,1,1,1,3
1040606,2016 Q4,0,0,0,0
1040607,2016 Q4,0,0,0,0
1041098,2016 Q2,1,1,0,2
1041145,2016 Q2,1,1,0,2
1041155,2016 Q2,1,1,0,2
1041192,2016 Q2,1,1,0,2
1041218,2016 Q2,0,1,1,2
1041253,2016 Q2,1,1,0,2
1041258,2016 Q2,1,1,0,2
1041310,2016 Q2,1,1,1,3
1041521,2016 Q2,1,1,1,3
1041621,2018 Q2,1,1,1,3
1041622,2017 Q1,1,1,1,3
1042152,2018 Q2,1,1,1,3
1042240,2016 Q2,1,1,1,3
1042564,2016 Q2,0,0,1,1
1042611,2016 Q2,1,1,1,3
1042772,2018 Q2,0,1,1,2
1043199,2016 Q3,1,1,1,3
1043312,2016 Q2,1,1,1,3
1043480,2016 Q2,1,0,0,1
1043565,2017 Q2,1,1,1,3
1043767,2016 Q2,1,1,1,3
1044349,2016 Q2,1,0,1,2
1044399,2016 Q2,1,0,1,2
1044425,2017 Q1,1,1,1,3
1044427,2016 Q2,1,1,1,3
1044508,2016 Q2,0,0,1,1
1044511,2016 Q2,0,1,0,1
1044522,2016 Q2,1,0,1,2
1044527,2016 Q2,1,1,1,3
1044548,2016 Q2,1,0,1,2
1044551,2016 Q3,1,0,1,2
1044562,2016 Q2,1,1,1,3
1044563,2016 Q2,1,0,1,2
1044620,2016 Q2,1,1,1,3
1044637,2016 Q2,0,0,1,1
1044661,2016 Q2,1,0,1,2
1044671,2016 Q2,0,1,1,2
1044681,2016 Q2,1,1,1,3
1044706,2016 Q2,1,0,1,2
1044721,2018 Q3,0,1,1,2
1044722,2016 Q2,0,1,1,2
1044758,2016 Q2,1,0,1,2
1044764,2017 Q1,1,1,1,3
1044765,2016 Q2,1,1,1,3
1044781,2016 Q2,1,1,1,3
1044813,2017 Q1,1,1,1,3
1044827,2016 Q2,0,1,1,2
1044828,2017 Q3,1,1,1,3
1044832,2016 Q2,1,1,0,2
1044834,2017 Q1,1,1,1,3
1044835,2016 Q2,0,0,1,1
1044837,2016 Q2,0,0,1,1
1044845,2016 Q2,1,1,1,3
1044862,2016 Q2,1,1,1,3
1044887,2016 Q3,1,0,1,2
1044894,2016 Q2,0,0,1,1
1044904,2016 Q2,1,1,1,3
1044919,2016 Q2,1,0,1,2
1044924,2016 Q2,1,1,1,3
1045007,2016 Q2,0,1,1,2
1045026,2016 Q2,0,0,1,1
1045033,2016 Q2,0,0,1,1
1045038,2016 Q2,1,0,1,2
1045039,2016 Q2,1,0,1,2
1045040,2016 Q2,1,0,1,2
1045041,2016 Q2,1,0,1,2
1045042,2016 Q2,1,0,1,2
1045049,2016 Q2,1,0,1,2
1045061,2016 Q2,1,1,1,3
1045062,2016 Q2,1,0,1,2
1045063,2016 Q2,0,0,1,1
1045064,2016 Q2,1,1,1,3
1045065,2016 Q2,0,0,1,1
1045126,2016 Q2,1,0,1,2
1045127,2016 Q2,0,0,1,1
1045136,2017 Q1,1,1,1,3
1045149,2016 Q2,1,0,1,2
1045157,2016 Q2,0,0,1,1
1045184,2016 Q2,1,1,1,3
1045207,2016 Q2,1,1,1,3
1045209,2016 Q2,1,1,1,3
1045212,2016 Q2,0,0,1,1
1045218,2016 Q2,1,1,1,3
1045219,2016 Q2,1,1,1,3
1045229,2016 Q2,1,0,1,2
1045232,2017 Q2,1,1,0,2
1045305,2016 Q2,1,0,1,2
1045319,2016 Q2,1,0,1,2
1045326,2016 Q2,1,1,1,3
1045339,2016 Q2,1,1,1,3
1045340,2016 Q4,1,1,1,3
1045341,2016 Q2,1,1,1,3
1045351,2016 Q2,1,1,1,3
1045354,2017 Q3,1,1,1,3
1045355,2016 Q2,1,1,0,2
1045357,2016 Q2,1,1,0,2
1045358,2016 Q2,1,1,1,3
1045360,2017 Q1,1,1,1,3
1045362,2016 Q2,1,1,0,2
1045363,2016 Q2,1,1,0,2
1045369,2016 Q2,1,1,0,2
1045373,2016 Q2,1,1,0,2
1045374,2016 Q2,1,1,0,2
1045387,2016 Q2,0,1,1,2
1045388,2017 Q1,1,1,1,3
1045394,2016 Q2,1,1,0,2
1045407,2016 Q2,0,1,1,2
1045408,2016 Q2,0,1,0,1
1045413,2016 Q2,0,1,1,2
1045414,2017 Q1,0,0,1,1
1045415,2016 Q2,0,1,0,1
1045417,2016 Q2,1,1,1,3
1045426,2017 Q1,0,1,1,2
1045431,2016 Q2,1,1,1,3
1045433,2016 Q2,0,1,1,2
1045434,2016 Q2,1,1,1,3
1045435,2016 Q2,0,1,0,1
1045436,2016 Q2,0,1,1,2
1045437,2016 Q2,1,1,1,3
1045440,2016 Q2,0,1,1,2
1045444,2016 Q2,1,1,1,3
1045445,2016 Q2,0,1,1,2
1045446,2016 Q2,0,1,1,2
1045449,2016 Q2,0,1,1,2
1045450,2016 Q2,0,1,0,1
1045451,2016 Q2,0,1,0,1
1045452,2016 Q2,1,1,1,3
1045453,2016 Q2,0,1,1,2
1045454,2016 Q2,0,1,0,1
