,BenefitsScreening,PublicBenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
0,No,,Yes,Yes,No,No,1
1,Yes,No,Yes,Yes,Yes,Yes,3
2,Yes,No,Yes,Yes,Yes,Yes,3
3,No,,Yes,Yes,No,No,1
4,No,,Yes,Yes,No,No,1
5,No,,Yes,Yes,No,No,1
6,No,,Yes,Yes,No,No,1
7,No,,Yes,Yes,No,No,1
8,No,,Yes,Yes,No,No,1
9,No,,Yes,Yes,No,No,1
10,No,,Yes,Yes,No,No,1
11,No,,Yes,Yes,No,No,1
12,Yes,Yes,Yes,Yes,Yes,Yes,3
13,Yes,Yes,Yes,Yes,Yes,Yes,3
14,No,,Yes,Yes,No,No,1
15,No,,Yes,Yes,No,No,1
16,Yes,No,Yes,Yes,Yes,Yes,3
17,Yes,No,Yes,Yes,Yes,Yes,3
18,No,,Yes,Yes,No,No,1
19,No,,Yes,Yes,No,Yes,2
20,No,,Yes,Yes,No,No,1
21,No,No,Yes,Yes,No,No,1
22,No,,Yes,Yes,No,No,1
23,No,,Yes,Yes,No,Yes,2
24,No,,Yes,Yes,No,No,1
25,No,,Yes,Yes,No,No,1
26,No,No,Yes,Yes,Yes,Yes,3
27,No,,Yes,Yes,No,Yes,2
28,No,,Yes,Yes,No,No,1
29,No,,Yes,Yes,No,No,1
30,No,,Yes,Yes,No,No,1
31,No,,Yes,Yes,No,No,1
32,No,,Yes,Yes,No,No,1
33,No,,Yes,Yes,No,No,1
34,No,,Yes,Yes,No,No,1
35,No,No,Yes,Yes,No,No,1
36,No,,Yes,Yes,No,No,1
37,No,,Yes,Yes,No,No,1
38,No,,Yes,Yes,No,No,1
39,No,,Yes,Yes,No,No,1
40,Yes,Yes,Yes,Yes,Yes,Yes,3
41,Yes,Yes,Yes,Yes,Yes,Yes,3
42,No,,Yes,Yes,No,No,1
43,No,,Yes,Yes,No,No,1
44,No,,Yes,Yes,No,No,1
45,No,,Yes,Yes,No,Yes,2
46,No,,Yes,Yes,No,No,1
47,No,,Yes,Yes,No,No,1
48,No,,Yes,Yes,No,No,1
49,No,Yes,Yes,Yes,No,No,1
50,No,,Yes,Yes,No,No,1
51,No,,Yes,Yes,No,No,1
52,No,,Yes,Yes,No,No,1
53,No,,Yes,Yes,No,No,1
54,No,,Yes,Yes,No,No,1
55,No,,Yes,Yes,No,No,1
56,No,,Yes,Yes,No,No,1
57,No,,Yes,Yes,No,No,1
58,No,,Yes,Yes,No,No,1
59,No,,Yes,Yes,No,No,1
60,No,,Yes,Yes,No,No,1
61,No,,Yes,Yes,No,No,1
62,No,No,Yes,Yes,No,No,1
63,No,,Yes,Yes,No,No,1
64,No,Yes,Yes,Yes,No,Yes,2
65,No,Yes,Yes,Yes,No,Yes,2
66,No,,Yes,Yes,No,No,1
67,No,,Yes,Yes,No,No,1
68,No,,Yes,Yes,No,No,1
69,No,No,Yes,Yes,No,Yes,2
70,No,,Yes,Yes,No,No,1
71,No,,Yes,Yes,No,No,1
72,No,,Yes,Yes,No,No,1
73,No,,Yes,Yes,No,Yes,2
74,No,,Yes,Yes,No,No,1
75,No,,Yes,Yes,No,No,1
76,No,Yes,Yes,Yes,No,Yes,2
77,No,,Yes,Yes,No,No,1
78,No,,Yes,Yes,No,No,1
79,No,,Yes,Yes,No,No,1
80,No,,Yes,Yes,No,No,1
81,No,Yes,Yes,Yes,No,No,1
82,No,,Yes,Yes,No,No,1
83,No,,Yes,Yes,No,No,1
84,No,,Yes,Yes,No,No,1
85,No,,Yes,Yes,No,No,1
86,No,,Yes,Yes,No,No,1
87,No,,Yes,Yes,No,No,1
88,No,,Yes,Yes,No,No,1
89,No,,Yes,Yes,No,No,1
90,No,,Yes,Yes,No,No,1
91,Yes,No,Yes,Yes,Yes,Yes,3
92,Yes,Yes,Yes,Yes,Yes,Yes,3
93,Yes,Yes,Yes,Yes,Yes,Yes,3
94,Yes,Yes,Yes,Yes,Yes,Yes,3
95,No,,Yes,Yes,No,No,1
96,No,,Yes,Yes,No,No,1
97,No,,Yes,Yes,No,No,1
98,No,,Yes,Yes,No,No,1
99,No,Yes,Yes,Yes,No,Yes,2
100,No,,Yes,Yes,No,No,1
101,No,,Yes,Yes,No,No,1
102,No,,Yes,Yes,No,No,1
103,No,,Yes,Yes,No,No,1
104,No,No,Yes,Yes,No,Yes,2
105,No,,Yes,Yes,No,No,1
106,No,,Yes,Yes,No,Yes,2
107,No,,Yes,Yes,No,No,1
108,No,,Yes,Yes,No,No,1
109,No,,Yes,Yes,No,No,1
110,No,Yes,Yes,Yes,No,No,1
111,No,,Yes,Yes,No,No,1
112,No,,Yes,Yes,No,No,1
113,No,,Yes,Yes,No,No,1
114,No,,Yes,Yes,No,No,1
115,No,,Yes,Yes,No,No,1
116,No,,Yes,Yes,No,No,1
117,No,,Yes,Yes,No,No,1
118,No,,Yes,Yes,No,No,1
119,No,,Yes,Yes,No,No,1
120,No,,Yes,Yes,No,No,1
121,No,,Yes,Yes,No,No,1
122,No,,Yes,Yes,No,No,1
123,No,No,Yes,Yes,No,No,1
124,No,,Yes,Yes,No,No,1
125,No,,Yes,Yes,No,No,1
126,No,,Yes,Yes,No,No,1
127,No,,Yes,Yes,No,No,1
128,No,,Yes,Yes,No,No,1
129,No,,Yes,Yes,No,No,1
130,No,,Yes,Yes,No,No,1
131,No,,Yes,Yes,No,No,1
132,No,,Yes,Yes,No,Yes,2
133,No,,Yes,Yes,No,No,1
134,No,,Yes,Yes,No,No,1
135,No,,Yes,Yes,No,No,1
136,No,,Yes,Yes,No,Yes,2
137,No,,Yes,Yes,No,No,1
138,No,,Yes,Yes,No,No,1
139,No,,Yes,Yes,No,No,1
140,No,,Yes,Yes,No,No,1
141,No,,Yes,Yes,No,No,1
142,No,,Yes,Yes,No,No,1
143,No,,Yes,Yes,No,No,1
144,No,,Yes,Yes,No,No,1
145,No,,Yes,Yes,No,No,1
146,No,,Yes,Yes,No,No,1
147,No,,Yes,Yes,No,No,1
148,No,,Yes,Yes,No,No,1
149,No,,Yes,Yes,No,No,1
150,No,,Yes,Yes,No,No,1
151,No,,Yes,Yes,No,No,1
152,No,Yes,Yes,Yes,No,Yes,2
153,No,,Yes,Yes,No,No,1
154,No,,Yes,Yes,No,No,1
155,No,,Yes,Yes,No,No,1
156,No,,Yes,Yes,No,No,1
157,No,,Yes,Yes,No,No,1
158,No,,Yes,Yes,No,No,1
159,No,,Yes,Yes,No,No,1
160,No,,Yes,Yes,No,No,1
161,No,,Yes,Yes,No,No,1
162,No,,Yes,Yes,No,Yes,2
163,No,,Yes,Yes,No,No,1
164,No,,Yes,Yes,No,No,1
165,No,,Yes,Yes,No,No,1
166,Yes,Yes,Yes,Yes,Yes,Yes,3
167,Yes,Yes,Yes,Yes,Yes,Yes,3
168,No,,Yes,Yes,No,No,1
169,No,,Yes,Yes,No,No,1
170,No,,Yes,Yes,No,No,1
171,No,,Yes,Yes,No,No,1
172,No,,Yes,Yes,No,No,1
173,No,,Yes,Yes,No,No,1
174,Yes,Yes,Yes,Yes,Yes,Yes,3
175,Yes,No,Yes,Yes,Yes,Yes,3
176,Yes,No,Yes,Yes,Yes,Yes,3
177,No,No,Yes,Yes,No,No,1
178,No,,Yes,Yes,No,No,1
179,No,,Yes,Yes,No,No,1
180,No,,Yes,Yes,No,No,1
181,No,,Yes,Yes,No,No,1
182,No,Yes,Yes,Yes,No,Yes,2
183,No,,Yes,Yes,No,No,1
184,No,,Yes,Yes,No,No,1
185,No,,Yes,Yes,No,No,1
186,No,,Yes,Yes,No,No,1
187,No,,Yes,Yes,No,No,1
188,No,,Yes,Yes,No,No,1
189,No,,Yes,Yes,No,No,1
190,No,,Yes,Yes,No,No,1
191,No,,Yes,Yes,No,No,1
192,No,,Yes,Yes,No,No,1
193,No,,Yes,Yes,No,No,1
194,No,,Yes,Yes,No,Yes,2
195,No,,Yes,Yes,No,No,1
196,No,,Yes,Yes,No,No,1
197,No,,Yes,Yes,No,No,1
198,No,,Yes,Yes,No,No,1
199,No,,Yes,Yes,No,No,1
200,No,,Yes,Yes,No,No,1
201,No,,Yes,Yes,No,No,1
202,No,No,Yes,Yes,No,Yes,2
203,No,,Yes,Yes,No,No,1
204,No,,Yes,Yes,No,No,1
205,No,,Yes,Yes,No,No,1
206,No,,Yes,Yes,No,No,1
207,No,,Yes,Yes,No,No,1
208,No,,Yes,Yes,No,No,1
209,No,,Yes,Yes,No,No,1
210,No,,Yes,Yes,No,No,1
211,No,,Yes,Yes,No,No,1
212,No,,Yes,Yes,No,No,1
213,No,,Yes,Yes,No,No,1
214,No,,Yes,Yes,No,No,1
215,No,,Yes,Yes,No,No,1
216,No,,Yes,Yes,No,No,1
217,No,,Yes,Yes,No,No,1
218,No,,Yes,Yes,No,No,1
219,No,,Yes,Yes,No,No,1
220,No,,Yes,Yes,No,No,1
221,No,,Yes,Yes,No,No,1
222,No,,Yes,Yes,No,No,1
223,Yes,No,Yes,Yes,Yes,Yes,3
224,Yes,No,Yes,Yes,Yes,Yes,3
225,No,,Yes,Yes,No,No,1
226,No,,Yes,Yes,No,Yes,2
227,No,No,Yes,Yes,No,No,1
228,No,Yes,Yes,Yes,No,No,1
229,No,,Yes,Yes,No,No,1
230,No,,Yes,Yes,No,No,1
231,No,,Yes,Yes,No,No,1
232,No,No,Yes,Yes,No,Yes,2
233,No,,Yes,Yes,No,No,1
234,No,,Yes,Yes,No,No,1
235,No,,Yes,Yes,No,No,1
236,No,,Yes,Yes,No,No,1
237,No,No,Yes,Yes,No,Yes,2
238,No,Yes,Yes,Yes,No,No,1
239,No,Yes,Yes,Yes,No,Yes,2
240,No,No,Yes,Yes,No,Yes,2
241,No,No,Yes,Yes,No,No,1
242,No,,Yes,Yes,No,No,1
243,No,,Yes,Yes,No,No,1
244,No,,Yes,Yes,No,No,1
245,No,,Yes,Yes,No,No,1
246,No,,Yes,Yes,No,No,1
247,No,,Yes,Yes,No,No,1
248,No,,Yes,Yes,No,No,1
249,No,,Yes,Yes,No,No,1
250,No,,Yes,Yes,No,No,1
