,ClientID,Quarter,Baseline,date
0,1211064,2019 Q1,0,2019-01-01
1,1211514,2019 Q1,1,2019-01-01
2,1211514,2019 Q1,0,2019-01-01
3,1219745,2019 Q1,0,2019-01-01
4,1225338,2019 Q1,0,2019-01-01
5,1225647,2019 Q1,0,2019-01-01
6,1226161,2019 Q1,0,2019-01-01
7,1228718,2019 Q1,0,2019-01-01
8,1229738,2019 Q1,0,2019-01-01
9,1234970,2019 Q1,0,2019-01-01
10,1235665,2019 Q1,0,2019-01-01
11,1235707,2019 Q1,0,2019-01-01
12,1236476,2019 Q1,1,2019-01-01
13,1236476,2019 Q1,0,2019-01-01
14,1236662,2019 Q1,0,2019-01-01
15,1236788,2019 Q1,0,2019-01-01
16,1238832,2019 Q1,1,2019-01-01
17,1238832,2019 Q1,0,2019-01-01
18,1240386,2019 Q1,0,2019-01-01
19,1240434,2019 Q1,0,2019-01-01
20,1241151,2019 Q1,0,2019-01-01
21,1241690,2019 Q1,0,2019-01-01
22,1243166,2019 Q1,0,2019-01-01
23,1244828,2019 Q1,0,2019-01-01
24,1244917,2019 Q1,0,2019-01-01
25,1246281,2019 Q1,0,2019-01-01
26,1246777,2019 Q1,0,2019-01-01
27,1247825,2019 Q1,0,2019-01-01
28,1247996,2019 Q1,0,2019-01-01
29,1248492,2019 Q1,0,2019-01-01
30,1248703,2019 Q1,0,2019-01-01
31,1248937,2019 Q1,0,2019-01-01
32,1249789,2019 Q1,0,2019-01-01
33,1250431,2019 Q1,0,2019-01-01
34,1250590,2019 Q1,0,2019-01-01
35,1251154,2019 Q1,0,2019-01-01
36,1251515,2019 Q1,0,2019-01-01
37,1251933,2019 Q1,0,2019-01-01
38,1252195,2019 Q1,0,2019-01-01
39,1252209,2019 Q1,0,2019-01-01
40,1252329,2019 Q1,1,2019-01-01
41,1252329,2019 Q1,0,2019-01-01
42,1253037,2019 Q1,0,2019-01-01
43,1256957,2019 Q1,0,2019-01-01
44,1257195,2019 Q1,0,2019-01-01
45,1258916,2019 Q1,0,2019-01-01
46,1260178,2019 Q1,0,2019-01-01
47,1263158,2019 Q1,0,2019-01-01
48,1263881,2019 Q1,0,2019-01-01
49,1264316,2019 Q1,0,2019-01-01
50,1265559,2019 Q1,0,2019-01-01
51,1266587,2019 Q1,0,2019-01-01
52,1267296,2019 Q1,0,2019-01-01
53,1267299,2019 Q1,0,2019-01-01
54,1267700,2019 Q1,0,2019-01-01
55,1267805,2019 Q1,0,2019-01-01
56,1268596,2019 Q1,0,2019-01-01
57,1268938,2019 Q1,0,2019-01-01
58,1269080,2019 Q1,0,2019-01-01
59,1269120,2019 Q1,0,2019-01-01
60,1269215,2019 Q1,0,2019-01-01
61,1269266,2019 Q1,0,2019-01-01
62,1269376,2019 Q1,0,2019-01-01
63,1269568,2019 Q1,0,2019-01-01
64,1269657,2019 Q1,1,2019-01-01
65,1269657,2019 Q1,0,2019-01-01
66,1270272,2019 Q1,0,2019-01-01
67,1270354,2019 Q1,0,2019-01-01
68,1270928,2019 Q1,0,2019-01-01
69,1270933,2019 Q1,0,2019-01-01
70,1270958,2019 Q1,0,2019-01-01
71,1271230,2019 Q1,0,2019-01-01
72,1271386,2019 Q1,0,2019-01-01
73,1271422,2019 Q1,0,2019-01-01
74,1272103,2019 Q1,0,2019-01-01
75,1273012,2019 Q1,0,2019-01-01
76,1273230,2019 Q1,0,2019-01-01
77,1273289,2019 Q1,0,2019-01-01
78,1273588,2019 Q1,0,2019-01-01
79,1273663,2019 Q1,0,2019-01-01
80,1273736,2019 Q1,0,2019-01-01
81,1273740,2019 Q1,0,2019-01-01
82,1273892,2019 Q1,0,2019-01-01
83,1273894,2019 Q1,0,2019-01-01
84,1273925,2019 Q1,0,2019-01-01
85,1274090,2019 Q1,0,2019-01-01
86,1274107,2019 Q1,0,2019-01-01
87,1274108,2019 Q1,0,2019-01-01
88,1274109,2019 Q1,0,2019-01-01
89,1274110,2019 Q1,0,2019-01-01
90,1274419,2019 Q1,0,2019-01-01
91,1274425,2019 Q1,1,2019-01-01
92,1274425,2019 Q1,0,2019-01-01
93,1274437,2019 Q1,1,2019-01-01
94,1274437,2019 Q1,0,2019-01-01
95,1274537,2019 Q1,0,2019-01-01
96,1274673,2019 Q1,0,2019-01-01
97,1274706,2019 Q1,0,2019-01-01
98,1274707,2019 Q1,0,2019-01-01
99,1274708,2019 Q1,0,2019-01-01
100,1274740,2019 Q1,0,2019-01-01
101,1275086,2019 Q1,0,2019-01-01
102,1275200,2019 Q1,0,2019-01-01
103,1275203,2019 Q1,0,2019-01-01
104,1275221,2019 Q1,0,2019-01-01
105,1275239,2019 Q1,0,2019-01-01
