,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
0,No,Not employed,,,No,No
1,Yes,Not employed,,,Yes,Yes
2,Yes,Not employed,,,Yes,Yes
3,No,Employed Full Time,2018-12-20,Yes,No,No
4,No,Not employed,,,No,No
5,No,Employed Full Time,2017-11-17,Yes,No,No
6,No,Not employed,,,No,No
7,No,Not employed,,,No,No
8,No,Employed Part Time,2015-08-01,Yes,No,No
9,No,Not employed,,,No,No
10,No,Employed Full Time,2017-12-14,Yes,No,No
11,No,Not employed,,,No,No
12,Yes,Not employed,,,Yes,Yes
13,Yes,Not employed,,,Yes,Yes
14,No,Employed Full Time,2018-03-28,Yes,No,No
15,No,Not employed,,,No,No
16,Yes,Not employed,,,Yes,Yes
17,Yes,Not employed,,,Yes,Yes
18,No,Not employed,,,No,No
19,No,Not employed,,,No,No
20,No,Employed Full Time,2018-03-29,Yes,No,No
21,No,Employed Full Time,2019-01-08,No,No,No
22,No,Not employed,,,No,No
23,No,Employed Full Time,2016-05-16,Yes,No,No
24,No,Employed Full Time,2017-05-29,Yes,No,No
25,No,Employed Full Time,2018-08-06,Yes,No,No
26,Yes,Employed Full Time,2018-06-01,Yes,No,No
27,No,Employed Full Time,2018-08-27,Yes,No,No
28,No,Employed Full Time,2017-01-02,Yes,No,No
29,No,Not employed,,,No,No
30,No,Employed Full Time,2016-11-01,Yes,No,No
31,No,Employed Part Time,2016-05-14,Yes,No,No
32,No,Employed Full Time,2018-02-01,Yes,No,No
33,No,Employed Full Time,2017-01-31,Yes,Yes,No
34,No,Not employed,,,No,No
35,No,Employed Full Time,2018-11-20,Yes,No,No
36,No,Not employed,,,No,No
37,No,Not employed,,,No,No
38,No,Not employed,,,No,No
39,No,Employed Full Time,2017-03-11,Yes,No,No
40,Yes,Not employed,,,Yes,Yes
41,Yes,Not employed,,,Yes,Yes
42,No,Not employed,,,No,No
43,No,Employed Full Time,2018-09-10,Yes,No,No
44,No,Not employed,,,No,No
45,No,Not employed,,,No,No
46,No,Employed Full Time,2017-05-23,Yes,No,No
47,No,Employed Full Time,2017-08-15,Yes,No,No
48,No,Employed Full Time,2016-08-01,Yes,No,No
49,No,Not employed,,,No,No
50,No,Not employed,,,No,No
51,No,Employed Part Time,2017-02-01,Yes,No,No
52,No,Employed Full Time,2016-04-01,Yes,No,No
53,No,Employed Full Time,2015-10-15,Yes,No,No
54,No,Employed Part Time,2017-06-27,Yes,No,No
55,No,Employed Full Time,2018-08-06,Yes,No,No
56,No,Not employed,,,No,No
57,No,Not employed,,,No,No
58,No,Employed Full Time,2017-03-10,Yes,No,No
59,No,Employed Full Time,2015-12-01,Yes,No,No
60,No,Employed Full Time,2016-09-23,Yes,No,No
61,No,Not employed,,,No,No
62,No,Employed Full Time,2018-01-05,Yes,No,No
63,No,Not employed,,,No,No
64,No,Employed Full Time,2017-12-11,Yes,No,No
65,No,Employed Full Time,2017-12-11,Yes,No,No
66,No,Employed Full Time,2016-08-16,Yes,No,No
67,No,Employed Full Time,2018-06-07,Yes,No,No
68,No,Not employed,,,No,No
69,No,Employed Full Time,2018-08-09,Yes,No,No
70,No,Not employed,,,No,No
71,No,Employed Full Time,2017-11-29,Yes,No,No
72,No,Employed Full Time,2018-09-10,Yes,No,No
73,No,Employed Full Time,2018-11-13,Yes,No,No
74,No,Employed Part Time,2017-06-27,Yes,No,No
75,No,Employed Full Time,2017-02-27,Yes,Yes,No
76,No,Employed Full Time,2018-06-04,Yes,No,No
77,No,Employed Full Time,2016-12-15,Yes,No,No
78,No,Employed Full Time,2016-06-21,Yes,No,No
79,No,Employed Full Time,2016-06-21,Yes,No,No
80,No,Not employed,,,No,No
81,No,Employed Part Time,2019-03-04,No,No,No
82,No,Employed Full Time,2018-03-14,Yes,No,No
83,No,Not employed,,,No,No
84,No,Not employed,,,No,No
85,No,Employed Full Time,2016-02-02,Yes,No,No
86,No,Employed Full Time,2016-10-04,Yes,No,No
87,No,Not employed,,,No,No
88,No,Employed Full Time,2016-05-16,Yes,No,No
89,No,Not employed,,,No,No
90,No,Not employed,,,No,No
91,Yes,Employed Part Time,2019-03-14,No,Yes,Yes
92,Yes,Employed Part Time,2019-03-14,No,Yes,Yes
93,Yes,Not employed,,,Yes,Yes
94,Yes,Not employed,,,Yes,Yes
95,No,Employed Full Time,2018-06-07,Yes,No,No
96,No,Employed Full Time,2016-01-01,Yes,No,No
97,No,Employed Full Time,2016-08-15,Yes,No,No
98,No,Not employed,,,No,No
99,No,Employed Full Time,2016-10-03,Yes,No,No
100,No,Employed Full Time,2016-08-01,Yes,No,No
101,No,Not employed,,,No,No
102,No,Not employed,,,Yes,No
103,No,Employed Full Time,2017-05-11,Yes,No,No
104,No,Employed Part Time,2016-05-13,Yes,No,No
105,No,Employed Full Time,2018-06-25,Yes,No,No
106,No,Employed Full Time,2017-09-14,Yes,No,No
107,No,Not employed,,,No,No
108,No,Employed Full Time,2016-10-04,Yes,No,No
109,No,Employed Full Time,2016-10-05,Yes,No,No
110,No,Not employed,,,No,No
