,FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
0,,,,,,
1,Yes,Very confident,No,No,Yes,No
2,Yes,Very confident,No,No,Yes,No
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,Yes,Very confident,No,No,No,No
13,Yes,Very confident,No,No,No,No
14,,,,,,
15,,,,,,
16,No,Somewhat confident,No,No,No,No
17,No,Somewhat confident,No,No,No,No
18,,,,,,
19,,,,,,
20,,,,,,
21,No,Not at all confident,No,No,No,No
22,,,,,,
23,,,,,,
24,,,,,,
25,No,Very confident,No,Yes,Yes,Yes
26,No,Very confident,No,Yes,Yes,Yes
27,Yes,Somewhat confident,No,Yes,Yes,No
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,No,Very confident,No,No,No,No
41,No,Very confident,No,No,No,No
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,Yes,Somewhat confident,Yes,Yes,No,No
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,No,Somewhat confident,No,Yes,Yes,Yes
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,No,Very confident,No,Yes,Yes,Yes
65,No,Very confident,No,Yes,Yes,Yes
66,,,,,,
67,,,,,,
68,,,,,,
69,Yes,Very confident,Yes,Yes,Yes,No
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,Yes,Somewhat confident,No,No,No,Yes
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,Yes,Very confident,No,No,No,No
92,Yes,Very confident,No,No,No,No
93,No,Very confident,No,No,No,No
94,No,Very confident,No,No,No,No
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,Yes,Very confident,Yes,Yes,Yes,Yes
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,Yes,Very confident,Yes,No,Yes,No
121,,,,,,
122,Yes,Very confident,Yes,Yes,Yes,No
123,,,,,,
124,No,Somewhat confident,Yes,Yes,No,No
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,Yes,Very confident,No,Yes,Yes,No
153,,,,,,
154,,,,,,
155,Yes,Very confident,Yes,Yes,No,No
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,Yes,Very confident,No,No,No,No
167,Yes,Very confident,No,No,No,No
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,No,Very confident,No,No,No,No
175,No,Somewhat confident,No,No,No,No
176,No,Somewhat confident,No,No,No,No
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,No,Very confident,No,Yes,No,No
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,Yes,Very confident,Yes,Yes,No,No
203,No,Somewhat confident,No,Yes,Yes,No
204,,,,,,
205,,,,,,
206,,,,,,
