,Wages1,Hours1,Wages2,Hours2
0,,,,
1,,,,
2,,,,
3,30,40,,
4,,,,
5,10,40,,
6,,,,
7,,,,
8,10,25,,
9,,,,
10,14,40,,
11,,,,
12,,,,
13,,,,
14,10,25,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,12.25,40,,
21,9.5,40,,
22,,,,
23,9.5,20,,
24,17.18,40,,
25,11,25,,
26,11,25,,
27,40,13,,
28,8,40,,
29,,,,
30,10,35,,
31,11,20,,
32,10,40,,
33,13,40,,
34,,,,
35,12,40,,
36,,,,
37,,,,
38,,,,
39,10,30,,
40,,,,
41,,,,
42,,,,
43,14,40,,
44,,,,
45,,,,
46,9.5,40,,
47,10,40,,
48,13,50,,
49,,,,
50,,,,
51,7.25,20,,
52,12.5,30,,
53,13,40,,
54,10,32,,
55,11.5,40,,
56,,,,
57,,,,
58,10,16,,
59,16,40,,
60,10.5,56,,
61,,,,
62,10.5,40,,
63,,,,
64,13,40,,
65,13,40,,
66,13,40,,
67,9,35,,
68,,,,
69,14,40,,
70,,,,
71,10,20,,
72,7.5,22,,
73,12,30,,
74,10,32,,
75,10.5,40,,
76,7.25,18,,
77,9,40,,
78,17,40,,
79,12,40,,
80,,,,
81,12,20,,
82,15,60,,
83,,,,
84,,,,
85,8,44,,
86,16.5,40,,
87,,,,
88,14.5,40,,
89,,,,
90,,,,
91,13.5,30,,
92,13.5,30,,
93,,,,
94,,,,
95,14,40,,
96,35.31,40,,
97,9.5,40,,
98,,,,
99,20,10,,
100,19,40,,
101,,,,
102,,,,
103,12,40,,
104,8,30,,
105,10,16,,
106,17,40,,
107,,,,
108,14,40,,
109,9,40,,
110,,,,
111,13,40,,
112,8,35,,
113,,,,
114,,,,
115,,,,
116,20,40,,
117,7.25,30,,
118,12,40,,
119,10,40,,
120,7.75,23,,
121,13.25,40,,
122,15,40,,
123,,,,
124,12.5,40,,
125,9.25,48,,
126,10,40,,
127,,,,
128,35,40,,
129,,,,
130,9.35,25,,
131,16,40,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,11,40,,
138,19,40,,
139,,,,
140,16,40,,
141,9,15,,
142,,,,
143,12,40,,
144,9,40,,
145,9.5,40,,
146,,,,
147,15.65,72,,
148,,,,
149,,,,
150,10,40,,
151,10,40,,
152,11.5,40,,
153,12,40,,
154,11.5,20,,
155,,,,
156,16.5,40,,
157,9,40,,
158,,,,
159,13,40,,
160,14,40,,
161,10,35,,
162,9.75,15,,
163,,,,
164,,,,
165,11,35,,
166,12,20,,
167,12,20,,
168,20,40,,
169,14.5,25,,
170,10.3,30,,
171,8,35,,
172,12,40,,
173,7.5,40,,
174,,,,
175,,,,
176,,,,
177,12,36,,
178,12,40,,
179,12,40,,
180,12,40,,
181,10,49,,
182,9,40,,
183,,,,
184,15,40,,
185,8.5,40,,
