,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
0,0,3,,,0,0
1,1,3,,,1,1
2,1,3,,,1,1
3,0,1,2018-12-20 00:00:00,1.0,0,0
4,0,3,,,0,0
5,0,1,2017-11-17 00:00:00,1.0,0,0
6,0,3,,,0,0
7,0,3,,,0,0
8,0,2,2015-08-01 00:00:00,1.0,0,0
9,0,3,,,0,0
10,0,1,2017-12-14 00:00:00,1.0,0,0
11,0,3,,,0,0
12,1,3,,,1,1
13,1,3,,,1,1
14,0,1,2018-03-28 00:00:00,1.0,0,0
15,0,3,,,0,0
16,1,3,,,1,1
17,1,3,,,1,1
18,0,3,,,0,0
19,0,3,,,0,0
20,0,1,2018-03-29 00:00:00,1.0,0,0
21,0,1,2019-01-08 00:00:00,0.0,0,0
22,0,3,,,0,0
23,0,1,2016-05-16 00:00:00,1.0,0,0
24,0,1,2017-05-29 00:00:00,1.0,0,0
25,0,1,2018-08-06 00:00:00,1.0,0,0
26,1,1,2018-06-01 00:00:00,1.0,0,0
27,0,1,2018-08-27 00:00:00,1.0,0,0
28,0,1,2017-01-02 00:00:00,1.0,0,0
29,0,3,,,0,0
30,0,1,2016-11-01 00:00:00,1.0,0,0
31,0,2,2016-05-14 00:00:00,1.0,0,0
32,0,1,2018-02-01 00:00:00,1.0,0,0
33,0,1,2017-01-31 00:00:00,1.0,1,0
34,0,3,,,0,0
35,0,1,2018-11-20 00:00:00,1.0,0,0
36,0,3,,,0,0
37,0,3,,,0,0
38,0,3,,,0,0
39,0,1,2017-03-11 00:00:00,1.0,0,0
40,1,3,,,1,1
41,1,3,,,1,1
42,0,3,,,0,0
43,0,1,2018-09-10 00:00:00,1.0,0,0
44,0,3,,,0,0
45,0,3,,,0,0
46,0,1,2017-05-23 00:00:00,1.0,0,0
47,0,1,2017-08-15 00:00:00,1.0,0,0
48,0,1,2016-08-01 00:00:00,1.0,0,0
49,0,3,,,0,0
50,0,3,,,0,0
51,0,2,2017-02-01 00:00:00,1.0,0,0
52,0,1,2016-04-01 00:00:00,1.0,0,0
53,0,1,2015-10-15 00:00:00,1.0,0,0
54,0,2,2017-06-27 00:00:00,1.0,0,0
55,0,1,2018-08-06 00:00:00,1.0,0,0
56,0,3,,,0,0
57,0,3,,,0,0
