,Savings,CreditScore,Debt
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,0.0,517.0,2360.0
17,0.0,517.0,2360.0
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,800.0,,1606.0
27,100.0,580.0,2738.0
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,0.0,504.0,0.0
41,0.0,504.0,0.0
42,,,
43,145.0,,2075.0
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,200.0,,0.0
60,,,
61,,,
62,,,
63,,,
64,0.0,,640.0
65,0.0,,640.0
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,0.0,,58000.0
74,,,
75,,,
76,,,
77,20.0,,25000.0
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,976.0,,
92,976.0,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,0.0,,0.0
100,,,
101,,,
102,,,
103,,,
104,50.0,610.0,15742.0
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,7500.0,,19900.0
121,,,
122,1000.0,,63680.0
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,1100.0,589.0,7448.0
153,,,
154,,,
155,20.0,,0.0
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,0.0,,
167,0.0,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,0.0,,0.0
176,0.0,,0.0
177,,,
178,,,
179,,,
180,,,
181,,,
182,0.0,436.0,10000.0
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,0.0,,
224,0.0,,
225,,,
226,,,
227,800.0,,45391.0
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,1000.0,,0.0
245,,,
