,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
0,,,,,
1,2.0,0.0,0.0,1.0,0.0
2,2.0,0.0,0.0,1.0,0.0
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,2.0,0.0,0.0,0.0,0.0
13,2.0,0.0,0.0,0.0,0.0
14,,,,,
15,,,,,
16,1.0,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0,0.0
18,,,,,
19,,,,,
20,,,,,
21,0.0,0.0,0.0,0.0,0.0
22,,,,,
23,,,,,
24,,,,,
25,2.0,0.0,1.0,1.0,1.0
26,2.0,0.0,1.0,1.0,1.0
27,1.0,0.0,1.0,1.0,0.0
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,2.0,0.0,0.0,0.0,0.0
41,2.0,0.0,0.0,0.0,0.0
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,1.0,1.0,1.0,0.0,0.0
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,1.0,0.0,1.0,1.0,1.0
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,2.0,0.0,1.0,1.0,1.0
65,2.0,0.0,1.0,1.0,1.0
66,,,,,
67,,,,,
68,,,,,
69,2.0,1.0,1.0,1.0,0.0
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,1.0,0.0,0.0,0.0,1.0
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,2.0,0.0,0.0,0.0,0.0
92,2.0,0.0,0.0,0.0,0.0
93,2.0,0.0,0.0,0.0,0.0
94,2.0,0.0,0.0,0.0,0.0
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,2.0,1.0,1.0,1.0,1.0
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,2.0,1.0,0.0,1.0,0.0
121,,,,,
122,2.0,1.0,1.0,1.0,0.0
123,,,,,
124,1.0,1.0,1.0,0.0,0.0
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,2.0,0.0,1.0,1.0,0.0
153,,,,,
154,,,,,
155,2.0,1.0,1.0,0.0,0.0
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,2.0,0.0,0.0,0.0,0.0
167,2.0,0.0,0.0,0.0,0.0
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,2.0,0.0,0.0,0.0,0.0
175,1.0,0.0,0.0,0.0,0.0
176,1.0,0.0,0.0,0.0,0.0
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,2.0,0.0,1.0,0.0,0.0
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,2.0,1.0,1.0,0.0,0.0
203,1.0,0.0,1.0,1.0,0.0
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,2.0,0.0,0.0,0.0,0.0
224,2.0,0.0,0.0,0.0,0.0
225,,,,,
226,,,,,
227,2.0,1.0,1.0,1.0,0.0
228,1.0,0.0,0.0,0.0,1.0
229,,,,,
230,,,,,
231,,,,,
232,0.0,0.0,0.0,1.0,0.0
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,2.0,0.0,1.0,1.0,0.0
238,1.0,0.0,1.0,1.0,1.0
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,2.0,1.0,1.0,1.0,0.0
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,2.0,0.0,0.0,0.0,0.0
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,1.0,0.0,1.0,0.0,1.0
283,1.0,0.0,0.0,1.0,0.0
284,,,,,
285,2.0,0.0,1.0,0.0,0.0
286,,,,,
287,,,,,
288,,,,,
289,2.0,0.0,0.0,1.0,0.0
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,2.0,0.0,0.0,0.0,0.0
298,2.0,0.0,0.0,0.0,0.0
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,2.0,0.0,0.0,0.0,0.0
317,2.0,0.0,0.0,0.0,0.0
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,2.0,0.0,1.0,1.0,0.0
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,1.0,0.0,0.0,0.0,0.0
331,,,,,
332,2.0,1.0,1.0,1.0,0.0
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,2.0,0.0,0.0,0.0,0.0
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,2.0,0.0,0.0,0.0,0.0
362,,,,,
363,,,,,
364,2.0,0.0,0.0,1.0,1.0
365,2.0,1.0,1.0,1.0,0.0
366,,,,,
367,,,,,
368,2.0,0.0,0.0,1.0,0.0
369,,,,,
370,2.0,0.0,0.0,0.0,0.0
371,2.0,0.0,0.0,0.0,0.0
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,1.0,0.0,1.0,0.0,1.0
384,2.0,1.0,1.0,0.0,0.0
385,2.0,1.0,1.0,1.0,0.0
386,2.0,0.0,1.0,1.0,0.0
387,,,,,
388,,,,,
389,1.0,0.0,0.0,0.0,0.0
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,2.0,1.0,1.0,1.0,0.0
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,2.0,0.0,1.0,1.0,0.0
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,1.0,0.0,1.0,0.0,0.0
411,,,,,
412,,,,,
413,1.0,0.0,0.0,1.0,0.0
414,,,,,
415,2.0,0.0,0.0,0.0,0.0
