,Wages1,Hours1,Wages2,Hours2
0,,,,
1,,,,
2,,,,
3,30.0,40.0,,
4,,,,
5,10.0,40.0,,
6,,,,
7,,,,
8,10.0,25.0,,
9,,,,
10,14.0,40.0,,
11,,,,
12,,,,
13,,,,
14,10.0,25.0,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,12.25,40.0,,
21,9.5,40.0,,
22,,,,
23,9.5,20.0,,
24,17.18,40.0,,
25,11.0,25.0,,
26,11.0,25.0,,
27,40.0,13.0,,
28,8.0,40.0,,
29,,,,
30,10.0,35.0,,
31,11.0,20.0,,
32,10.0,40.0,,
33,13.0,40.0,,
34,,,,
35,12.0,40.0,,
36,,,,
37,,,,
38,,,,
39,10.0,30.0,,
40,,,,
41,,,,
42,,,,
43,14.0,40.0,,
44,,,,
45,,,,
46,9.5,40.0,,
47,10.0,40.0,,
48,13.0,50.0,,
49,,,,
50,,,,
51,7.25,20.0,,
52,12.5,30.0,,
53,13.0,40.0,,
54,10.0,32.0,,
55,11.5,40.0,,
56,,,,
57,,,,
58,10.0,16.0,,
59,16.0,40.0,,
60,10.5,56.0,,
61,,,,
62,10.5,40.0,,
63,,,,
64,13.0,40.0,,
65,13.0,40.0,,
66,13.0,40.0,,
67,9.0,35.0,,
68,,,,
69,14.0,40.0,,
70,,,,
71,10.0,20.0,,
72,7.5,22.0,,
73,12.0,30.0,,
74,10.0,32.0,,
75,10.5,40.0,,
76,7.25,18.0,,
77,9.0,40.0,,
78,17.0,40.0,,
79,12.0,40.0,,
80,,,,
81,12.0,20.0,,
82,15.0,60.0,,
83,,,,
84,,,,
85,8.0,44.0,,
86,16.5,40.0,,
87,,,,
88,14.5,40.0,,
89,,,,
90,,,,
91,13.5,30.0,,
92,13.5,30.0,,
93,,,,
94,,,,
95,14.0,40.0,,
96,35.31,40.0,,
97,9.5,40.0,,
98,,,,
99,20.0,10.0,,
100,19.0,40.0,,
101,,,,
102,,,,
103,12.0,40.0,,
104,8.0,30.0,,
105,10.0,16.0,,
106,17.0,40.0,,
107,,,,
108,14.0,40.0,,
109,9.0,40.0,,
110,,,,
111,13.0,40.0,,
112,8.0,35.0,,
113,,,,
114,,,,
115,,,,
116,20.0,40.0,,
117,7.25,30.0,,
118,12.0,40.0,,
119,10.0,40.0,,
120,7.75,23.0,,
121,13.25,40.0,,
122,15.0,40.0,,
123,,,,
124,12.5,40.0,,
125,9.25,48.0,,
126,10.0,40.0,,
127,,,,
128,35.0,40.0,,
129,,,,
130,9.35,25.0,,
131,16.0,40.0,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,11.0,40.0,,
138,19.0,40.0,,
139,,,,
140,16.0,40.0,,
141,9.0,15.0,,
142,,,,
143,12.0,40.0,,
144,9.0,40.0,,
145,9.5,40.0,,
146,,,,
147,15.65,72.0,,
148,,,,
