,BenefitsScreening,PublicBenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
0,No,No,No,No,No,Yes,1
1,No,No,No,No,No,Yes,1
2,No,No,No,No,Yes,Yes,2
3,No,No,No,No,Yes,Yes,2
4,No,No,No,No,No,Yes,1
5,No,No,No,No,No,Yes,1
6,No,No,No,No,No,Yes,1
7,No,No,No,No,No,Yes,1
8,No,No,No,No,No,Yes,1
9,No,No,Yes,Yes,No,Yes,2
10,No,No,No,No,No,Yes,1
11,No,No,No,No,No,Yes,1
12,No,No,No,No,No,Yes,1
13,No,No,No,No,No,Yes,1
14,No,No,No,No,Yes,Yes,2
15,No,No,No,No,No,Yes,1
16,No,No,No,No,No,Yes,1
17,No,No,No,No,No,Yes,1
18,No,No,No,No,No,Yes,1
19,No,No,No,No,Yes,Yes,2
20,No,No,Yes,Yes,No,Yes,2
21,No,No,No,No,Yes,Yes,2
22,No,No,No,No,No,Yes,1
23,No,No,No,No,No,Yes,1
24,No,No,No,No,Yes,Yes,2
25,No,No,Yes,Yes,No,Yes,2
26,No,No,No,No,No,Yes,1
27,No,No,Yes,Yes,No,Yes,2
28,No,No,No,No,No,Yes,1
29,No,No,Yes,Yes,No,Yes,2
30,No,No,No,No,No,Yes,1
31,No,No,No,No,No,Yes,1
32,No,No,Yes,Yes,Yes,Yes,3
33,Yes,No,No,Yes,Yes,Yes,3
34,No,No,No,No,No,Yes,1
35,No,No,No,No,No,Yes,1
36,No,No,No,No,No,Yes,1
37,No,No,No,No,No,Yes,1
38,Yes,No,No,Yes,Yes,Yes,3
39,No,No,No,No,No,Yes,1
40,Yes,No,No,Yes,No,Yes,2
41,Yes,No,No,Yes,No,Yes,2
42,Yes,No,No,Yes,No,Yes,2
43,Yes,No,No,Yes,Yes,Yes,3
44,Yes,No,No,Yes,Yes,Yes,3
45,Yes,No,No,Yes,No,Yes,2
46,No,No,No,No,No,Yes,1
47,Yes,No,No,Yes,No,Yes,2
48,No,No,No,No,No,Yes,1
49,No,No,No,No,Yes,Yes,2
50,Yes,No,No,Yes,No,Yes,2
51,No,No,No,No,Yes,Yes,2
52,No,No,No,No,Yes,Yes,2
53,Yes,No,No,Yes,No,Yes,2
54,Yes,No,No,Yes,No,Yes,2
55,Yes,No,Yes,Yes,No,Yes,2
56,Yes,No,Yes,Yes,No,Yes,2
57,Yes,No,Yes,Yes,No,Yes,2
58,No,No,Yes,Yes,No,Yes,2
59,Yes,No,Yes,Yes,No,Yes,2
60,Yes,No,Yes,Yes,No,Yes,2
61,No,No,Yes,Yes,No,Yes,2
62,No,No,Yes,Yes,No,Yes,2
