,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
0,No,Employed Part Time,2012-09-01,Yes,No,No
1,No,Employed Full Time,2019-01-07,Yes,No,No
2,Yes,Employed Part Time,2019-03-25,Yes,No,No
3,Yes,Employed Full Time,2019-03-01,Yes,No,No
4,No,Employed Full Time,2018-10-22,Yes,No,No
5,No,Employed Full Time,2009-09-28,Yes,No,No
6,No,Employed Full Time,2018-04-26,Yes,No,No
7,No,Employed Full Time,2018-03-19,Yes,No,No
8,No,Not employed,,No,Yes,No
9,No,Employed Full Time,2018-08-13,Yes,No,No
10,No,Not employed,,No,Yes,No
11,No,Employed Full Time,2019-03-21,Yes,No,No
12,No,Not employed,,No,No,No
13,No,Not employed,,No,No,No
14,Yes,Employed Full Time,2015-08-04,Yes,No,No
15,No,Employed Full Time,2017-10-09,Yes,No,No
16,No,Not employed,,No,No,No
17,No,Not employed,,No,No,No
18,No,Employed Full Time,2018-04-16,Yes,No,No
19,Yes,Employed Part Time,2015-03-01,Yes,No,No
20,No,Not employed,,No,No,No
21,Yes,Employed Part Time,2018-07-17,Yes,No,No
22,No,Not employed,,No,No,No
23,No,Not employed,,No,No,No
24,Yes,Not employed,,No,No,No
25,No,Employed Part Time,2019-02-01,Yes,No,No
26,No,Not employed,,No,No,No
27,No,Not employed,,No,No,No
28,No,Not employed,,No,No,No
29,No,Employed Full Time,2019-03-21,Yes,No,No
30,No,Employed Full Time,2018-08-18,Yes,No,No
31,No,Employed Full Time,2019-03-14,Yes,No,No
32,Yes,Employed Full Time,2019-03-28,Yes,No,No
33,Yes,Not employed,,No,No,No
34,No,Not employed,,No,No,No
35,No,Employed Full Time,2019-01-23,Yes,No,No
36,No,Employed Full Time,2018-08-15,Yes,No,No
37,No,Not employed,,No,No,No
38,Yes,Employed Full Time,2018-08-21,No,No,No
39,No,Employed Full Time,2019-04-22,No,No,No
40,No,Not employed,,No,No,No
41,No,Employed Part Time,2019-03-04,No,No,No
42,No,Employed Full Time,2018-06-09,No,No,No
43,Yes,Employed Full Time,2017-08-01,No,No,No
44,Yes,Employed Full Time,2017-08-01,Yes,No,No
45,No,Employed Full Time,2006-01-01,No,No,No
46,No,Employed Full Time,2012-11-06,No,No,No
47,No,Not employed,,No,No,No
48,No,Employed Full Time,2019-04-08,No,No,No
49,Yes,Employed Full Time,2019-05-16,No,No,No
50,No,Employed Part Time,2018-01-10,No,No,No
51,Yes,Employed Full Time,2019-02-06,No,No,No
52,Yes,Employed Full Time,2019-02-06,Yes,No,No
53,No,Employed Part Time,2018-05-19,No,No,No
54,No,Employed Full Time,2014-04-07,No,No,No
55,No,Employed Full Time,2017-12-01,No,No,No
56,No,Employed Full Time,2017-12-01,Yes,No,No
57,No,Not employed,,No,No,No
58,No,Employed Part Time,2019-03-08,No,No,No
59,No,Not employed,,No,No,No
60,No,Not employed,,No,No,No
61,No,Employed Full Time,2019-04-15,No,No,No
62,No,Not employed,,No,No,No
63,Yes,Employed Part Time,2019-05-09,No,No,No
64,No,Not employed,,No,No,No
65,No,Not employed,,No,No,No
66,No,Not employed,,No,No,No
67,Yes,Employed Part Time,2016-01-03,No,No,No
68,No,Employed Full Time,2017-03-15,No,No,No
69,No,Employed Full Time,2018-06-03,No,No,No
70,No,Not employed,,No,No,No
71,No,Employed Full Time,2017-07-25,Yes,No,No
72,No,Employed Full Time,2018-09-27,Yes,No,No
73,No,Employed Full Time,2018-12-06,Yes,No,No
74,No,Not employed,,,No,No
75,No,Employed Full Time,2018-08-21,Yes,No,No
76,No,Employed Full Time,2019-01-09,Yes,No,No
77,No,Employed Full Time,2018-06-30,Yes,No,No
78,Yes,Not employed,,,No,No
79,Yes,Employed Full Time,2019-06-25,No,Yes,Yes
80,Yes,Employed Full Time,2019-06-25,No,Yes,Yes
81,No,Not employed,,,No,No
82,No,Employed Full Time,2018-06-15,Yes,No,No
83,No,Not employed,,,No,No
84,No,Employed Full Time,2016-01-01,Yes,No,No
85,No,Employed Full Time,2019-06-04,No,No,No
86,No,Not employed,,,No,No
87,Yes,Employed Full Time,2019-04-30,No,Yes,Yes
88,No,Not employed,,,No,No
89,No,Not employed,,,No,No
90,Yes,Employed Full Time,2019-06-03,No,Yes,Yes
91,Yes,Employed Full Time,2019-06-03,No,Yes,Yes
92,No,Employed Full Time,2019-06-19,No,No,No
93,No,Employed Full Time,2018-06-07,Yes,No,No
94,No,Not employed,,,No,No
95,No,Not employed,,,No,No
96,No,Employed Full Time,2019-06-12,No,No,No
97,No,Not employed,,,No,No
98,No,Employed Full Time,2018-06-04,Yes,No,No
99,No,Not employed,,,No,No
100,No,Employed Full Time,2019-03-25,Yes,No,No
101,No,Employed Full Time,2016-12-02,Yes,No,No
102,No,Employed Full Time,2018-01-08,Yes,No,No
103,No,Not employed,,,No,No
104,No,Employed Part Time,2019-03-04,Yes,No,No
105,No,Employed Full Time,2018-09-14,Yes,No,No
106,No,Employed Full Time,2018-09-10,Yes,No,No
107,No,Employed Full Time,2018-07-30,Yes,No,No
108,No,Employed Full Time,2018-03-28,Yes,No,No
109,No,Employed Full Time,2018-10-03,Yes,No,No
110,No,Employed Full Time,2018-12-06,Yes,No,No
111,No,Not employed,,,No,No
112,No,Employed Full Time,2019-06-17,No,No,No
113,No,Employed Full Time,2019-01-01,Yes,No,No
114,No,Not employed,,,No,No
115,No,Not employed,,,No,No
116,No,Employed Full Time,2018-04-10,Yes,No,No
117,No,Employed Full Time,2017-09-01,Yes,No,No
118,No,Not employed,,,No,No
119,Yes,Employed Full Time,2019-04-05,No,No,No
120,No,Employed Full Time,2017-03-14,Yes,No,No
121,Yes,Employed Full Time,2019-04-27,No,Yes,Yes
122,No,Employed Full Time,2015-06-04,Yes,No,No
123,Yes,Employed Part Time,2019-06-18,No,Yes,Yes
124,Yes,Employed Part Time,2019-06-18,No,Yes,Yes
125,No,Not employed,,,No,No
126,No,Not employed,,,No,No
127,Yes,Employed Full Time,2019-06-17,No,Yes,Yes
128,No,Employed Part Time,2018-09-04,Yes,No,No
129,No,Not employed,,,Yes,No
130,No,Employed Full Time,2018-06-06,Yes,No,No
131,No,Not employed,,,No,No
132,Yes,Employed Full Time,2019-05-23,No,Yes,Yes
133,Yes,Employed Full Time,2019-05-23,No,Yes,Yes
134,Yes,Employed Part Time,2019-06-09,No,Yes,Yes
135,No,Not employed,,,No,No
136,No,Employed Full Time,2019-01-10,Yes,No,No
137,No,Not employed,,,No,No
138,No,Employed Full Time,2019-01-07,Yes,No,No
139,No,Employed Full Time,2017-12-11,Yes,No,No
140,Yes,Not employed,,,Yes,Yes
141,Yes,Not employed,,,Yes,Yes
142,No,Employed Full Time,2018-06-07,Yes,No,No
143,No,Not employed,,,No,No
144,No,Employed Full Time,2019-03-25,Yes,No,No
145,No,Not employed,,,No,No
146,No,Not employed,,,No,No
147,Yes,Employed Full Time,2019-05-21,No,Yes,Yes
148,No,Not employed,,,No,No
149,No,Employed Full Time,2017-10-16,Yes,No,No
150,No,Employed Full Time,2018-08-12,Yes,No,No
151,No,Employed Full Time,2018-09-25,Yes,No,No
152,No,Employed Full Time,2018-11-13,Yes,No,No
153,No,Employed Full Time,2016-12-01,Yes,No,No
154,No,Employed Full Time,2018-08-27,Yes,No,No
155,No,Not employed,,,No,No
156,No,Employed Part Time,2019-06-12,No,No,No
157,Yes,Not employed,,,Yes,Yes
158,Yes,Not employed,,,Yes,Yes
159,No,Not employed,,,No,No
160,No,Employed Full Time,2018-06-14,Yes,No,No
161,No,Employed Full Time,2019-03-25,Yes,No,No
162,No,Not employed,,,No,No
163,No,Not employed,,,No,No
164,No,Not employed,,,No,No
165,No,Not employed,,,No,No
166,No,Employed Full Time,2017-12-14,Yes,No,No
167,No,Employed Full Time,2018-08-02,Yes,No,No
168,No,Employed Full Time,2018-06-04,Yes,No,No
169,No,Employed Full Time,2019-06-22,No,No,No
170,No,Not employed,,,No,No
171,No,Employed Full Time,2019-04-01,No,No,No
172,No,Employed Full Time,2018-03-14,Yes,No,No
173,No,Not employed,,,No,No
174,No,Employed Full Time,2018-07-30,Yes,No,No
175,Yes,Not employed,,,Yes,Yes
176,Yes,Not employed,,,Yes,Yes
177,No,Employed Full Time,2018-12-20,Yes,No,No
178,No,Employed Full Time,2018-07-23,Yes,No,No
179,Yes,Not employed,,,Yes,Yes
180,Yes,Not employed,,,Yes,Yes
181,No,Employed Part Time,2019-03-19,Yes,No,No
182,Yes,Not employed,,,Yes,Yes
183,No,Employed Full Time,2017-11-17,Yes,No,No
184,No,Not employed,,,No,No
185,No,Employed Full Time,2016-01-01,Yes,No,No
186,No,Not employed,,,No,No
187,No,Not employed,,,No,No
188,Yes,Not employed,,,No,No
189,Yes,Not employed,,,Yes,Yes
190,No,Employed Full Time,2018-12-04,Yes,No,No
191,No,Not employed,,,No,No
192,No,Not employed,,,No,No
193,No,Not employed,,,Yes,No
