,Savings,CreditScore,Debt
0,4000,,180400
1,1200,689,20666
2,0,638,20430
3,,,20000
4,,710,19542
5,,625,18402
6,450,,8000
7,0,628,6877
8,0,546,6340
9,100,534,4289.98
10,850,564,3623
11,200,,500
12,0,508,1800
13,0,689,1000
14,,786,1293
15,0,654,1214
16,75,,295
17,0,,215
18,10050,740,5
19,,743,0
20,,680,0
21,,,0
22,,,
23,,611,
24,,,
25,,,
26,0,,
27,,,
28,,,
29,0,,
30,0,450,
31,0,,
32,0,,
33,0,,
34,,,
35,150,479,
36,2500,,
37,,,
38,0,,1300
39,0,,26000
40,0,691,17300
41,0,508,5500
42,0,,33000
43,10000,575,14000
44,10000,575,14000
45,224,666,19800
46,,567,4120
47,0,,
48,22000,750,1700
49,0,,
50,,0,8000
51,2,,300
52,2,,300
53,0,700,6131.67
54,0,,
55,0,645,602.76
56,0,645,602.76
57,,,800
58,0,0,
59,50,558,
60,50,558,
61,0.01,580,700
62,0,,
63,0,0,
64,0,,
65,0,,
66,0,,
67,,0,
68,0,470,
69,0,,
70,0,600,1100
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,200,,29339
78,,,
79,0,,1946
80,0,,1946
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,0,613,16270
88,30,,0
89,30,,0
90,0,,0
91,0,,0
92,,,
93,,,
94,,,
95,,,
96,0,601,49357
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,500,528,56692
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,0,552,355
122,,,
123,,,2807.2
124,0,,2807.2
125,,,
126,,,
127,60,516,16084
128,,,
129,,,
130,,,
131,,,
132,0,524,710
133,0,524,710
134,1200,548,21834
135,,,
136,,,
137,,,
138,,,
139,,,
140,0,,302
141,0,,302
142,,,
143,,,
144,1000,524,710
145,30,,
146,,,
147,20000,608,52
148,,,
149,,,
150,,,
151,,,
152,0,,58000
153,,,
154,,,
155,,,
156,900,,10000
157,0,,8300
158,0,,8300
159,,,
160,,,
161,,,
162,,,
163,,,
164,1185,,40000
165,1185,,40000
166,,,
167,2020,517,15873
168,,,
169,,,
170,,,
171,,,
172,,,
173,500,648,177
174,,,
175,0,,0
176,0,,0
177,,,
178,,,
179,1800,,2100
180,1800,,2100
181,,,
182,0,579,40737
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,0,567,18741
190,,,
191,,,
192,,,
193,0,618,457
194,0,618,457
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,2200,675,8000
202,2200,675,8000
203,,,
204,,,
205,,,
206,0,,0
207,0,,0
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,200,,0
215,,,
216,,,
217,9700,,19900
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,500,676,23028
228,,,
229,20,,0
230,,,
231,,,
232,100,576,39756
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,0,503,11838
246,0,503,11838
247,,,
248,,,
249,0,649,3275
250,,,
251,0,512,3361
252,0,512,3361
253,300,503,37132
254,,,
255,,,
256,,,
257,400,,0
258,,,
259,0,524,13418
260,0,524,13418
261,,,
262,,,
263,150,,2075
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,0,354,4781
272,,,
273,,,
274,,,
275,850,658,15979
276,,,
277,,,
278,0,524,18022.53
279,0,524,18022.53
280,,,
281,0,,10000
282,,,
283,6000,,4260
284,6000,,4260
285,,,
286,,,
287,100,630,12000
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,0,483,7143
300,0,524,435
301,0,524,435
302,,,
303,,,
304,,,
305,,,
306,,,
307,775,,4000
308,,,
309,,,
310,,,
311,0,,24215
312,,,
313,,,
314,0,522,35380
315,,,
316,,,
317,,,
318,13500,,0
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,0,524,1603
332,0,524,1603
333,,,
334,6000,690,390
335,,,
336,20,,0
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,0,517,6052
346,0,440,24799
347,0,440,24799
348,,,
349,,,
350,,,
351,,,
352,508,524,41211
353,,,
354,1000,587,52885
355,1000,587,52885
356,,,
357,,,
358,,,
359,,542,3026
360,0,542,3026
361,,,
362,,,
363,,,
364,,,
365,,,
366,600,,800
367,600,,800
368,,,
369,,,
370,,,
371,,,
372,400,688,9893.1
373,400,688,9893.1
374,400,,3000
375,,,
376,,,
377,1000,,63680
378,,,
379,6500,625,45600
380,,,
381,,,
382,,639,14089
383,0,639,14089
384,450,,146372
385,450,,146372
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,0,520,4132
395,0,520,4132
396,,,
397,,,
398,200,538,28173
399,200,538,28173
400,1000,601,177614
401,,,
402,,,
403,0,,66437
404,0,524,66437
405,3500,751,17551
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,600,,233
418,,,
419,550,530,7849
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,0,,0
428,0,,0
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,3525,,34000
439,,,
440,,,
441,,,
442,,,
443,0,,0
444,0,,0
445,3000,577,28864
446,3000,577,28864
447,,,
448,,,
449,,,
450,,,
451,0,,950
452,0,,950
453,,,
454,,,
455,,,
456,0,502,5650
457,,,
458,,,
459,,,
460,,,
461,1000,,0
462,,,
463,,,
464,0,,0
465,,,
466,400,,19894
467,,,
468,,,
469,,,
470,,,
471,,,
472,1000,,0
473,,,
474,,,
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
483,1200,650,
484,1200,650,
485,,,
486,,,
487,,,
488,25,,8333
489,,,
490,,,
491,,,
492,,,
493,,416,20000
494,480,501,19000
495,200,,1876
496,,,20000
497,,,
498,,459,5000
499,300,599,
500,650,612,1100
501,500,618,5800
502,,,18000
503,,431,6100
504,,516,18000
505,,403,7200
506,,551,6570
507,,540,19000
508,,506,8000
509,,501,3000
510,,518,1600
511,,507,10000
512,,614,900
513,300,619,1600
514,,,1900
515,,,1000
516,,,
517,,,2000
518,,,500
519,,,1200
520,,,720
521,,598,1200
522,,,500
523,,661,2500
524,,591,
525,,418,2500
526,,,3800
527,,,
528,,,1900
529,,596,1000
530,,501,5400
531,,562,9882
532,,494,
533,450,637,12000
534,950,606,12900
535,,509,11000
536,1500,,20000
537,,,10000
538,200,544,20000
539,120,530,20000
540,230,602,8500
541,1000,619,15000
542,100,603,5800
543,110,529,
544,662,603,1000
545,100,,
546,,498,1500
547,328,,2400
548,700,608,3500
549,1000,511,13500
550,600,532,1500
551,,,10000
552,1900,652,38500
553,2900,667,7000
554,700,612,5000
555,1000,616,14000
556,,,
557,,,2500
558,3000,560,15000
559,400,,
560,250,,
561,,,
562,,,11000
563,200,,10000
564,620,,5000
565,,,1600
566,,,3500
567,,,1500
568,,,1500
569,,,5000
570,,,3000
571,200,566,5000
572,0,611,16500
573,500,613,15000
574,100,523,10000
575,,571,8800
576,200,,12000
577,,,
578,,,2000
579,400,,10000
580,,,5000
581,5000,698,
582,250,621,8500
583,400,,1000
584,,,3000
585,,,6000
586,,,10000
587,,,2000
588,200,,2500
589,,,5000
590,,,3200
591,280,,1800
592,,,1300
593,,,1000
594,,,4000
595,,,2800
596,100,,5000
597,,555,800
598,,555,800
599,,501,931
600,,501,931
601,5117,550,8570
602,,,240
603,,,240
604,1717,,4857
605,3410,556,49372
606,3410,556,49372
607,3731,472,6607
608,6223,511,17068
609,,,5303
610,,,5303
611,100,500,30000
612,,508,
613,,,
614,5849,535,638640
615,3350,545,16762
616,,513,5778
617,,513,5778
618,,529,64186
619,,529,64186
620,8616,595,29344
621,8616,595,29344
622,4493,608,31200
623,,539,2698
624,,539,2698
625,,486,2265
626,,486,2265
627,3459,594,60300
628,,555,
629,,555,
630,,497,482
631,,497,482
632,440,483,72107
633,,,
634,,,
635,4062,552,27183
636,,476,2097
637,,476,2097
638,,466,3001
639,,466,3001
640,4130,516,16457
641,612,529,7518
642,,490,
643,,490,
644,1206,540,
645,3874,609,117584
646,,543,
647,,543,
648,,,
649,,,
650,,558,2563
651,,558,2563
652,,,20093
653,,,20093
654,,500,4032
655,,500,4032
656,2971,685,
657,10180,579,31457
658,4850,489,9062
659,,503,5700
660,,503,5700
661,5541,536,46139
662,5541,536,46139
663,,,
664,,536,10000
665,,0,
666,,,
667,,0,
668,,,
669,,0,
670,,,
671,,0,
672,,,
673,,0,
674,,,
675,,0,
676,,,
677,,,
678,,,
679,,0,
680,,,
681,,0,
682,,,
683,,0,
684,,,
685,,,
686,,,
687,,,
688,,0,
689,,,
690,,0,
691,,,
692,,,
693,,0,
694,,,
695,,0,
696,,,
697,,,
698,,,
699,,0,
700,,,
701,,0,
702,,,
703,,,
704,,,
705,,0,
706,,,
707,,0,
708,,,
709,,,
710,,,
711,,,
712,,,
713,,,
714,,,
715,,,
716,,,
717,,,
718,,,
719,,,
720,,,
721,,,
722,,,
723,,,
724,,,
725,,,
726,,,
727,,0,
728,,,
729,,0,
730,,,
731,,0,
732,,,
733,,0,
734,,,
735,,,
736,,,
737,,,
738,,,
739,,0,
740,,,
741,,0,
742,,,
743,,0,
744,,,
745,,0,
746,,,
747,,0,
748,,,
749,,0,
750,,,
751,,,
752,,,
753,,0,
754,,,
755,,,
756,,,
757,,0,
758,,,
759,,0,
760,,,
761,,0,
762,,,
763,,0,
764,,,
765,,0,
766,,,
767,,0,
