,IncomeClient,IncomeHH,PublicBenefits,ExpensesHH
0,1116.0,1116.0,,4604.74
1,3900.0,3900.0,,3124.0
2,1920.0,1920.0,,3629.0
3,1289.0,1289.0,,2475.0
4,2920.0,2920.0,,550.0
5,3712.0,3712.0,,2955.0
6,2200.0,2200.0,600.0,2529.0
7,1920.0,1920.0,,130.0
8,,2750.0,,8207.0
9,3929.6,3929.6,,1959.0
10,,3416.666666666667,,
11,2080.0,2080.0,,1285.0
12,,800.0,,1275.0
13,,0.0,,715.0
14,2200.0,2200.0,,1838.69
15,2550.0,2550.0,1018.0,1950.0
16,,748.0,748.0,756.0
17,,300.0,,2655.0
18,1600.0,1733.333333333333,,250.0
19,4500.0,4500.0,,1435.0
20,,1260.0,505.0,1527.0
21,2000.0,2000.0,,2265.0
22,,771.0,771.0,560.0
23,,1833.333333333333,,
24,,0.0,1009.0,
25,800.0,800.0,,
26,,921.0833333333334,,
27,,0.0,,1223.0
28,,1500.0,,
29,2560.0,2560.0,,
30,1900.0,2250.0,,2135.0
31,2500.0,2500.0,,2480.0
32,1600.0,1600.0,,245.0
33,,,300.0,650.0
34,,0.0,,18.0
35,3800.0,1500.0,,1981.0
36,1605.0,1605.0,345.0,1770.0
37,,2700.0,,1108.0
38,2175.0,2175.0,300.0,1575.0
39,1500.0,1500.0,,
40,,,,1611.0
41,1920.0,4153.0,,2700.0
42,2233.0,4153.0,,2700.0
43,4000.0,4000.0,,3406.0
44,4000.0,4000.0,,3406.0
45,3288.0,3288.0,,3299.0
46,3200.0,3200.0,,
47,,3200.0,,3860.0
48,1850.0,3050.0,,0.0
49,2800.0,2800.0,,790.0
50,1680.0,2780.0,,1576.0
51,1600.0,1600.0,,
52,1600.0,1600.0,,11850.0
53,1328.0,1328.0,,177.0
54,1300.0,1300.0,,1650.0
55,3300.0,3300.0,,1457.0
56,3300.0,3300.0,,1457.0
57,,,913.0,38.0
58,1900.0,1900.0,530.0,
59,,620.0,500.0,1875.0
60,,620.0,500.0,1875.0
61,1280.0,1280.0,300.0,
62,,,108.0,0.0
63,1200.0,1200.0,,600.0
64,,,,1537.0
65,,,,930.0
66,,,,0.0
67,1400.0,3000.0,,
68,2960.0,2960.0,,1728.0
69,2800.0,2800.0,,4243.0
70,,,,1323.0
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,0.0,0.0,1.0,
77,2400.0,2400.0,0.0,
78,,,,
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,,,,
82,,,,
83,,,,
84,,,,
85,4480.0,4480.0,0.0,
86,,,,
87,1760.0,3360.0,1.0,
88,0.0,0.0,1.0,50.0
89,250.0,250.0,0.0,50.0
90,200.0,200.0,0.0,60.0
91,2080.0,2080.0,0.0,60.0
92,1680.0,1680.0,0.0,
93,,,,
94,,,,
95,,,,
96,2364.0,2364.0,1.0,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,1760.0,1760.0,1.0,
105,,,,
106,,,,
107,,,,
108,,,,
109,2400.0,2400.0,0.0,
110,,,,
111,,,,
112,,,,
113,2000.0,2000.0,1.0,179.0
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,2080.0,2080.0,1.0,
122,2000.0,2000.0,0.0,
123,644.0,644.0,1.0,65.0
124,644.0,644.0,1.0,65.0
125,7420.0,7420.0,0.0,
126,,,,
127,1600.0,1600.0,0.0,
128,,,,
129,,,,
130,,,,
131,,,,
132,0.0,0.0,0.0,30.0
133,2000.0,2000.0,0.0,30.0
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,0.0,0.0,1.0,0.0
141,0.0,0.0,1.0,0.0
142,,,,
143,,,,
144,3336.0,3336.0,0.0,
145,,,,
146,,,,
147,1728.0,1728.0,0.0,
148,,,,
149,,,,
150,,,,
151,,,,
152,1560.0,1560.0,1.0,
153,,,,
154,,,,
155,,,,
156,3000.0,3000.0,0.0,
157,1600.0,3600.0,1.0,2155.0
158,1600.0,3600.0,1.0,2155.0
159,,,,
160,,,,
161,2160.0,2160.0,0.0,
162,780.0,780.0,0.0,
163,,,,
164,1632.0,1632.0,0.0,3817.0
165,1632.0,1632.0,0.0,3817.0
166,,,,
167,2240.0,2240.0,0.0,
168,,,,
169,656.0,656.0,1.0,
170,,,,
171,1670.0,1670.0,0.0,
172,,,,
173,0.0,303.0,1.0,
174,,,,
175,0.0,0.0,0.0,40.0
176,0.0,0.0,0.0,40.0
177,,,,
178,,,,
179,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
181,912.0,912.0,1.0,
182,0.0,0.0,1.0,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,2400.0,2400.0,0.0,
191,,,,
192,,,,
193,0.0,0.0,1.0,0.0
194,0.0,0.0,1.0,0.0
195,1140.0,1140.0,0.0,57.0
196,1140.0,1140.0,0.0,57.0
197,3352.0,3352.0,0.0,
198,,,,
199,,,,
200,1760.0,1760.0,1.0,
201,2000.0,2000.0,0.0,2420.23
202,2000.0,2000.0,0.0,2420.23
203,,,,
204,,,,
205,,,,
206,0.0,0.0,1.0,729.0
207,0.0,0.0,1.0,729.0
208,,,,
209,1520.0,1520.0,0.0,
210,2880.0,2880.0,0.0,
211,,,,
212,,,,
213,,,,
214,2880.0,2880.0,0.0,
215,,,,
216,,,,
217,3467.2,3467.2,0.0,
218,0.0,0.0,1.0,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,3000.0,3000.0,0.0,
228,,,,
229,0.0,0.0,1.0,
230,0.0,0.0,0.0,
231,,,,
232,6100.0,6100.0,0.0,
233,,,,
234,,,,
235,,,,
236,,,,
237,0.0,0.0,1.0,
238,,,,
239,,,,
240,,,,
241,,,,
242,1040.0,1040.0,0.0,
243,2640.0,2640.0,0.0,
244,,,,
245,0.0,0.0,1.0,0.0
246,2400.0,2400.0,0.0,0.0
247,,,,
248,,,,
249,,,,
250,0.0,0.0,1.0,
251,2500.0,2500.0,0.0,2200.0
252,1640.0,1640.0,0.0,2200.0
253,2700.0,2700.0,0.0,
254,,,,
255,2320.0,2320.0,0.0,
256,,,,
257,2080.0,2080.0,0.0,
258,,,,
259,0.0,0.0,0.0,125.0
260,0.0,0.0,0.0,125.0
261,,,,
262,,,,
263,2160.0,2160.0,0.0,
264,,,,
265,,,,
266,2240.0,2240.0,0.0,
267,,,,
268,1163.0,1163.0,1.0,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,2400.0,2400.0,1.0,
275,,,,
276,,,,
277,,,,
278,200.0,200.0,1.0,0.0
279,200.0,200.0,1.0,0.0
280,,,,
281,,,,
282,,,,
283,200.0,200.0,1.0,598.0
284,200.0,200.0,1.0,598.0
285,,,,
286,,,,
287,3400.0,3400.0,1.0,
288,2240.0,2240.0,0.0,
289,0.0,0.0,0.0,100.0
290,0.0,0.0,0.0,100.0
291,,,,
292,,,,
293,2400.0,2400.0,0.0,
294,,,,
295,,,,
296,3670.0,3670.0,0.0,
297,,,,
298,,,,
299,,,,
300,0.0,0.0,1.0,0.0
301,0.0,0.0,1.0,0.0
302,,,,
303,500.0,500.0,1.0,
304,0.0,0.0,0.0,
305,0.0,0.0,1.0,
306,,,,
307,2240.0,2240.0,0.0,
308,0.0,0.0,0.0,
309,,,,
310,,,,
311,1500.0,1500.0,0.0,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,,,,
318,,,,
319,520.0,520.0,1.0,
320,2080.0,2080.0,0.0,
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,2225.41,2225.41,1.0,
327,,,,
328,1785.0,1785.0,1.0,
329,,,,
330,,,,
331,0.0,0.0,0.0,0.0
332,0.0,0.0,0.0,0.0
333,,,,
334,3500.0,3500.0,0.0,
335,2528.0,2528.0,0.0,
336,2560.0,2560.0,0.0,
337,800.0,800.0,0.0,
338,,,,
339,1100.0,1100.0,0.0,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,0.0,0.0,0.0,0.0
347,0.0,0.0,0.0,0.0
348,,,,
349,,,,
350,,,,
351,,,,
352,1880.0,1880.0,0.0,
353,,,,
354,1824.0,1824.0,1.0,3031.0
355,1824.0,1824.0,1.0,3031.0
356,1672.0,1672.0,1.0,
357,,,,
358,,,,
359,1000.0,1000.0,0.0,1250.0
360,1920.0,1920.0,0.0,1250.0
361,,,,
362,,,,
363,,,,
364,,,,
365,0.0,0.0,1.0,
366,2300.0,2300.0,0.0,1585.0
367,2300.0,2300.0,0.0,1585.0
368,2120.0,2120.0,1.0,
369,2240.0,2240.0,0.0,
370,,,,
371,,,,
372,1400.0,1400.0,0.0,1297.0
373,1400.0,1400.0,0.0,1297.0
374,1500.0,1500.0,0.0,
375,0.0,0.0,1.0,
376,700.0,700.0,0.0,
377,2100.0,2100.0,0.0,
378,,,,
379,8000.0,8000.0,0.0,
380,,,,
381,,,,
382,0.0,4600.0,0.0,115.0
383,0.0,4600.0,0.0,115.0
384,0.0,4600.0,0.0,4186.0
385,0.0,4600.0,0.0,4186.0
386,4600.0,4600.0,0.0,4186.0
387,4800.0,4800.0,0.0,4186.0
388,,,,
389,,,,
390,,,,
391,,,,
392,0.0,0.0,0.0,
393,,,,
394,388.0,388.0,1.0,0.0
395,388.0,388.0,1.0,0.0
396,,,,
397,,,,
398,0.0,0.0,0.0,2001.0
399,0.0,0.0,0.0,2001.0
400,4800.0,4800.0,0.0,
401,,,,
402,1920.0,1920.0,0.0,
403,0.0,0.0,1.0,0.0
404,0.0,0.0,1.0,0.0
405,1900.0,3900.0,0.0,
406,,,,
407,0.0,0.0,1.0,
408,,,,
409,,,,
410,,,,
411,0.0,0.0,1.0,650.0
412,0.0,0.0,1.0,650.0
413,0.0,0.0,1.0,
414,,,,
415,2240.0,2240.0,0.0,
416,,,,
417,1600.0,1600.0,0.0,
418,,,,
419,2160.0,2160.0,0.0,
420,,,,
421,,,,
422,,,,
423,3542.2,3542.2,0.0,
424,,,,
425,,,,
426,,,,
427,0.0,0.0,1.0,0.0
428,0.0,0.0,1.0,0.0
429,,,,
430,,,,
431,,,,
432,,,,
433,0.0,0.0,1.0,
434,,,,
435,,,,
436,,,,
437,,,,
438,0.0,0.0,0.0,
439,,,,
440,,,,
441,,,,
442,0.0,0.0,0.0,
443,2000.0,2000.0,0.0,2070.0
444,3400.0,3400.0,0.0,2070.0
445,2700.0,2700.0,0.0,2922.0
446,2700.0,2700.0,0.0,2922.0
447,,,,
448,,,,
449,,,,
450,,,,
451,2000.0,2000.0,0.0,1735.0
452,2000.0,2000.0,0.0,1735.0
453,,,,
454,,,,
455,,,,
456,1400.0,1400.0,1.0,
457,0.0,0.0,1.0,
458,,,,
459,,,,
460,,,,
461,1560.0,1560.0,0.0,
462,,,,
463,0.0,0.0,1.0,40.0
464,0.0,0.0,1.0,40.0
465,,,,
466,1920.0,1920.0,0.0,
467,,,,
468,,,,
469,,,,
470,,,,
471,0.0,0.0,0.0,
472,1472.0,1472.0,0.0,
473,,,,
474,,,,
475,,,,
476,,,,
477,,,,
478,,,,
479,,,,
480,0.0,0.0,0.0,
481,,,,
482,,,,
483,2800.0,2800.0,0.0,2297.25
484,2800.0,2800.0,0.0,2297.25
485,2000.0,2000.0,1.0,
486,,,,
487,,,,
488,1707.0,1707.0,1.0,
489,,,,
490,,,,
491,,,,
492,,,,
493,1600.0,2291.0,328.0,1699.0
494,2560.0,2560.0,,1920.0
495,1200.0,1933.0,346.0,1500.0
496,735.0,735.0,771.0,600.0
497,247.0,247.0,147.0,500.0
498,2080.0,2080.0,246.0,1400.0
499,1200.0,1200.0,400.0,1129.0
500,1680.0,1680.0,376.0,1300.0
501,1920.0,1920.0,649.0,1600.0
502,1920.0,1920.0,646.0,1300.0
503,98.0,98.0,339.0,500.0
504,733.0,733.0,423.0,900.0
505,1440.0,1440.0,526.0,1335.0
506,2240.0,2240.0,324.0,1690.0
507,1920.0,1920.0,324.0,1500.0
508,,600.0,639.0,700.0
509,1200.0,1760.0,276.0,1500.0
510,960.0,960.0,367.0,600.0
511,1200.0,1200.0,419.0,1000.0
512,640.0,640.0,328.0,800.0
513,2400.0,2400.0,,1500.0
514,,,471.0,600.0
515,,,328.0,1280.0
516,640.0,640.0,457.0,576.0
517,248.0,248.0,523.0,500.0
518,1000.0,1000.0,200.0,950.0
519,,248.0,302.0,700.0
520,1760.0,2140.0,289.0,1400.0
521,1144.0,1144.0,376.0,1450.0
522,1600.0,1600.0,167.0,1009.0
523,1920.0,1920.0,66.0,1460.0
524,1920.0,1920.0,,1428.0
525,1080.0,1080.0,613.0,700.0
526,326.0,326.0,187.0,288.0
527,733.0,733.0,201.0,500.0
528,1760.0,1760.0,325.0,1300.0
529,2080.0,2080.0,143.0,1324.0
530,1760.0,1760.0,,1000.0
531,,,457.0,1398.0
532,,750.0,338.0,680.0
533,2640.0,2640.0,,2000.0
534,2560.0,2560.0,,2218.0
535,1920.0,1920.0,176.0,1623.0
536,2560.0,2560.0,98.0,1948.0
537,1280.0,1280.0,504.0,1157.0
538,1200.0,2213.0,98.0,1300.0
539,2240.0,2240.0,178.0,1238.0
540,2400.0,2700.0,,1000.0
541,1728.0,2059.0,15.0,1367.0
542,1920.0,1920.0,367.0,1400.0
543,1536.0,1536.0,243.0,1285.0
544,1100.0,1100.0,332.0,900.0
545,1200.0,1325.0,167.0,1000.0
546,1600.0,1600.0,248.0,1100.0
547,2080.0,2080.0,119.0,1429.0
548,2400.0,2400.0,15.0,1888.0
549,1872.0,1872.0,123.0,1600.0
550,1920.0,1920.0,156.0,1476.0
551,2240.0,2240.0,176.0,1700.0
552,3200.0,3200.0,,2000.0
553,3040.0,3040.0,,2100.0
554,1980.0,2751.0,174.0,1400.0
555,2560.0,2560.0,125.0,1900.0
556,1400.0,1400.0,250.0,1325.0
557,,354.0,600.0,1200.0
558,1440.0,1440.0,300.0,1200.0
559,512.0,512.0,640.0,1849.0
560,,771.0,292.0,1220.0
561,,750.0,292.0,1240.0
562,,1502.0,,1100.0
563,1404.0,1404.0,15.0,1000.0
564,960.0,1863.0,600.0,1000.0
565,,,364.0,900.0
566,1200.0,1200.0,267.0,1000.0
567,720.0,720.0,290.0,1300.0
568,,1044.0,15.0,1200.0
569,,354.0,325.0,1195.0
570,,101.0,257.0,945.0
571,1520.0,1520.0,15.0,1362.0
572,1152.0,1152.0,372.0,700.0
573,2400.0,2400.0,423.0,1800.0
574,,2143.0,623.0,1445.0
575,,1348.0,226.0,1000.0
576,720.0,720.0,250.0,880.0
577,,533.0,300.0,2586.0
578,,758.0,252.0,400.0
579,,1316.0,423.0,1100.0
580,,355.0,523.0,1350.0
581,,656.0,15.0,500.0
582,1040.0,1040.0,364.0,1000.0
583,2560.0,2560.0,,1800.0
584,1040.0,1040.0,78.0,950.0
585,,540.0,788.0,1300.0
586,,101.0,243.0,1000.0
587,1080.0,1080.0,289.0,1000.0
588,1040.0,1609.0,167.0,988.0
589,,255.0,221.0,1000.0
590,,260.0,328.0,900.0
591,1100.0,1100.0,198.0,1000.0
592,,255.0,101.0,1000.0
593,,360.0,379.0,1100.0
594,,255.0,121.0,1100.0
595,,,118.0,1000.0
596,1500.0,1500.0,79.0,1000.0
597,,,505.0,1479.0
598,,,505.0,1479.0
599,,,355.0,1183.0
600,,,355.0,1183.0
601,2320.0,2320.0,0.0,1247.0
602,1680.0,1680.0,0.0,1680.0
603,1680.0,1680.0,0.0,1680.0
604,2320.0,2320.0,0.0,1494.0
605,2457.0,2457.0,0.0,1610.0
606,2457.0,2457.0,0.0,1610.0
607,2320.0,2320.0,0.0,1387.0
608,2542.0,2542.0,0.0,1829.0
609,2400.0,2400.0,648.0,1310.0
610,2400.0,2400.0,648.0,1310.0
611,3200.0,3200.0,0.0,1355.0
612,2400.0,2400.0,372.0,1455.0
613,2400.0,2400.0,372.0,1455.0
614,3659.0,3659.0,0.0,3371.0
615,2560.0,2560.0,0.0,1636.0
616,2560.0,2560.0,706.0,2255.0
617,2560.0,2560.0,706.0,2255.0
618,,,0.0,1316.0
619,,,0.0,1316.0
620,2846.0,2846.0,0.0,2659.0
621,2846.0,2846.0,0.0,2659.0
622,2400.0,2400.0,0.0,1366.0
623,3040.0,3040.0,0.0,1070.0
624,3040.0,3040.0,0.0,1070.0
625,1896.0,1896.0,300.0,1878.0
626,1896.0,1896.0,300.0,1878.0
627,2560.0,2560.0,0.0,1382.0
628,1840.0,1840.0,76.0,2319.0
629,1840.0,1840.0,76.0,2319.0
630,,,505.0,1661.0
631,,,505.0,1661.0
632,,,403.0,2450.0
633,2560.0,2560.0,642.0,1597.0
634,2560.0,2560.0,642.0,1597.0
635,3080.0,3080.0,0.0,1740.0
636,,,0.0,2097.0
637,,,0.0,2097.0
638,2400.0,2400.0,504.0,2989.0
639,2400.0,2400.0,504.0,2989.0
640,2240.0,2400.0,0.0,1609.0
641,2400.0,2400.0,0.0,1044.0
642,,,642.0,1253.0
643,,,642.0,1253.0
644,3568.0,3568.0,0.0,2647.0
645,2400.0,2080.0,291.0,1792.0
646,2480.0,2480.0,0.0,1668.0
647,2480.0,2480.0,0.0,1668.0
648,,,500.0,972.0
649,,,500.0,972.0
650,,,645.0,1384.0
651,,,645.0,1384.0
652,2080.0,2953.0,0.0,1294.0
