,FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
0,Yes,Very confident,No,No,No,No
1,No,Not at all confident,No,No,Yes,Yes
2,No,Somewhat confident,No,No,Yes,Yes
3,Yes,Somewhat confident,No,No,Yes,Yes
4,Yes,Very confident,Yes,Yes,Yes,Yes
5,No,Not at all confident,No,No,Yes,Yes
6,No,Not at all confident,No,No,Yes,Yes
7,No,Not at all confident,No,No,Yes,Yes
8,No,Somewhat confident,No,No,Yes,Yes
9,No,Very confident,No,No,Yes,Yes
10,No,Somewhat confident,Yes,No,Yes,Yes
11,No,Somewhat confident,No,No,No,No
12,No,Very confident,No,No,No,No
13,No,Somewhat confident,No,No,No,No
14,Yes,Very confident,Yes,Yes,No,No
15,No,Very confident,Yes,No,Yes,Yes
16,No,Very confident,No,No,Yes,Yes
17,Yes,Somewhat confident,No,No,No,No
18,Yes,Very confident,Yes,No,Yes,Yes
19,No,Very confident,Yes,Yes,Yes,Yes
20,Yes,Very confident,No,No,Yes,Yes
21,No,Somewhat confident,Yes,No,Yes,Yes
22,Yes,Not at all confident,No,No,No,Yes
23,No,Somewhat confident,Yes,No,Yes,Yes
24,No,Very confident,No,No,No,No
25,No,Somewhat confident,No,No,No,No
26,Yes,Very confident,No,No,No,No
27,Yes,Not at all confident,No,No,No,No
28,No,Very confident,No,Yes,Yes,Yes
29,Yes,Somewhat confident,No,No,Yes,Yes
30,No,Very confident,No,Yes,Yes,Yes
31,No,Somewhat confident,No,No,No,No
32,No,Somewhat confident,No,No,No,No
33,No,Not at all confident,No,Yes,No,No
34,No,Very confident,Yes,No,Yes,Yes
35,Yes,Not at all confident,No,No,No,No
36,No,Somewhat confident,No,Yes,No,No
37,No,Not at all confident,No,No,No,No
38,Yes,Somewhat confident,No,No,No,No
39,No,Very confident,No,No,No,No
40,Yes,Somewhat confident,No,No,No,No
41,No,Somewhat confident,Yes,No,No,No
42,Yes,Very confident,No,No,No,No
43,Yes,Very confident,No,No,Yes,Yes
44,Yes,Very confident,No,No,No,No
45,Yes,Somewhat confident,No,No,Yes,Yes
46,No,Somewhat confident,No,No,Yes,Yes
47,Yes,Very confident,Yes,Yes,No,No
48,Yes,Somewhat confident,No,No,Yes,Yes
49,Yes,Somewhat confident,Yes,No,Yes,Yes
50,,,,,,
51,,,,,,
52,No,Somewhat confident,No,No,No,Yes
53,,,,,,
54,,,,,,
55,Yes,Very confident,Yes,No,Yes,Yes
56,,,,,,
57,,,,,,
58,,,,,,
59,Yes,Somewhat confident,No,No,No,No
60,Yes,Not at all confident,No,Yes,Yes,Yes
61,,,,,,
62,Yes,Not at all confident,No,Yes,Yes,Yes
63,No,Not at all confident,No,No,Yes,Yes
64,,,,,,
65,,,,,,
66,,,,,,
67,Yes,Very confident,Yes,Yes,Yes,No
68,Yes,Very confident,No,No,No,Yes
69,Yes,Somewhat confident,Yes,No,No,Yes
70,Yes,Not at all confident,No,No,Yes,No
71,Yes,Not at all confident,No,No,No,No
72,,,,,,
73,,,,,,
74,Yes,Somewhat confident,No,No,Yes,No
75,Yes,Very confident,Yes,No,Yes,No
76,Yes,Somewhat confident,No,No,No,No
77,No,Somewhat confident,Yes,Yes,No,Yes
78,No,Very confident,No,No,No,Yes
79,No,Very confident,Yes,Yes,Yes,Yes
80,Yes,Very confident,Yes,No,No,Yes
81,,,,,,
82,,,,,,
83,No,Somewhat confident,Yes,Yes,Yes,Yes
84,No,Somewhat confident,No,No,Yes,Yes
85,Yes,Somewhat confident,Yes,No,Yes,Yes
86,No,Very confident,Yes,Yes,Yes,Yes
87,,,,,,
88,No,Somewhat confident,No,No,No,No
89,,,,,,
90,No,Very confident,Yes,No,No,Yes
91,,,,,,
92,No,Somewhat confident,No,Yes,Yes,Yes
93,Yes,Somewhat confident,No,No,Yes,No
94,No,Somewhat confident,Yes,No,Yes,Yes
95,,,,,,
96,No,Not at all confident,No,No,No,No
97,No,Very confident,Yes,Yes,No,No
98,Yes,Somewhat confident,No,No,No,Yes
99,,,,,,
100,,,,,,
101,Yes,Very confident,No,No,Yes,No
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,Yes,Very confident,No,No,Yes,No
107,,,,,,
108,No,Very confident,No,No,Yes,Yes
109,No,Very confident,No,No,Yes,Yes
110,Yes,Very confident,No,No,Yes,No
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,No,Very confident,Yes,No,No,No
117,No,Very confident,Yes,No,No,No
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,No,Somewhat confident,No,No,Yes,Yes
135,Yes,Very confident,No,No,No,No
136,,,,,,
137,Yes,Very confident,No,Yes,No,Yes
138,,,,,,
139,,,,,,
140,,,,,,
141,Yes,Very confident,No,No,Yes,Yes
142,Yes,Very confident,No,No,Yes,Yes
143,No,Not at all confident,No,No,No,Yes
144,No,Not at all confident,No,No,No,Yes
145,,,,,,
146,Yes,Very confident,No,No,No,No
147,No,Somewhat confident,No,Yes,Yes,No
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,No,Very confident,No,No,Yes,No
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,Yes,Very confident,Yes,Yes,Yes,No
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,Yes,Very confident,Yes,Yes,Yes,No
184,,,,,,
185,Yes,Somewhat confident,No,Yes,Yes,Yes
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,No,Very confident,No,No,Yes,No
191,No,Very confident,No,No,Yes,No
192,,,,,,
193,,,,,,
194,No,Very confident,No,No,No,No
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,Yes,Very confident,No,Yes,No,No
202,,,,,,
203,No,Very confident,No,Yes,No,Yes
204,,,,,,
205,Yes,Very confident,Yes,No,Yes,No
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,No,Somewhat confident,No,No,No,No
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,Yes,Somewhat confident,Yes,Yes,Yes,No
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,Yes,Somewhat confident,No,Yes,No,No
246,,,,,,
247,,,,,,
248,,,,,,
249,No,Somewhat confident,No,No,No,No
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,No,Very confident,No,No,Yes,No
266,No,Very confident,No,No,Yes,No
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,Yes,Very confident,No,Yes,Yes,No
272,No,Somewhat confident,No,No,Yes,No
