,Wages1,Hours1,Wages2,Hours2
0,22.09,40.0,,
1,20.0,25.0,,
2,,,,
3,,,,
4,11.0,40.0,,
5,12.0,40.0,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,22.0,40.0,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,18.0,40.0,,
37,19.0,40.0,,
38,,,,
39,10.25,40.0,,
40,11.5,40.0,,
41,,,,
42,12.75,40.0,,
43,,,,
44,,,,
45,15.0,40.0,,
46,9.0,35.0,,
47,14.5,40.0,,
48,15.0,65.0,,
49,9.3,30.0,,
50,18.25,40.0,,
51,10.25,29.0,,
52,,,,
53,8.0,40.0,,
54,,,,
55,25.0,40.0,,
56,,,,
57,15.0,40.0,,
58,,,,
59,,,,
60,13.22,40.0,,
61,29.0,40.0,,
62,10.0,40.0,,
63,24.0,20.0,,
64,,,,
65,8.5,35.0,,
66,8.0,40.0,,
67,,,,
68,11.5,38.0,,
69,9.0,20.0,,
70,,,,
71,,,,
72,10.0,40.0,,
73,,,,
74,,,,
75,21.0,45.0,,
76,8.0,40.0,,
77,10.0,40.0,,
78,,,,
79,11.5625,40.0,,
80,,,,
81,,,,
82,,,,
83,17.5,40.0,,
84,,,,
85,20.625,40.0,,
86,9.375,40.0,,
87,23.75,20.0,,
88,17.5,40.0,,
89,,,,
90,,,,
91,17.5,20.0,,
92,,,,
93,8.125,40.0,,
94,13.95625,40.0,,
95,21.0,20.0,,
96,,,,
97,20.55,40.0,,
98,9.0,40.0,,
99,,,,
100,,,,
101,15.0,40.0,,
102,30.0,40.0,,
103,12.5,36.0,,
104,10.0,40.0,,
105,,,,
106,,,,
107,10.4,30.0,,
108,,,,
109,,,,
110,7.75,39.0,,
111,14.0,40.0,,
112,10.0,40.0,,
113,10.0,25.0,,
114,,,,
115,9.0,32.0,,
116,14.5,40.0,,
117,14.5,40.0,,
118,,,,
119,,,,
120,,,,
121,,,,
122,9.5,40.0,,
123,,,,
124,9.5,20.0,,
125,7.5,32.0,,
126,,,,
127,40.0,13.0,,
128,,,,
129,,,,
130,,,,
131,12.0,40.0,,
132,,,,
133,,,,
134,,,,
135,8.5,40.0,,
136,,,,
137,13.5,40.0,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,7.25,20.0,,
146,20.0,25.0,,
147,11.54,19.0,,
148,11.5,40.0,,
149,15.0,30.0,,
150,,,,
151,18.0,40.0,,
152,,,,
153,10.5,40.0,,
154,13.0,40.0,,
155,13.0,40.0,,
156,9.0,35.0,,
157,14.0,40.0,,
158,,,,
159,7.5,22.0,,
160,12.0,40.0,,
161,10.0,32.0,,
162,7.25,18.0,,
163,9.0,40.0,,
164,12.0,20.0,,
165,15.0,60.0,,
166,,,,
167,,,,
168,11.0,40.0,,
169,,,,
170,14.0,40.0,,
171,35.31,40.0,,
172,9.5,40.0,,
173,,,,
174,,,,
175,8.0,30.0,,
176,10.0,16.0,,
177,11.0,30.0,,
178,,,,
179,,,,
180,8.0,35.0,,
181,,,,
182,,,,
183,21.67,40.0,,
184,11.0,30.0,,
185,15.3,32.0,,
186,9.5,40.0,,
187,12.5,40.0,,
188,16.0,40.0,,
189,,,,
190,,,,
191,,,,
192,,,,
193,11.0,40.0,,
194,11.0,19.0,,
195,16.0,40.0,,
196,9.0,15.0,,
197,9.5,40.0,,
198,,,,
199,,,,
200,14.0,40.0,,
201,14.0,40.0,,
202,13.0,40.0,,
203,18.0,40.0,,
204,11.0,35.0,,
205,14.0,40.0,,
206,7.5,40.0,,
207,9.0,16.0,,
208,,,,
209,6.25,35.0,,
210,12.0,40.0,,
211,14.5,40.0,,
212,9.0,40.0,,
213,18.0,40.0,,
214,12.5,55.0,,
215,12.0,38.0,,
216,,,,
217,16.0,40.0,,
218,13.5,40.0,,
219,15.0,40.0,,
220,15.0,20.0,,
221,9.0,20.0,,
222,12.87,40.0,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,10.5,25.0,,
230,15.0,60.0,,
231,13.5,40.0,,
232,8.0,20.0,,
233,11.5,40.0,,
234,9.0,40.0,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,9.0,15.0,,
241,12.0,35.0,,
242,13.0,20.0,,
243,,,,
244,13.0,35.0,,
245,10.0,30.0,,
246,,,,
247,17.0,50.0,,
248,,,,
249,12.0,40.0,,
250,12.0,40.0,,
251,,,,
252,11.5,40.0,,
253,9.0,20.0,,
254,,,,
255,,,,
256,13.5,50.0,,
257,14.5,50.0,,
258,8.5,20.0,,
259,,,,
260,12.5,40.0,,
261,9.0,20.0,,
262,10.0,30.0,,
263,12.0,40.0,,
264,17.0,40.0,,
265,,,,
266,,,,
267,14.0,40.0,,
268,,,,
269,,,,
270,9.75,40.0,,
271,12.5,40.0,,
272,13.0,40.0,,
273,17.0,50.0,,
274,12.5,40.0,,
275,,,,
276,,,,
277,18.0,40.0,,
278,,,,
279,19.67,20.0,,
280,11.0,35.0,,
281,,,,
282,,,,
283,10.0,30.0,,
284,13.5,24.0,,
285,,,,
286,,,,
287,12.0,40.0,,
288,,,,
289,,,,
290,14.0,55.0,,
291,18.0,40.0,,
292,11.0,20.0,,
293,,,,
294,15.0,40.0,,
295,16.0,40.0,,
296,,,,
297,11.0,40.0,,
298,,,,
299,,,,
300,11.0,25.0,,
301,13.0,25.0,,
302,16.5,40.0,,
303,,,,
304,16.5,40.0,,
305,,,,
306,,,,
307,,,,
308,20.95,40.0,,
309,,,,
310,13.5,40.0,,
311,,,,
312,,,,
313,,,,
314,,,,
315,30.0,40.0,,
316,17.0,40.0,,
317,11.0,34.0,,
318,,,,
319,,,,
320,14.0,40.0,,
321,13.5,40.0,,
322,,,,
323,15.0,40.0,,
324,,,,
325,9.19,40.0,,
326,13.5,10.0,,
327,,,,
328,11.0,40.0,,
329,,,,
330,15.0,40.0,,
331,18.0,40.0,,
332,,,,
333,14.0,40.0,,
334,11.0,25.0,,
335,15.0,40.0,,
336,14.5,40.0,,
337,11.0,25.0,,
338,,,,
339,30.0,12.0,,
340,12.5,40.0,,
341,,,,
342,,,,
343,15.5,40.0,,
344,18.4,30.0,,
345,15.0,40.0,,
346,12.5,40.0,,
347,12.0,40.0,,
348,,,,
349,13.0,40.0,,
350,40.0,15.0,,
351,,,,
352,,,,
353,13.0,40.0,,
