,BenefitsScreening,BenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
0,Yes,No,Yes,Yes,No,Yes,2
1,Yes,No,No,Yes,No,Yes,2
2,No,No,Yes,Yes,No,Yes,2
3,Yes,No,Yes,Yes,No,No,1
4,Yes,Yes,Yes,Yes,No,Yes,2
5,Yes,No,Yes,Yes,No,Yes,2
6,Yes,No,Yes,Yes,Yes,Yes,3
7,Yes,No,Yes,Yes,Yes,Yes,3
8,Yes,Yes,Yes,Yes,No,Yes,2
9,Yes,Yes,Yes,Yes,Yes,Yes,3
10,Yes,No,Yes,Yes,No,No,1
11,Yes,Yes,Yes,Yes,No,Yes,2
12,Yes,No,Yes,Yes,No,Yes,2
13,Yes,Yes,Yes,Yes,No,Yes,2
14,Yes,Yes,Yes,Yes,No,No,1
15,Yes,No,Yes,Yes,No,Yes,2
16,Yes,No,Yes,Yes,No,Yes,2
17,Yes,Yes,Yes,Yes,Yes,Yes,3
18,Yes,Yes,Yes,Yes,No,Yes,2
19,Yes,Yes,Yes,Yes,No,Yes,2
20,Yes,Yes,Yes,Yes,No,Yes,2
21,Yes,No,Yes,Yes,No,Yes,2
22,Yes,No,No,Yes,No,Yes,2
23,Yes,Yes,Yes,Yes,Yes,Yes,3
24,Yes,No,No,Yes,No,Yes,2
25,Yes,Yes,Yes,Yes,No,Yes,2
26,No,No,Yes,Yes,Yes,Yes,3
27,Yes,No,Yes,Yes,Yes,Yes,3
28,Yes,No,No,Yes,No,Yes,2
29,Yes,No,Yes,Yes,No,Yes,2
30,Yes,No,Yes,Yes,Yes,Yes,3
31,Yes,No,Yes,Yes,No,Yes,2
32,Yes,Yes,Yes,Yes,No,Yes,2
33,Yes,No,Yes,Yes,No,Yes,2
34,Yes,Yes,Yes,Yes,No,Yes,2
35,Yes,Yes,Yes,Yes,No,Yes,2
36,Yes,No,Yes,Yes,Yes,Yes,3
37,Yes,No,Yes,Yes,Yes,Yes,3
38,Yes,No,Yes,Yes,No,Yes,2
39,Yes,No,Yes,Yes,No,Yes,2
40,Yes,Yes,Yes,Yes,Yes,Yes,3
41,Yes,No,No,Yes,No,Yes,2
42,Yes,No,Yes,Yes,No,Yes,2
43,Yes,No,No,Yes,No,No,1
44,Yes,Yes,Yes,Yes,Yes,Yes,3
45,Yes,No,Yes,Yes,Yes,Yes,3
46,No,No,No,No,Yes,No,1
47,Yes,No,Yes,Yes,Yes,Yes,3
48,Yes,Yes,Yes,Yes,No,Yes,2
49,No,Yes,Yes,Yes,No,Yes,2
50,Yes,Yes,No,Yes,No,Yes,2
51,Yes,Yes,Yes,Yes,No,Yes,2
52,No,Yes,,Yes,No,No,1
53,No,No,No,No,Yes,Yes,2
54,Yes,Yes,,Yes,Yes,Yes,3
55,Yes,,,Yes,No,Yes,2
56,No,No,No,No,Yes,No,1
57,No,No,,No,No,No,0
58,No,No,,No,No,No,0
59,No,No,,No,No,No,0
60,No,No,,No,No,No,0
61,No,Yes,,Yes,No,No,1
62,No,Yes,,Yes,No,No,1
63,No,Yes,,Yes,No,No,1
64,No,No,,No,No,No,0
65,No,Yes,No,Yes,No,No,1
66,No,Yes,No,Yes,No,No,1
67,No,No,,No,No,No,0
68,No,Yes,No,Yes,No,Yes,2
69,No,No,,No,No,Yes,1
70,No,Yes,,Yes,No,No,1
71,No,No,,No,No,No,0
72,No,No,,No,No,No,0
73,No,No,,No,No,No,0
74,No,Yes,,Yes,No,No,1
75,No,No,No,No,No,No,0
76,No,Yes,No,Yes,No,No,1
77,Yes,Yes,,Yes,No,Yes,2
78,No,No,,No,Yes,No,1
79,No,No,,No,Yes,No,1
80,No,No,No,No,Yes,No,1
81,No,No,,No,No,No,0
82,No,No,Yes,Yes,No,No,1
83,No,No,No,No,No,No,0
84,No,Yes,No,Yes,No,No,1
85,No,Yes,,Yes,No,No,1
86,Yes,No,,Yes,No,Yes,2
87,No,Yes,No,Yes,No,No,1
88,Yes,Yes,,Yes,Yes,Yes,3
89,No,No,No,No,Yes,No,1
90,No,No,No,No,No,No,0
91,No,No,,No,No,No,0
92,Yes,Yes,,Yes,No,No,1
93,No,No,,No,No,Yes,1
94,No,Yes,No,Yes,No,No,1
95,No,No,,No,No,No,0
96,No,No,No,No,No,No,0
97,No,No,No,No,Yes,No,1
98,No,No,,No,No,No,0
99,No,No,No,No,No,No,0
100,No,No,,No,Yes,No,1
101,Yes,,,Yes,No,Yes,2
102,No,No,No,No,No,Yes,1
103,No,No,Yes,Yes,No,Yes,2
104,No,No,,No,Yes,Yes,2
105,No,No,No,No,No,No,0
106,Yes,No,,Yes,No,Yes,2
107,No,Yes,No,Yes,No,No,1
108,No,Yes,No,Yes,No,No,1
109,No,No,,No,No,No,0
110,Yes,No,No,Yes,Yes,Yes,3
111,No,Yes,No,Yes,No,No,1
112,No,Yes,,Yes,No,No,1
113,No,Yes,No,Yes,No,No,1
114,No,Yes,,Yes,No,No,1
115,No,Yes,,Yes,No,No,1
116,No,No,,No,No,No,0
117,No,No,,No,Yes,No,1
118,No,No,No,No,No,No,0
119,No,Yes,No,Yes,No,No,1
