,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
0,No,Employed Full Time,1/2/2004,Yes,No,No
1,No,,,No,No,No
2,No,Employed Full Time,8/22/2012,Yes,No,No
3,No,Employed Part Time,12/14/2015,No,No,No
4,No,,,No,No,No
5,No,,,No,No,No
6,Yes,Employed Part Time,9/9/2011,Yes,Yes,No
7,Yes,,,No,No,No
8,No,,,No,No,No
9,Yes,Employed Full Time,8/2/2015,No,Yes,No
10,No,,,No,Yes,No
11,No,,,No,No,No
12,No,,,No,No,No
13,No,Employed Full Time,6/29/2015,Yes,No,No
14,No,Employed Full Time,8/16/2015,No,No,No
15,No,,,No,No,No
16,No,Employed Full Time,7/5/2014,Yes,No,No
17,Yes,,,No,Yes,Yes
18,No,Employed Part Time,8/22/2015,Yes,No,No
19,No,,,No,No,No
20,No,Employed Part Time,1/1/2015,Yes,No,No
21,No,,,No,No,No
22,No,,,No,No,No
23,Yes,,,No,No,No
24,No,,,No,No,No
25,No,,,No,No,No
26,Yes,Employed Full Time,4/23/2016,No,No,No
27,Yes,,,No,No,No
28,No,,,No,No,No
29,No,,,No,No,No
30,Yes,,,No,No,No
31,No,Employed Full Time,6/7/2015,Yes,No,No
32,No,,,No,No,No
33,No,,,No,No,No
34,No,,,No,No,No
35,No,Employed Part Time,6/16/2015,Yes,No,No
36,Yes,Employed Full Time,7/6/2015,Yes,No,No
37,Yes,,,No,No,No
38,No,Employed Full Time,7/15/2012,Yes,No,No
39,No,Employed Part Time,7/12/2015,Yes,No,No
40,Yes,,,No,No,No
41,No,,,No,No,No
42,No,,,No,No,No
43,No,Employed Full Time,11/23/2013,Yes,No,No
44,Yes,,,No,No,No
45,Yes,,,No,No,No
46,Yes,Employed Full Time,10/1/2001,Yes,No,No
47,Yes,Employed Full Time,1/5/2008,Yes,No,No
48,No,,,No,No,No
49,No,Employed Part Time,11/1/2015,Yes,No,No
50,No,Employed Part Time,5/13/2015,Yes,No,No
51,No,,,,No,No
52,No,,,,No,No
53,Yes,Employed Part Time,11/9/2015,,No,No
54,Yes,Employed Part Time,,,No,No
55,No,Employed Full Time,4/1/2018,,,
56,Yes,Employed Full Time,10/28/2015,,No,No
57,No,Employed Full Time,,,No,No
58,No,Employed Full Time,,,No,No
59,No,Employed Full Time,,,No,No
60,No,Employed Full Time,,,No,No
61,No,,,,No,No
62,No,,,,No,No
63,No,Employed Full Time,,,No,No
64,No,,,,No,No
65,No,,,,No,No
66,No,,,,No,No
67,No,,,,No,No
68,No,Employed Full Time,,,No,No
69,No,,,,No,No
70,No,Employed Full Time,,,No,No
71,No,Employed Full Time,,,No,No
72,No,,,,No,No
73,No,,,,No,No
74,No,Employed Full Time,,,No,No
75,No,,,,No,No
76,No,,,,No,No
77,No,Employed Full Time,,,No,No
78,Yes,,,,No,No
79,Yes,,,,No,No
80,Yes,,,,No,No
81,No,Employed Full Time,,,No,No
82,No,,,,No,No
83,No,,,,No,No
84,No,,,,No,No
85,No,Employed Full Time,,,No,No
86,No,Employed Full Time,,,No,No
87,No,,,,No,No
88,Yes,Employed Full Time,,,No,No
89,Yes,,,,No,No
90,No,,,,No,No
91,No,,,,No,No
92,No,,,,No,No
93,No,,,,Yes,Yes
94,No,,,,No,No
95,No,,,,No,No
96,No,,,,No,No
97,Yes,,,,No,No
98,No,Employed Full Time,,,No,No
99,No,,,,No,No
100,Yes,,,,No,No
101,No,Employed Part Time,10/1/2008,,,
102,No,Employed Full Time,,,No,No
103,No,Employed Full Time,,,No,No
104,Yes,,,,No,No
105,No,,,,No,No
106,No,,,,Yes,Yes
107,No,,,,No,No
108,No,,,,No,No
109,No,,,,No,No
110,Yes,,,,No,No
111,No,,,,No,No
112,No,Employed Full Time,,,No,No
113,No,,,,No,No
114,No,,,,No,No
115,No,,,,No,No
116,No,Employed Full Time,,,No,No
117,Yes,,,,No,No
118,No,,,,No,No
119,No,,,,No,No
120,No,,,,No,No
121,Yes,,,,No,No
122,Yes,,,,No,No
123,No,,,,No,No
124,No,,,,,
125,No,,,,No,No
126,No,Employed Full Time,,,No,No
127,Yes,,,,No,No
128,No,,,No,,No
129,No,,,,Yes,Yes
130,No,,,,Yes,Yes
131,No,,,,No,No
132,No,Employed Full Time,,,No,No
133,No,Employed Part Time,,,No,No
134,No,,,,Yes,No
135,No,Employed Part Time,,,No,No
136,No,Employed Full Time,,,No,No
137,No,Employed Full Time,,,No,No
138,Yes,,,,Yes,Yes
139,Yes,,,,No,No
140,No,,,,No,No
141,No,Employed Full Time,,,No,No
142,No,,,,No,No
143,Yes,,,,No,No
144,Yes,,,,No,No
145,Yes,,,,Yes,No
146,No,,,,No,No
147,No,,,,No,No
148,No,,,,No,No
149,No,,,,Yes,Yes
150,No,Employed Full Time,,,No,No
151,No,,,,No,No
152,No,Employed Full Time,,,No,No
153,Yes,Employed Full Time,,,No,No
154,Yes,,,,No,No
155,Yes,,,,No,No
156,Yes,,,,No,No
157,Yes,,,,No,No
158,Yes,,,,No,No
159,Yes,,,,No,No
160,No,,,,No,No
161,No,Employed Full Time,,,Yes,Yes
162,Yes,,,,No,No
163,No,,,,No,No
164,No,Employed Full Time,,,No,No
165,Yes,,,,No,No
166,Yes,,,,No,No
167,Yes,,,,No,No
168,Yes,,,,No,No
169,No,,,,No,No
170,Yes,Employed Full Time,,,No,No
171,Yes,,,,No,No
172,No,,,,Yes,No
173,Yes,Employed Full Time,9/1/2015,,No,No
174,Yes,Employed Full Time,,,No,No
175,No,,,,Yes,No
176,No,,,,Yes,Yes
177,Yes,,,,No,No
178,Yes,,,,No,No
179,Yes,,,,No,No
180,Yes,,,,No,No
181,No,Employed Full Time,,,No,No
182,Yes,,,,No,No
183,Yes,,,,No,No
184,Yes,Employed Full Time,,,No,No
185,Yes,Employed Full Time,,,No,No
186,Yes,,,,No,No
187,Yes,,,,No,No
188,Yes,Employed Part Time,,,No,No
189,Yes,,,,No,No
190,No,Employed Full Time,,,No,No
191,Yes,,,,No,No
192,No,,,,No,No
193,No,,,,No,No
194,Yes,,,,No,No
195,No,,,,No,No
196,Yes,,,,No,No
197,Yes,,,,No,No
198,No,Employed Full Time,,,No,No
199,No,Employed Part Time,,,No,No
200,No,Employed Full Time,,,No,No
201,Yes,,,,No,No
202,No,Employed Full Time,,,No,No
203,Yes,,,,No,No
204,No,,,,No,No
205,Yes,,,,No,No
206,No,Employed Full Time,,,No,No
207,No,Employed Full Time,,,No,No
208,No,Employed Part Time,,,No,No
209,No,Employed Full Time,,,No,No
210,No,,,,No,No
211,No,Employed Full Time,,,No,No
212,No,Employed Full Time,,,No,No
213,Yes,Employed Full Time,,,No,No
214,Yes,Employed Full Time,,,No,No
215,No,Employed Full Time,,,No,No
216,Yes,,,,,
217,Yes,Employed Part Time,2/22/2016,,No,No
218,No,,,,No,No
219,No,,,,No,No
220,No,Employed Part Time,,,No,No
221,Yes,,,,No,No
222,Yes,,,,No,No
223,Yes,,,,No,No
224,No,Employed Part Time,,,No,No
225,Yes,,,,No,No
226,No,,,,No,No
227,No,Employed Full Time,,,No,No
228,No,,,,No,No
229,Yes,,,,No,No
230,No,,,,No,No
231,No,,,,No,No
232,No,Employed Full Time,,,No,No
233,Yes,,,,No,No
234,No,Employed Full Time,,,No,No
235,Yes,,,,Yes,Yes
236,Yes,Employed Part Time,1/19/2016,,No,No
237,No,,,,No,No
238,No,,,,No,No
239,No,,,,No,No
240,No,Employed Part Time,,,No,No
241,No,,,,No,No
242,No,,,,No,No
243,No,Employed Part Time,,,No,No
244,No,,,,No,No
245,No,Employed Part Time,,,No,No
246,No,,,,No,No
247,No,Employed Part Time,,,No,No
248,No,Employed Part Time,,,No,No
249,No,Employed Part Time,,,No,No
250,No,,,,No,No
251,No,,,,No,No
252,No,,,,Yes,No
253,No,,,,No,No
254,No,,,,No,No
255,Yes,,,,No,No
256,No,Employed Full Time,,,Yes,No
257,No,Employed Full Time,,,Yes,Yes
258,No,Employed Full Time,,,No,No
259,No,Employed Full Time,,,Yes,Yes
260,No,Employed Full Time,,,Yes,Yes
261,No,,,,No,No
262,Yes,,,,No,No
263,No,,,,Yes,No
264,No,Employed Full Time,,,Yes,Yes
265,Yes,,,,No,No
266,Yes,,,,No,No
267,Yes,,,,No,No
268,Yes,,,,No,No
269,Yes,Employed Full Time,,,No,No
270,Yes,,,,No,No
271,Yes,,,,No,No
272,Yes,,,,No,No
273,Yes,,,,No,No
274,Yes,,,,No,No
275,Yes,,,,No,No
276,Yes,,,,No,No
277,Yes,,,,No,No
278,Yes,,,,No,No
279,Yes,,,,No,No
280,Yes,,,,No,No
281,Yes,,,,No,No
282,Yes,,,,No,No
283,Yes,,,,No,No
284,Yes,,,,No,No
285,Yes,,,,No,No
286,No,Employed Full Time,,,No,No
287,Yes,,,,No,No
288,Yes,,,,No,No
289,Yes,,,,No,No
290,Yes,,,,No,No
291,Yes,,,,No,No
292,Yes,,,,No,No
293,Yes,,,,No,No
294,Yes,,,,No,No
295,Yes,,,,No,No
296,Yes,,,,No,No
297,Yes,,,,No,No
298,Yes,,,,No,No
299,Yes,,,,No,No
300,Yes,,,,No,No
301,Yes,,,,No,No
302,Yes,,,,Yes,Yes
303,Yes,,,,No,No
304,Yes,,,,No,No
305,Yes,,,,No,No
306,Yes,,,,No,No
307,Yes,,,,No,No
308,Yes,,6/8/2015,,No,No
309,Yes,,,,No,No
310,Yes,,,,No,No
311,Yes,,,,No,No
312,Yes,,,,No,No
313,Yes,Employed Full Time,7/1/2015,,No,No
314,Yes,,,,No,No
315,Yes,,,,No,No
316,Yes,,,,No,No
317,Yes,Employed Full Time,,,No,No
318,Yes,,,,No,No
319,Yes,,,,No,No
320,Yes,,,,No,No
321,Yes,,,,No,No
322,Yes,,,,No,No
323,Yes,,,,No,No
324,Yes,,,,No,No
325,Yes,,,,No,No
326,Yes,,,,No,No
327,Yes,Employed Full Time,12/23/2015,,Yes,Yes
328,No,,,,No,No
329,Yes,,,,Yes,Yes
330,Yes,,,,No,No
331,Yes,,,,Yes,Yes
332,No,,,,Yes,Yes
333,Yes,,,,No,No
334,Yes,,,,No,No
335,No,Employed Full Time,,,No,No
336,Yes,,,,No,No
337,Yes,,,,No,No
338,Yes,,,,No,No
339,Yes,,,,No,No
340,Yes,,,,No,No
341,Yes,,,,No,No
342,No,,,,No,No
343,Yes,,,,No,No
344,Yes,,,,No,No
345,No,Employed Full Time,,,No,No
346,Yes,,,,No,No
347,No,,,,No,No
348,No,,,,No,No
349,Yes,,,,No,No
