AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
No,Employed Full Time,1/2/2004,Yes,No,No
No,,,No,No,No
No,Employed Full Time,8/22/2012,Yes,No,No
No,Employed Part Time,12/14/2015,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Part Time,9/9/2011,Yes,Yes,No
Yes,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,8/2/2015,No,Yes,No
No,,,No,Yes,No
No,,,No,No,No
No,,,No,No,No
No,Employed Full Time,6/29/2015,Yes,No,No
No,Employed Full Time,8/16/2015,No,No,No
No,,,No,No,No
No,Employed Full Time,7/5/2014,Yes,No,No
Yes,,,No,Yes,Yes
No,Employed Part Time,8/22/2015,Yes,No,No
No,,,No,No,No
No,Employed Part Time,1/1/2015,Yes,No,No
No,,,No,No,No
No,,,No,No,No
Yes,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,4/23/2016,No,No,No
Yes,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,,,No,No,No
No,Employed Full Time,6/7/2015,Yes,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,Employed Part Time,6/16/2015,Yes,No,No
Yes,Employed Full Time,7/6/2015,Yes,No,No
Yes,,,No,No,No
No,Employed Full Time,7/15/2012,Yes,No,No
No,Employed Part Time,7/12/2015,Yes,No,No
Yes,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,Employed Full Time,11/23/2013,Yes,No,No
Yes,,,No,No,No
Yes,,,No,No,No
Yes,Employed Full Time,10/1/2001,Yes,No,No
Yes,Employed Full Time,1/5/2008,Yes,No,No
No,,,No,No,No
No,Employed Part Time,11/1/2015,Yes,No,No
No,Employed Part Time,5/13/2015,Yes,No,No
No,,,,No,No
No,,,,No,No
Yes,Employed Part Time,11/9/2015,,No,No
Yes,Employed Part Time,,,No,No
No,Employed Full Time,4/1/2018,,,
Yes,Employed Full Time,10/28/2015,,No,No
No,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
No,,,,No,No
No,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
No,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
Yes,Employed Full Time,,,No,No
Yes,,,,No,No
No,,,,No,No
No,,,,No,No
No,,,,No,No
No,,,,Yes,Yes
No,,,,No,No
No,,,,No,No
No,,,,No,No
Yes,,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
Yes,,,,No,No
No,Employed Part Time,10/1/2008,,,
No,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
No,,,,No,No
No,,,,Yes,Yes
No,,,,No,No
No,,,,No,No
No,,,,No,No
Yes,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
No,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
No,,,,No,No
No,,,,No,No
No,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
No,,,,No,No
No,,,,,
No,,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
No,,,No,,No
No,,,,Yes,Yes
No,,,,Yes,Yes
No,,,,No,No
No,Employed Full Time,,,No,No
No,Employed Part Time,,,No,No
No,,,,Yes,No
No,Employed Part Time,,,No,No
No,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,Yes,Yes
Yes,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,Yes,No
No,,,,No,No
No,,,,No,No
No,,,,No,No
No,,,,Yes,Yes
No,Employed Full Time,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
Yes,Employed Full Time,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
No,,,,No,No
No,Employed Full Time,,,Yes,Yes
Yes,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
No,,,,No,No
Yes,Employed Full Time,,,No,No
Yes,,,,No,No
No,,,,Yes,No
Yes,Employed Full Time,9/1/2015,,No,No
Yes,Employed Full Time,,,No,No
No,,,,Yes,No
No,,,,Yes,Yes
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,Employed Full Time,,,No,No
Yes,Employed Full Time,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,Employed Part Time,,,No,No
Yes,,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
No,,,,No,No
No,,,,No,No
Yes,,,,No,No
No,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
No,Employed Full Time,,,No,No
No,Employed Part Time,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
No,,,,No,No
Yes,,,,No,No
No,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
No,Employed Part Time,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
Yes,Employed Full Time,,,No,No
Yes,Employed Full Time,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,,
Yes,Employed Part Time,2/22/2016,,No,No
No,,,,No,No
No,,,,No,No
No,Employed Part Time,,,No,No
Yes,,,,No,No
Yes,,,,No,No
Yes,,,,No,No
No,Employed Part Time,,,No,No
Yes,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
No,,,,No,No
Yes,,,,No,No
No,,,,No,No
No,,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,No,No
No,Employed Full Time,,,No,No
Yes,,,,Yes,Yes
Yes,Employed Part Time,1/19/2016,,No,No
No,,,,No,No
