empid_varchar,emp_varchar,empid_varchar,emp_emp,empid_varchar,emp_excel,recordid,clientid
1,Employed Full Time,1,Employed Full Time,1,Employed Full Time,1,18159
2,,2,,2,,2,181049
3,Employed Full Time,3,Employed Full Time,3,Employed Full Time,3,181150
4,Employed Part Time,4,Employed Part Time,4,Employed Part Time,4,181652
5,,5,,5,,5,181656
6,,6,,6,,6,181684
7,Employed Part Time,7,Employed Part Time,7,Employed Part Time,7,182258
8,,8,,8,,8,182560
9,,9,,9,,9,182870
10,Employed Full Time,10,Employed Full Time,10,Employed Full Time,10,182924
11,,11,,11,,11,182953
12,,12,,12,,12,183115
13,,13,,13,,13,183298
14,Employed Full Time,14,Employed Full Time,14,Employed Full Time,14,183333
15,Employed Full Time,15,Employed Full Time,15,Employed Full Time,15,183433
16,,16,,16,,16,183668
17,Employed Full Time,17,Employed Full Time,17,Employed Full Time,17,183721
18,,18,,18,,18,183732
19,Employed Part Time,19,Employed Part Time,19,Employed Part Time,19,183857
20,,20,,20,,20,184035
21,Employed Part Time,21,Employed Part Time,21,Employed Part Time,21,184141
22,,22,,22,,22,184264
23,,23,,23,,23,184708
24,,24,,24,,24,185047
25,,25,,25,,25,185204
26,,26,,26,,26,185327
27,Employed Full Time,27,Employed Full Time,27,Employed Full Time,27,185490
28,,28,,28,,28,185522
29,,29,,29,,29,186114
30,,30,,30,,30,186147
31,,31,,31,,31,186282
32,Employed Full Time,32,Employed Full Time,32,Employed Full Time,32,186488
33,,33,,33,,33,186597
34,,34,,34,,34,186718
35,,35,,35,,35,186775
36,Employed Part Time,36,Employed Part Time,36,Employed Part Time,36,186850
37,Employed Full Time,37,Employed Full Time,37,Employed Full Time,37,186944
38,,38,,38,,38,186956
39,Employed Full Time,39,Employed Full Time,39,Employed Full Time,39,187105
40,Employed Part Time,40,Employed Part Time,40,Employed Part Time,40,187544
41,,41,,41,,41,188250
42,,42,,42,,42,188900
43,,43,,43,,43,189186
44,Employed Full Time,44,Employed Full Time,44,Employed Full Time,44,189420
45,,45,,45,,45,189432
46,,46,,46,,46,189551
