clientid,emp,emp_date
1.66166E+11,Not employed,
1.66822E+11,Employed Part Time,3/1/2017
1011770,Employed Full Time,10/1/1988
1012741,Not employed,
1014223,Not employed,
1027494,Employed Full Time,8/13/2018
1034665,Not employed,
1035689,Employed Part Time,11/9/2015
1035903,Employed Full Time,1/20/2016
1035936,Employed Full Time,4/1/2018
1036002,Employed Full Time,10/28/2015
1036147,Employed Full Time,2/29/2016
1036346,Employed Full Time,
1036544,Employed Full Time,
1036578,Employed Full Time,
1036591,,
1036595,,
1036596,Employed Full Time,8/3/2015
1036632,,
1036695,Not employed,
1036884,Not employed,
1036893,Not employed,8/17/2015
1037080,Employed Full Time,
1037082,Not employed,
1037195,Employed Full Time,
1037253,Employed Full Time,
1037321,,
1037360,,
1037507,Employed Full Time,
1037538,,
1037540,,
1037836,Employed Full Time,
1037846,Not employed,7/13/2015
1037849,Not employed,7/22/2015
1037855,Not employed,8/24/2015
1037877,Employed Full Time,10/28/2015
1037909,Not employed,
1037916,,
1037942,,
1037967,Employed Full Time,
1037982,Employed Full Time,
1038057,,
1038065,Employed Full Time,
1038079,Not employed,7/20/2015
1038080,,
1038081,Not employed,8/25/2015
1038097,Not employed,
1038099,Not employed,4/4/2016
1038195,,
1038198,,
1038217,,
1038226,Not employed,7/9/2015
1038273,Employed Full Time,
1038278,,
1038296,Not employed,7/6/2015
1038305,Employed Part Time,10/1/2008
1038352,Employed Full Time,
1038366,Employed Full Time,3/7/2016
1038367,Not employed,
1038413,,
1038468,Not employed,
1038473,,
1038479,,
1038521,Not employed,
1038550,Employed Full Time,1/1/2017
1038574,Not employed,
1038575,Employed Full Time,11/17/2015
1038576,Employed Part Time,
1038583,Employed Full Time,11/1/2017
1038636,Employed Full Time,
1038665,Employed Full Time,
1038680,Not employed,10/26/2015
1038731,,
1038733,,
1038750,,
1038787,Not employed,
1038808,Employed Full Time,9/22/2016
1038826,Employed Full Time,
1038869,Not employed,
1038889,Employed Part Time,12/27/2016
1038909,Employed Full Time,10/28/2015
1038936,Not employed,4/4/2016
1038944,Employed Full Time,11/15/2016
1038950,Not employed,1/4/2016
1038951,Employed Part Time,1/4/2016
1038995,,
1038997,Employed Full Time,
1039041,Employed Part Time,1/2/2017
1039057,Not employed,5/18/2016
1039096,Employed Part Time,
1039114,Employed Full Time,
1039115,Employed Full Time,
1039177,Not employed,12/10/2015
1039217,Not employed,5/26/2016
1039318,Not employed,
1039331,Employed Full Time,
1039338,Not employed,
1039371,Employed Full Time,9/14/2016
1039406,Not employed,9/24/2015
1039423,Employed Full Time,8/14/2015
1039454,,
1039468,Not employed,
1039485,,
1039490,Not employed,
1039493,Employed Full Time,
1039500,,
1039519,Employed Full Time,
1039538,Employed Full Time,
1039545,Not employed,9/21/2015
1039584,Not employed,1/8/2016
1039591,Not employed,9/1/2015
1039598,Not employed,9/3/2015
1039605,Not employed,9/3/2015
1039607,Not employed,9/7/2015
1039634,,
1039643,Employed Full Time,3/17/2016
1039658,Employed Full Time,10/17/2016
