agency,clientid,quarter,baseline_baseline,dob,dob_cat,gender,race,maritalstatus,highested,housingtype,hhadults,hhchildren,criminalbackground,zipcode,date,accessemployment_baseline,employmentstatus_baseline,employmentstartdate_baseline,employmentretention_baseline,jobtrainingenrolled_baseline,jobtrainingcompleted_baseline,savings_baseline,creditscore_baseline,debt_baseline,wages1_baseline,hours1_baseline,wages2_baseline,hours2_baseline,incomeclient_baseline,incomehh_baseline,publicbenefits_baseline,expenseshh_baseline,accessincome_baseline,accessfinancialcoach_baseline,bundledservices_baseline,fincap_budget_baseline,fincap_goals_baseline,fincap_emergencyfund_baseline,fincap_autodeposit_baseline,fincap_incomeexpenses_baseline,fincap_latefee_baseline,accessincome_alltime,accessemployment_alltime,accessfinancialcoach_alltime,bundledservices_alltime,clientid_checkin,quarter_checkin,accessemployment_checkin,employmentstatus_checkin,employmentstartdate_checkin,employmentretention_checkin,jobtrainingenrolled_checkin,jobtrainingcompleted_checkin,savings_checkin,creditscore_checkin,debt_checkin,wages1_checkin,hours1_checkin,wages2_checkin,hours_checkin,incomeclient_checkin,incomehh_checkin,publicbenefits_checkin,expenseshh_checkin,accessincome_checkin,accessfinancialcoach_checkin,bundledservices_checkin,fincap_budget_checkin,fincap_goals_checkin,fincap_emergencyfund_checkin,fincap_autodeposit_checkin,fincap_incomeexpenses_checkin,fincap_latefee_checkin
Metrocrest,18159,2015 Q4,t,1967-08-23 00:00:00,1961-1970,Female,Black or African American,Divorced,"Some college, no degree",Rents,2,0,No,75006,2015-10-01 00:00:00,No,Employed Full Time,1/2/2004,Yes,No,No,0,,0,14.0,35.0,0.0,0.0,1960.0,1960.0,0.0,2266.0,Yes,Yes,2,No,Not at all confident,No,Yes,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,181049,2015 Q4,t,1953-03-05 00:00:00,1951-1960,Female,Hispanic,Single,"Some college, no degree",Rents,2,0,Unknown,75001,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,1257.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,181150,2015 Q4,t,1959-10-09 00:00:00,1951-1960,Female,Hispanic,Married or Domestic Partnership,Unknown,Rents,6,6,No,75006,2015-10-01 00:00:00,No,Employed Full Time,8/22/2012,Yes,No,No,180,,0,5.0,40.0,,,551.54,2701.54,0.0,2809.0,Yes,Yes,2,Yes,Very confident,No,No,Yes,No,1,1,1,3,181150,2018 Q4,No,Employed Part Time,8/5/2014,Yes,No,No,,,,7.0,25.0,,,700.0,1330.0,87.0,2701.51,Yes,Yes,2,Yes,Somewhat confident,No,No,No,Yes
Metrocrest,181652,2015 Q4,t,1969-08-20 00:00:00,1961-1970,Female,White,Married or Domestic Partnership,"Some college, no degree",Owns,2,2,No,75006,2015-10-01 00:00:00,No,Employed Part Time,12/14/2015,No,No,No,0,,,11.0,26.5,,,1166.0,1166.0,0.0,3936.0,Yes,No,1,Yes,Not at all confident,No,No,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,181656,2015 Q4,t,1978-07-11 00:00:00,1971-1980,Female,Hispanic,Single,Associate Degree,Rents,1,3,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,1500.0,530.0,1700.0,Yes,Yes,2,No,Not at all confident,No,No,No,Yes,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,181684,2015 Q4,t,1956-09-26 00:00:00,1951-1960,Female,Hispanic,Separated,Unknown,Rents,2,0,No,75006,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.0,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,182258,2015 Q4,t,1966-05-11 00:00:00,1961-1970,Female,White,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,5,0,No,75006,2015-10-01 00:00:00,Yes,Employed Part Time,9/9/2011,Yes,Yes,No,0,570,933,12.2,25.0,,,1220.0,3780.0,0.0,3753.0,Yes,Yes,3,No,Very confident,No,No,No,No,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,182560,2016 Q2,t,1961-02-10 00:00:00,1961-1970,Female,Black or African American,Single,Associate Degree,Rents,1,0,No,75287,2016-04-01 00:00:00,Yes,,,No,No,No,0,647,22525,0.0,0.0,,,0.0,0.0,0.0,2500.0,Yes,Yes,3,Yes,Very confident,Yes,Yes,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,182870,2015 Q4,t,1972-02-05 00:00:00,1971-1980,Female,Hispanic,Married or Domestic Partnership,Unknown,Rents,4,1,No,75287,2015-10-01 00:00:00,No,,,No,No,No,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,1886.2,1727.9,Yes,Yes,2,No,Not at all confident,No,No,No,No,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrocrest,182924,2015 Q4,t,1967-01-13 00:00:00,1961-1970,Female,Black or African American,Single,Less than HS,Rents,1,2,No,75010,2015-10-01 00:00:00,Yes,Employed Full Time,8/2/2015,No,Yes,No,200,,400,9.0,40.0,0.0,0.0,1450.0,1450.0,750.0,1401.0,Yes,Yes,3,No,Somewhat confident,No,No,No,Yes,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
