employmentid,accessemployment,employmentstatus,employmentstartdate,employmentretention,jobtrainingenrolled,jobtrainingcompleted,to_timestamp_from_excel
1,No,,,,,,
2,,,,,,,
3,Yes,,,,,,
4,No,Employed Full Time,37988,Yes,No,No,2004-01-02 00:00:00
5,No,,,No,No,No,
6,No,Employed Full Time,41143,Yes,No,No,2012-08-22 00:00:00
7,No,Employed Part Time,42352,No,No,No,2015-12-14 00:00:00
8,No,,,No,No,No,
9,No,,,No,No,No,
10,Yes,Employed Part Time,40795,Yes,Yes,No,2011-09-09 00:00:00
11,Yes,,,No,No,No,
12,No,,,No,No,No,
13,Yes,Employed Full Time,42218,No,Yes,No,2015-08-02 00:00:00
14,No,,,No,Yes,No,
15,No,,,No,No,No,
16,No,,,No,No,No,
17,No,Employed Full Time,42184,Yes,No,No,2015-06-29 00:00:00
18,No,Employed Full Time,42232,No,No,No,2015-08-16 00:00:00
19,No,,,No,No,No,
20,No,Employed Full Time,41825,Yes,No,No,2014-07-05 00:00:00
21,Yes,,,No,Yes,Yes,
22,No,Employed Part Time,42238,Yes,No,No,2015-08-22 00:00:00
23,No,,,No,No,No,
24,No,Employed Part Time,42005,Yes,No,No,2015-01-01 00:00:00
25,No,,,No,No,No,
26,No,,,No,No,No,
27,Yes,,,No,No,No,
28,No,,,No,No,No,
29,No,,,No,No,No,
30,Yes,Employed Full Time,42483,No,No,No,2016-04-23 00:00:00
31,Yes,,,No,No,No,
32,No,,,No,No,No,
33,No,,,No,No,No,
34,Yes,,,No,No,No,
35,No,Employed Full Time,42162,Yes,No,No,2015-06-07 00:00:00
36,No,,,No,No,No,
37,No,,,No,No,No,
38,No,,,No,No,No,
39,No,Employed Part Time,42171,Yes,No,No,2015-06-16 00:00:00
40,Yes,Employed Full Time,42191,Yes,No,No,2015-07-06 00:00:00
41,Yes,,,No,No,No,
42,No,Employed Full Time,41105,Yes,No,No,2012-07-15 00:00:00
43,No,Employed Part Time,42197,Yes,No,No,2015-07-12 00:00:00
44,Yes,,,No,No,No,
45,No,,,No,No,No,
46,No,,,No,No,No,
47,No,Employed Full Time,41601,Yes,No,No,2013-11-23 00:00:00
48,Yes,,,No,No,No,
49,Yes,,,No,No,No,
50,Yes,Employed Full Time,37165,Yes,No,No,2001-10-01 00:00:00
51,Yes,Employed Full Time,39452,Yes,No,No,2008-01-05 00:00:00
52,No,,,No,No,No,
53,No,Employed Part Time,42309,Yes,No,No,2015-11-01 00:00:00
54,No,Employed Part Time,42137,Yes,No,No,2015-05-13 00:00:00
55,No,,,,No,No,
56,No,,,,No,No,
57,Yes,Employed Part Time,42317,,No,No,2015-11-09 00:00:00
58,Yes,Employed Part Time,,,No,No,
59,No,Employed Full Time,43191,,,,2018-04-01 00:00:00
60,Yes,Employed Full Time,42305,,No,No,2015-10-28 00:00:00
61,No,Employed Full Time,,,No,No,
62,No,Employed Full Time,,,No,No,
63,No,Employed Full Time,,,No,No,
64,No,Employed Full Time,,,No,No,
65,No,,,,No,No,
66,No,,,,No,No,
67,No,Employed Full Time,,,No,No,
68,No,,,,No,No,
69,No,,,,No,No,
70,No,,,,No,No,
71,No,,,,No,No,
72,No,Employed Full Time,,,No,No,
73,No,,,,No,No,
74,No,Employed Full Time,,,No,No,
75,No,Employed Full Time,,,No,No,
76,No,,,,No,No,
77,No,,,,No,No,
78,No,Employed Full Time,,,No,No,
79,No,,,,No,No,
80,No,,,,No,No,
81,No,Employed Full Time,,,No,No,
82,Yes,,,,No,No,
83,Yes,,,,No,No,
84,Yes,,,,No,No,
85,No,Employed Full Time,,,No,No,
86,No,,,,No,No,
87,No,,,,No,No,
88,No,,,,No,No,
89,No,Employed Full Time,,,No,No,
90,No,Employed Full Time,,,No,No,
91,No,,,,No,No,
92,Yes,Employed Full Time,,,No,No,
93,Yes,,,,No,No,
94,No,,,,No,No,
95,No,,,,No,No,
96,No,,,,No,No,
97,No,,,,Yes,Yes,
98,No,,,,No,No,
99,No,,,,No,No,
100,No,,,,No,No,
101,Yes,,,,No,No,
102,No,Employed Full Time,,,No,No,
103,No,,,,No,No,
104,Yes,,,,No,No,
105,No,Employed Part Time,39722,,,,2008-10-01 00:00:00
106,No,Employed Full Time,,,No,No,
107,No,Employed Full Time,,,No,No,
108,Yes,,,,No,No,
109,No,,,,No,No,
110,No,,,,Yes,Yes,
111,No,,,,No,No,
112,No,,,,No,No,
113,No,,,,No,No,
114,Yes,,,,No,No,
115,No,,,,No,No,
116,No,Employed Full Time,,,No,No,
117,No,,,,No,No,
118,No,,,,No,No,
119,No,,,,No,No,
120,No,Employed Full Time,,,No,No,
121,Yes,,,,No,No,
122,No,,,,No,No,
123,No,,,,No,No,
124,No,,,,No,No,
125,Yes,,,,No,No,
126,Yes,,,,No,No,
127,No,,,,No,No,
128,No,,,,,,
129,No,,,,No,No,
130,No,Employed Full Time,,,No,No,
131,Yes,,,,No,No,
132,No,,,No,,No,
133,No,,,,Yes,Yes,
134,No,,,,Yes,Yes,
135,No,,,,No,No,
136,No,Employed Full Time,,,No,No,
137,No,Employed Part Time,,,No,No,
138,No,,,,Yes,No,
139,No,Employed Part Time,,,No,No,
140,No,Employed Full Time,,,No,No,
141,No,Employed Full Time,,,No,No,
142,Yes,,,,Yes,Yes,
143,Yes,,,,No,No,
144,No,,,,No,No,
145,No,Employed Full Time,,,No,No,
146,No,,,,No,No,
147,Yes,,,,No,No,
148,Yes,,,,No,No,
149,Yes,,,,Yes,No,
150,No,,,,No,No,
151,No,,,,No,No,
152,No,,,,No,No,
153,No,,,,Yes,Yes,
154,No,Employed Full Time,,,No,No,
155,No,,,,No,No,
156,No,Employed Full Time,,,No,No,
157,Yes,Employed Full Time,,,No,No,
158,Yes,,,,No,No,
159,Yes,,,,No,No,
160,Yes,,,,No,No,
161,Yes,,,,No,No,
162,Yes,,,,No,No,
163,Yes,,,,No,No,
164,No,,,,No,No,
165,No,Employed Full Time,,,Yes,Yes,
166,Yes,,,,No,No,
167,No,,,,No,No,
168,No,Employed Full Time,,,No,No,
169,Yes,,,,No,No,
170,Yes,,,,No,No,
171,Yes,,,,No,No,
172,Yes,,,,No,No,
173,No,,,,No,No,
174,Yes,Employed Full Time,,,No,No,
175,Yes,,,,No,No,
176,No,,,,Yes,No,
177,Yes,Employed Full Time,42248,,No,No,2015-09-01 00:00:00
178,Yes,Employed Full Time,,,No,No,
179,No,,,,Yes,No,
180,No,,,,Yes,Yes,
181,Yes,,,,No,No,
182,Yes,,,,No,No,
183,Yes,,,,No,No,
184,Yes,,,,No,No,
185,No,Employed Full Time,,,No,No,
186,Yes,,,,No,No,
187,Yes,,,,No,No,
188,Yes,Employed Full Time,,,No,No,
189,Yes,Employed Full Time,,,No,No,
190,Yes,,,,No,No,
191,Yes,,,,No,No,
192,Yes,Employed Part Time,,,No,No,
193,Yes,,,,No,No,
194,No,Employed Full Time,,,No,No,
195,Yes,,,,No,No,
196,No,,,,No,No,
197,No,,,,No,No,
198,Yes,,,,No,No,
199,No,,,,No,No,
200,Yes,,,,No,No,
201,Yes,,,,No,No,
202,No,Employed Full Time,,,No,No,
203,No,Employed Part Time,,,No,No,
204,No,Employed Full Time,,,No,No,
205,Yes,,,,No,No,
206,No,Employed Full Time,,,No,No,
207,Yes,,,,No,No,
208,No,,,,No,No,
209,Yes,,,,No,No,
210,No,Employed Full Time,,,No,No,
211,No,Employed Full Time,,,No,No,
212,No,Employed Part Time,,,No,No,
213,No,Employed Full Time,,,No,No,
214,No,,,,No,No,
215,No,Employed Full Time,,,No,No,
216,No,Employed Full Time,,,No,No,
217,Yes,Employed Full Time,,,No,No,
218,Yes,Employed Full Time,,,No,No,
219,No,Employed Full Time,,,No,No,
220,Yes,,,,,,
221,Yes,Employed Part Time,42422,,No,No,2016-02-22 00:00:00
222,No,,,,No,No,
223,No,,,,No,No,
224,No,Employed Part Time,,,No,No,
225,Yes,,,,No,No,
226,Yes,,,,No,No,
227,Yes,,,,No,No,
228,No,Employed Part Time,,,No,No,
229,Yes,,,,No,No,
230,No,,,,No,No,
231,No,Employed Full Time,,,No,No,
232,No,,,,No,No,
233,Yes,,,,No,No,
234,No,,,,No,No,
235,No,,,,No,No,
236,No,Employed Full Time,,,No,No,
237,Yes,,,,No,No,
238,No,Employed Full Time,,,No,No,
239,Yes,,,,Yes,Yes,
240,Yes,Employed Part Time,42388,,No,No,2016-01-19 00:00:00
241,No,,,,No,No,
242,No,,,,No,No,
243,No,,,,No,No,
244,No,Employed Part Time,,,No,No,
245,No,,,,No,No,
246,No,,,,No,No,
247,No,Employed Part Time,,,No,No,
248,No,,,,No,No,
249,No,Employed Part Time,,,No,No,
250,No,,,,No,No,
251,No,Employed Part Time,,,No,No,
252,No,Employed Part Time,,,No,No,
253,No,Employed Part Time,,,No,No,
254,No,,,,No,No,
255,No,,,,No,No,
256,No,,,,Yes,No,
257,No,,,,No,No,
258,No,,,,No,No,
259,Yes,,,,No,No,
260,No,Employed Full Time,,,Yes,No,
261,No,Employed Full Time,,,Yes,Yes,
262,No,Employed Full Time,,,No,No,
263,No,Employed Full Time,,,Yes,Yes,
264,Yes,,,,,,
265,No,Employed Full Time,,,Yes,Yes,
266,No,,,,No,No,
267,Yes,,,,No,No,
268,No,,,,Yes,No,
269,No,Employed Full Time,,,Yes,Yes,
270,Yes,,,,No,No,
271,Yes,,,,No,No,
272,Yes,,,,No,No,
273,Yes,,,,No,No,
274,Yes,Employed Full Time,,,No,No,
275,Yes,,,,No,No,
276,Yes,,,,No,No,
277,Yes,,,,No,No,
278,Yes,,,,No,No,
279,Yes,,,,No,No,
280,Yes,,,,No,No,
281,Yes,,,,No,No,
282,Yes,,,,No,No,
283,Yes,,,,No,No,
284,Yes,,,,No,No,
285,Yes,,,,No,No,
286,Yes,,,,No,No,
287,Yes,,,,No,No,
288,Yes,,,,No,No,
289,Yes,,,,No,No,
290,Yes,,,,No,No,
291,No,Employed Full Time,,,No,No,
292,Yes,,,,No,No,
293,Yes,,,,No,No,
294,Yes,,,,No,No,
295,Yes,,,,No,No,
296,Yes,,,,No,No,
297,Yes,,,,No,No,
298,Yes,,,,No,No,
299,Yes,,,,No,No,
300,Yes,,,,No,No,
301,Yes,,,,No,No,
302,Yes,,,,No,No,
303,Yes,,,,No,No,
304,Yes,,,,No,No,
305,Yes,,,,No,No,
306,Yes,,,,No,No,
307,Yes,,,,Yes,Yes,
308,Yes,,,,No,No,
309,Yes,,,,No,No,
310,Yes,,,,No,No,
311,Yes,,,,No,No,
312,Yes,,,,No,No,
313,Yes,,42163,,No,No,2015-06-08 00:00:00
314,Yes,,,,No,No,
315,Yes,,,,No,No,
316,Yes,,,,No,No,
317,Yes,,,,No,No,
318,Yes,Employed Full Time,42186,,No,No,2015-07-01 00:00:00
319,Yes,,,,No,No,
320,Yes,,,,No,No,
321,Yes,,,,No,No,
322,Yes,Employed Full Time,,,No,No,
323,Yes,,,,No,No,
324,Yes,,,,No,No,
325,Yes,,,,No,No,
326,Yes,,,,No,No,
327,Yes,,,,No,No,
328,Yes,,,,No,No,
329,Yes,,,,No,No,
330,Yes,,,,No,No,
331,Yes,,,,No,No,
332,Yes,Employed Full Time,42361,,Yes,Yes,2015-12-23 00:00:00
333,No,,,,No,No,
334,Yes,,,,Yes,Yes,
335,Yes,,,,No,No,
336,Yes,,,,Yes,Yes,
337,No,,,,Yes,Yes,
338,Yes,,,,No,No,
339,Yes,,,,No,No,
340,No,Employed Full Time,,,No,No,
341,Yes,,,,No,No,
342,Yes,,,,No,No,
343,Yes,,,,No,No,
344,Yes,,,,No,No,
345,Yes,,,,No,No,
346,Yes,,,,No,No,
347,No,,,,No,No,
348,Yes,,,,No,No,
349,Yes,,,,No,No,
350,No,Employed Full Time,,,No,No,
351,Yes,,,,No,No,
352,No,,,,No,No,
353,No,,,,No,No,
354,Yes,,,,No,No,
355,No,Employed Part Time,42107,,Yes,Yes,2015-04-13 00:00:00
356,Yes,,,,No,No,
357,No,Employed Full Time,,,No,No,
358,Yes,,,,Yes,Yes,
359,No,Employed Part Time,42353,,Yes,Yes,2015-12-15 00:00:00
360,Yes,,,,No,No,
361,Yes,,,,No,No,
362,No,,,,No,No,
363,Yes,,,,No,No,
364,Yes,Employed Part Time,,,No,No,
365,Yes,,,,No,No,
366,Yes,,,,No,No,
367,Yes,,,,No,No,
368,Yes,Employed Full Time,42445,,No,No,2016-03-16 00:00:00
