employmentid,accessemployment,employmentstatus,employmentstartdate,to_timestamp_from_excel,employmentstartdate
1,No,Employed Full Time,37988,2004-01-02 00:00:00,1/2/2004
2,No,,,,
3,No,Employed Full Time,41143,2012-08-22 00:00:00,8/22/2012
4,No,Employed Part Time,42352,2015-12-14 00:00:00,12/14/2015
5,No,,,,
6,No,,,,
7,Yes,Employed Part Time,40795,2011-09-09 00:00:00,9/9/2011
8,Yes,,,,
9,No,,,,
10,Yes,Employed Full Time,42218,2015-08-02 00:00:00,8/2/2015
11,No,,,,
12,No,,,,
13,No,,,,
14,No,Employed Full Time,42184,2015-06-29 00:00:00,6/29/2015
15,No,Employed Full Time,42232,2015-08-16 00:00:00,8/16/2015
16,No,,,,
17,No,Employed Full Time,41825,2014-07-05 00:00:00,7/5/2014
18,Yes,,,,
19,No,Employed Part Time,42238,2015-08-22 00:00:00,8/22/2015
20,No,,,,
21,No,Employed Part Time,42005,2015-01-01 00:00:00,1/1/2015
22,No,,,,
23,No,,,,
24,Yes,,,,
25,No,,,,
26,No,,,,
27,Yes,Employed Full Time,42483,2016-04-23 00:00:00,4/23/2016
28,Yes,,,,
29,No,,,,
30,No,,,,
31,Yes,,,,
32,No,Employed Full Time,42162,2015-06-07 00:00:00,6/7/2015
33,No,,,,
34,No,,,,
35,No,,,,
36,No,Employed Part Time,42171,2015-06-16 00:00:00,6/16/2015
37,Yes,Employed Full Time,42191,2015-07-06 00:00:00,7/6/2015
38,Yes,,,,
39,No,Employed Full Time,41105,2012-07-15 00:00:00,7/15/2012
40,No,Employed Part Time,42197,2015-07-12 00:00:00,7/12/2015
41,Yes,,,,
42,No,,,,
43,No,,,,
44,No,Employed Full Time,41601,2013-11-23 00:00:00,11/23/2013
45,Yes,,,,
46,Yes,,,,
47,Yes,Employed Full Time,37165,2001-10-01 00:00:00,10/1/2001
48,Yes,Employed Full Time,39452,2008-01-05 00:00:00,1/5/2008
49,No,,,,
50,No,Employed Part Time,42309,2015-11-01 00:00:00,11/1/2015
51,No,Employed Part Time,42137,2015-05-13 00:00:00,5/13/2015
52,No,,,,
53,No,,,,
54,Yes,Employed Part Time,42317,2015-11-09 00:00:00,11/9/2015
55,Yes,Employed Part Time,,,
56,No,Employed Full Time,43191,2018-04-01 00:00:00,4/1/2018
57,Yes,Employed Full Time,42305,2015-10-28 00:00:00,10/28/2015
58,No,Employed Full Time,,,
59,No,Employed Full Time,,,
60,No,Employed Full Time,,,
61,No,Employed Full Time,,,
62,No,,,,
63,No,,,,
64,No,Employed Full Time,,,
65,No,,,,
66,No,,,,
67,No,,,,
68,No,,,,
69,No,Employed Full Time,,,
70,No,,,,
71,No,Employed Full Time,,,
72,No,Employed Full Time,,,
73,No,,,,
74,No,,,,
75,No,Employed Full Time,,,
76,No,,,,
77,No,,,,
78,No,Employed Full Time,,,
79,Yes,,,,
80,Yes,,,,
81,Yes,,,,
82,No,Employed Full Time,,,
83,No,,,,
84,No,,,,
85,No,,,,
86,No,Employed Full Time,,,
87,No,Employed Full Time,,,
88,No,,,,
89,Yes,Employed Full Time,,,
90,Yes,,,,
91,No,,,,
92,No,,,,
93,No,,,,
94,No,,,,
95,No,,,,
96,No,,,,
97,No,,,,
98,Yes,,,,
99,No,Employed Full Time,,,
100,No,,,,
101,Yes,,,,
102,No,Employed Part Time,39722,2008-10-01 00:00:00,10/1/2008
103,No,Employed Full Time,,,
104,No,Employed Full Time,,,
105,Yes,,,,
106,No,,,,
107,No,,,,
108,No,,,,
109,No,,,,
110,No,,,,
111,Yes,,,,
112,No,,,,
113,No,Employed Full Time,,,
114,No,,,,
115,No,,,,
116,No,,,,
117,No,Employed Full Time,,,
118,Yes,,,,
119,No,,,,
120,No,,,,
121,No,,,,
122,Yes,,,,
123,Yes,,,,
124,No,,,,
125,No,,,,
126,No,,,,
127,No,Employed Full Time,,,
128,Yes,,,,
129,No,,,,
130,No,,,,
131,No,,,,
132,No,,,,
133,No,Employed Full Time,,,
134,No,Employed Part Time,,,
135,No,,,,
136,No,Employed Part Time,,,
137,No,Employed Full Time,,,
138,No,Employed Full Time,,,
139,Yes,,,,
140,Yes,,,,
141,No,,,,
142,No,Employed Full Time,,,
143,No,,,,
144,Yes,,,,
145,Yes,,,,
146,Yes,,,,
147,No,,,,
148,No,,,,
149,No,,,,
150,No,,,,
151,No,Employed Full Time,,,
152,No,,,,
153,No,Employed Full Time,,,
154,Yes,Employed Full Time,,,
155,Yes,,,,
156,Yes,,,,
157,Yes,,,,
158,Yes,,,,
159,Yes,,,,
160,Yes,,,,
161,No,,,,
162,No,Employed Full Time,,,
163,Yes,,,,
164,No,,,,
165,No,Employed Full Time,,,
166,Yes,,,,
167,Yes,,,,
168,Yes,,,,
169,Yes,,,,
170,No,,,,
171,Yes,Employed Full Time,,,
172,Yes,,,,
173,No,,,,
174,Yes,Employed Full Time,42248,2015-09-01 00:00:00,9/1/2015
175,Yes,Employed Full Time,,,
176,No,,,,
177,No,,,,
178,Yes,,,,
179,Yes,,,,
180,Yes,,,,
181,Yes,,,,
182,No,Employed Full Time,,,
183,Yes,,,,
184,Yes,,,,
185,Yes,Employed Full Time,,,
186,Yes,Employed Full Time,,,
187,Yes,,,,
188,Yes,,,,
189,Yes,Employed Part Time,,,
190,Yes,,,,
191,No,Employed Full Time,,,
192,Yes,,,,
193,No,,,,
194,No,,,,
195,Yes,,,,
196,No,,,,
197,Yes,,,,
198,Yes,,,,
199,No,Employed Full Time,,,
200,No,Employed Part Time,,,
201,No,Employed Full Time,,,
202,Yes,,,,
203,No,Employed Full Time,,,
204,Yes,,,,
205,No,,,,
206,Yes,,,,
207,No,Employed Full Time,,,
208,No,Employed Full Time,,,
209,No,Employed Part Time,,,
210,No,Employed Full Time,,,
211,No,,,,
212,No,Employed Full Time,,,
213,No,Employed Full Time,,,
214,Yes,Employed Full Time,,,
215,Yes,Employed Full Time,,,
216,No,Employed Full Time,,,
217,Yes,,,,
218,Yes,Employed Part Time,42422,2016-02-22 00:00:00,2/22/2016
219,No,,,,
220,No,,,,
221,No,Employed Part Time,,,
222,Yes,,,,
223,Yes,,,,
224,Yes,,,,
225,No,Employed Part Time,,,
226,Yes,,,,
227,No,,,,
228,No,Employed Full Time,,,
229,No,,,,
230,Yes,,,,
231,No,,,,
232,No,,,,
233,No,Employed Full Time,,,
234,Yes,,,,
235,No,Employed Full Time,,,
236,Yes,,,,
237,Yes,Employed Part Time,42388,2016-01-19 00:00:00,1/19/2016
238,No,,,,
239,No,,,,
240,No,,,,
241,No,Employed Part Time,,,
242,No,,,,
243,No,,,,
244,No,Employed Part Time,,,
245,No,,,,
246,No,Employed Part Time,,,
247,No,,,,
248,No,Employed Part Time,,,
249,No,Employed Part Time,,,
250,No,Employed Part Time,,,
251,No,,,,
252,No,,,,
253,No,,,,
254,No,,,,
255,No,,,,
256,Yes,,,,
257,No,Employed Full Time,,,
258,No,Employed Full Time,,,
259,No,Employed Full Time,,,
260,No,Employed Full Time,,,
261,No,Employed Full Time,,,
262,No,,,,
263,Yes,,,,
264,No,,,,
265,No,Employed Full Time,,,
266,Yes,,,,
267,Yes,,,,
268,Yes,,,,
269,Yes,,,,
270,Yes,Employed Full Time,,,
271,Yes,,,,
272,Yes,,,,
273,Yes,,,,
274,Yes,,,,
275,Yes,,,,
276,Yes,,,,
277,Yes,,,,
278,Yes,,,,
279,Yes,,,,
280,Yes,,,,
281,Yes,,,,
282,Yes,,,,
283,Yes,,,,
284,Yes,,,,
285,Yes,,,,
286,Yes,,,,
287,No,Employed Full Time,,,
288,Yes,,,,
289,Yes,,,,
290,Yes,,,,
291,Yes,,,,
292,Yes,,,,
293,Yes,,,,
294,Yes,,,,
295,Yes,,,,
296,Yes,,,,
297,Yes,,,,
298,Yes,,,,
299,Yes,,,,
300,Yes,,,,
301,Yes,,,,
302,Yes,,,,
303,Yes,,,,
304,Yes,,,,
305,Yes,,,,
306,Yes,,,,
307,Yes,,,,
308,Yes,,,,
309,Yes,,42163,2015-06-08 00:00:00,6/8/2015
310,Yes,,,,
311,Yes,,,,
312,Yes,,,,
313,Yes,,,,
314,Yes,Employed Full Time,42186,2015-07-01 00:00:00,7/1/2015
315,Yes,,,,
316,Yes,,,,
317,Yes,,,,
318,Yes,Employed Full Time,,,
319,Yes,,,,
320,Yes,,,,
321,Yes,,,,
322,Yes,,,,
323,Yes,,,,
324,Yes,,,,
325,Yes,,,,
326,Yes,,,,
327,Yes,,,,
328,Yes,Employed Full Time,42361,2015-12-23 00:00:00,12/23/2015
329,No,,,,
330,Yes,,,,
331,Yes,,,,
332,Yes,,,,
333,No,,,,
334,Yes,,,,
335,Yes,,,,
336,No,Employed Full Time,,,
337,Yes,,,,
338,Yes,,,,
339,Yes,,,,
340,Yes,,,,
341,Yes,,,,
342,Yes,,,,
343,No,,,,
344,Yes,,,,
345,Yes,,,,
346,No,Employed Full Time,,,
347,Yes,,,,
348,No,,,,
349,No,,,,
350,Yes,,,,
