employmentid,accessemployment,employmentstatus,employmentstartdate,employmentretention,jobtrainingenrolled,jobtrainingcompleted
1,No,Employed Full Time,2004-01-02 00:00:00,Yes,No,No
2,No,,,No,No,No
3,No,Employed Full Time,2012-08-22 00:00:00,Yes,No,No
4,No,Employed Part Time,2015-12-14 00:00:00,No,No,No
5,No,,,No,No,No
6,No,,,No,No,No
7,Yes,Employed Part Time,2011-09-09 00:00:00,Yes,Yes,No
8,Yes,,,No,No,No
9,No,,,No,No,No
10,Yes,Employed Full Time,2015-08-02 00:00:00,No,Yes,No
11,No,,,No,Yes,No
12,No,,,No,No,No
13,No,,,No,No,No
14,No,Employed Full Time,2015-06-29 00:00:00,Yes,No,No
15,No,Employed Full Time,2015-08-16 00:00:00,No,No,No
16,No,,,No,No,No
17,No,Employed Full Time,2014-07-05 00:00:00,Yes,No,No
18,Yes,,,No,Yes,Yes
19,No,Employed Part Time,2015-08-22 00:00:00,Yes,No,No
20,No,,,No,No,No
21,No,Employed Part Time,2015-01-01 00:00:00,Yes,No,No
22,No,,,No,No,No
23,No,,,No,No,No
24,Yes,,,No,No,No
25,No,,,No,No,No
26,No,,,No,No,No
27,Yes,Employed Full Time,2016-04-23 00:00:00,No,No,No
28,Yes,,,No,No,No
29,No,,,No,No,No
30,No,,,No,No,No
31,Yes,,,No,No,No
32,No,Employed Full Time,2015-06-07 00:00:00,Yes,No,No
33,No,,,No,No,No
34,No,,,No,No,No
35,No,,,No,No,No
36,No,Employed Part Time,2015-06-16 00:00:00,Yes,No,No
37,Yes,Employed Full Time,2015-07-06 00:00:00,Yes,No,No
38,Yes,,,No,No,No
39,No,Employed Full Time,2012-07-15 00:00:00,Yes,No,No
40,No,Employed Part Time,2015-07-12 00:00:00,Yes,No,No
41,Yes,,,No,No,No
42,No,,,No,No,No
43,No,,,No,No,No
44,No,Employed Full Time,2013-11-23 00:00:00,Yes,No,No
45,Yes,,,No,No,No
46,Yes,,,No,No,No
47,Yes,Employed Full Time,2001-10-01 00:00:00,Yes,No,No
48,Yes,Employed Full Time,2008-01-05 00:00:00,Yes,No,No
49,No,,,No,No,No
50,No,Employed Part Time,2015-11-01 00:00:00,Yes,No,No
51,No,Employed Part Time,2015-05-13 00:00:00,Yes,No,No
52,No,,,,No,No
53,No,,,,No,No
54,Yes,Employed Part Time,2015-11-09 00:00:00,,No,No
55,Yes,Employed Part Time,,,No,No
56,No,Employed Full Time,2018-04-01 00:00:00,,,
57,Yes,Employed Full Time,2015-10-28 00:00:00,,No,No
58,No,Employed Full Time,,,No,No
59,No,Employed Full Time,,,No,No
60,No,Employed Full Time,,,No,No
61,No,Employed Full Time,,,No,No
62,No,,,,No,No
63,No,,,,No,No
64,No,Employed Full Time,,,No,No
65,No,,,,No,No
66,No,,,,No,No
67,No,,,,No,No
68,No,,,,No,No
69,No,Employed Full Time,,,No,No
70,No,,,,No,No
71,No,Employed Full Time,,,No,No
72,No,Employed Full Time,,,No,No
73,No,,,,No,No
74,No,,,,No,No
75,No,Employed Full Time,,,No,No
76,No,,,,No,No
77,No,,,,No,No
78,No,Employed Full Time,,,No,No
79,Yes,,,,No,No
80,Yes,,,,No,No
81,Yes,,,,No,No
82,No,Employed Full Time,,,No,No
83,No,,,,No,No
84,No,,,,No,No
85,No,,,,No,No
86,No,Employed Full Time,,,No,No
87,No,Employed Full Time,,,No,No
88,No,,,,No,No
89,Yes,Employed Full Time,,,No,No
90,Yes,,,,No,No
91,No,,,,No,No
92,No,,,,No,No
93,No,,,,No,No
94,No,,,,Yes,Yes
95,No,,,,No,No
96,No,,,,No,No
97,No,,,,No,No
98,Yes,,,,No,No
99,No,Employed Full Time,,,No,No
100,No,,,,No,No
101,Yes,,,,No,No
102,No,Employed Part Time,2008-10-01 00:00:00,,,
103,No,Employed Full Time,,,No,No
104,No,Employed Full Time,,,No,No
105,Yes,,,,No,No
106,No,,,,No,No
107,No,,,,Yes,Yes
108,No,,,,No,No
109,No,,,,No,No
110,No,,,,No,No
111,Yes,,,,No,No
112,No,,,,No,No
113,No,Employed Full Time,,,No,No
114,No,,,,No,No
115,No,,,,No,No
116,No,,,,No,No
117,No,Employed Full Time,,,No,No
118,Yes,,,,No,No
119,No,,,,No,No
120,No,,,,No,No
121,No,,,,No,No
122,Yes,,,,No,No
123,Yes,,,,No,No
124,No,,,,No,No
125,No,,,,,
126,No,,,,No,No
127,No,Employed Full Time,,,No,No
128,Yes,,,,No,No
129,No,,,No,,No
130,No,,,,Yes,Yes
131,No,,,,Yes,Yes
132,No,,,,No,No
133,No,Employed Full Time,,,No,No
134,No,Employed Part Time,,,No,No
135,No,,,,Yes,No
136,No,Employed Part Time,,,No,No
137,No,Employed Full Time,,,No,No
138,No,Employed Full Time,,,No,No
139,Yes,,,,Yes,Yes
140,Yes,,,,No,No
141,No,,,,No,No
142,No,Employed Full Time,,,No,No
143,No,,,,No,No
144,Yes,,,,No,No
145,Yes,,,,No,No
146,Yes,,,,Yes,No
147,No,,,,No,No
148,No,,,,No,No
149,No,,,,No,No
150,No,,,,Yes,Yes
151,No,Employed Full Time,,,No,No
1898,Yes,,,,,
152,No,,,,No,No
153,No,Employed Full Time,,,No,No
154,Yes,Employed Full Time,,,No,No
155,Yes,,,,No,No
156,Yes,,,,No,No
157,Yes,,,,No,No
158,Yes,,,,No,No
159,Yes,,,,No,No
160,Yes,,,,No,No
161,No,,,,No,No
162,No,Employed Full Time,,,Yes,Yes
163,Yes,,,,No,No
164,No,,,,No,No
165,No,Employed Full Time,,,No,No
166,Yes,,,,No,No
167,Yes,,,,No,No
168,Yes,,,,No,No
169,Yes,,,,No,No
170,No,,,,No,No
171,Yes,Employed Full Time,,,No,No
172,Yes,,,,No,No
173,No,,,,Yes,No
174,Yes,Employed Full Time,2015-09-01 00:00:00,,No,No
175,Yes,Employed Full Time,,,No,No
176,No,,,,Yes,No
177,No,,,,Yes,Yes
178,Yes,,,,No,No
179,Yes,,,,No,No
180,Yes,,,,No,No
181,Yes,,,,No,No
182,No,Employed Full Time,,,No,No
183,Yes,,,,No,No
184,Yes,,,,No,No
185,Yes,Employed Full Time,,,No,No
186,Yes,Employed Full Time,,,No,No
187,Yes,,,,No,No
188,Yes,,,,No,No
189,Yes,Employed Part Time,,,No,No
190,Yes,,,,No,No
191,No,Employed Full Time,,,No,No
192,Yes,,,,No,No
193,No,,,,No,No
194,No,,,,No,No
195,Yes,,,,No,No
196,No,,,,No,No
197,Yes,,,,No,No
198,Yes,,,,No,No
199,No,Employed Full Time,,,No,No
200,No,Employed Part Time,,,No,No
201,No,Employed Full Time,,,No,No
202,Yes,,,,No,No
203,No,Employed Full Time,,,No,No
204,Yes,,,,No,No
205,No,,,,No,No
206,Yes,,,,No,No
207,No,Employed Full Time,,,No,No
208,No,Employed Full Time,,,No,No
209,No,Employed Part Time,,,No,No
210,No,Employed Full Time,,,No,No
211,No,,,,No,No
212,No,Employed Full Time,,,No,No
213,No,Employed Full Time,,,No,No
214,Yes,Employed Full Time,,,No,No
215,Yes,Employed Full Time,,,No,No
216,No,Employed Full Time,,,No,No
217,Yes,,,,,
218,Yes,Employed Part Time,2016-02-22 00:00:00,,No,No
219,No,,,,No,No
220,No,,,,No,No
221,No,Employed Part Time,,,No,No
222,Yes,,,,No,No
223,Yes,,,,No,No
224,Yes,,,,No,No
225,No,Employed Part Time,,,No,No
226,Yes,,,,No,No
227,No,,,,No,No
228,No,Employed Full Time,,,No,No
229,No,,,,No,No
230,Yes,,,,No,No
231,No,,,,No,No
232,No,,,,No,No
233,No,Employed Full Time,,,No,No
234,Yes,,,,No,No
235,No,Employed Full Time,,,No,No
236,Yes,,,,Yes,Yes
237,Yes,Employed Part Time,2016-01-19 00:00:00,,No,No
238,No,,,,No,No
239,No,,,,No,No
240,No,,,,No,No
241,No,Employed Part Time,,,No,No
242,No,,,,No,No
243,No,,,,No,No
244,No,Employed Part Time,,,No,No
245,No,,,,No,No
246,No,Employed Part Time,,,No,No
247,No,,,,No,No
248,No,Employed Part Time,,,No,No
249,No,Employed Part Time,,,No,No
250,No,Employed Part Time,,,No,No
251,No,,,,No,No
252,No,,,,No,No
253,No,,,,Yes,No
254,No,,,,No,No
255,No,,,,No,No
256,Yes,,,,No,No
257,No,Employed Full Time,,,Yes,No
258,No,Employed Full Time,,,Yes,Yes
259,No,Employed Full Time,,,No,No
260,No,Employed Full Time,,,Yes,Yes
261,No,Employed Full Time,,,Yes,Yes
262,No,,,,No,No
263,Yes,,,,No,No
264,No,,,,Yes,No
265,No,Employed Full Time,,,Yes,Yes
266,Yes,,,,No,No
267,Yes,,,,No,No
268,Yes,,,,No,No
269,Yes,,,,No,No
270,Yes,Employed Full Time,,,No,No
271,Yes,,,,No,No
272,Yes,,,,No,No
273,Yes,,,,No,No
274,Yes,,,,No,No
275,Yes,,,,No,No
276,Yes,,,,No,No
277,Yes,,,,No,No
278,Yes,,,,No,No
279,Yes,,,,No,No
280,Yes,,,,No,No
281,Yes,,,,No,No
282,Yes,,,,No,No
283,Yes,,,,No,No
284,Yes,,,,No,No
285,Yes,,,,No,No
286,Yes,,,,No,No
287,No,Employed Full Time,,,No,No
288,Yes,,,,No,No
289,Yes,,,,No,No
290,Yes,,,,No,No
291,Yes,,,,No,No
292,Yes,,,,No,No
293,Yes,,,,No,No
294,Yes,,,,No,No
295,Yes,,,,No,No
296,Yes,,,,No,No
297,Yes,,,,No,No
298,Yes,,,,No,No
299,Yes,,,,No,No
300,Yes,,,,No,No
301,Yes,,,,No,No
302,Yes,,,,No,No
303,Yes,,,,Yes,Yes
304,Yes,,,,No,No
305,Yes,,,,No,No
306,Yes,,,,No,No
307,Yes,,,,No,No
308,Yes,,,,No,No
309,Yes,,2015-06-08 00:00:00,,No,No
310,Yes,,,,No,No
311,Yes,,,,No,No
312,Yes,,,,No,No
313,Yes,,,,No,No
314,Yes,Employed Full Time,2015-07-01 00:00:00,,No,No
315,Yes,,,,No,No
316,Yes,,,,No,No
317,Yes,,,,No,No
318,Yes,Employed Full Time,,,No,No
319,Yes,,,,No,No
320,Yes,,,,No,No
321,Yes,,,,No,No
322,Yes,,,,No,No
323,Yes,,,,No,No
324,Yes,,,,No,No
325,Yes,,,,No,No
326,Yes,,,,No,No
327,Yes,,,,No,No
328,Yes,Employed Full Time,2015-12-23 00:00:00,,Yes,Yes
329,No,,,,No,No
330,Yes,,,,Yes,Yes
331,Yes,,,,No,No
332,Yes,,,,Yes,Yes
333,No,,,,Yes,Yes
334,Yes,,,,No,No
335,Yes,,,,No,No
336,No,Employed Full Time,,,No,No
337,Yes,,,,No,No
338,Yes,,,,No,No
339,Yes,,,,No,No
340,Yes,,,,No,No
341,Yes,,,,No,No
342,Yes,,,,No,No
343,No,,,,No,No
344,Yes,,,,No,No
345,Yes,,,,No,No
346,No,Employed Full Time,,,No,No
347,Yes,,,,No,No
348,No,,,,No,No
349,No,,,,No,No
350,Yes,,,,No,No
351,No,Employed Part Time,2015-04-13 00:00:00,,Yes,Yes
352,Yes,,,,No,No
353,No,Employed Full Time,,,No,No
354,Yes,,,,Yes,Yes
355,No,Employed Part Time,2015-12-15 00:00:00,,Yes,Yes
356,Yes,,,,No,No
357,Yes,,,,No,No
358,No,,,,No,No
359,Yes,,,,No,No
360,Yes,Employed Part Time,,,No,No
361,Yes,,,,No,No
362,Yes,,,,No,No
363,Yes,,,,No,No
364,Yes,Employed Full Time,2016-03-16 00:00:00,,No,No
365,No,,,,No,No
366,Yes,,,,No,No
367,Yes,,,,No,No
368,Yes,,,,No,No
369,Yes,,,,No,No
370,Yes,,,,No,No
371,Yes,,,,No,No
372,Yes,,,,No,No
373,No,Employed Full Time,,,Yes,Yes
374,Yes,,,,No,No
375,No,Employed Part Time,2013-01-07 00:00:00,,Yes,Yes
376,No,,,,Yes,Yes
377,Yes,,,,No,No
378,Yes,,,,No,No
379,No,Employed Full Time,2016-02-05 00:00:00,,Yes,Yes
380,No,Employed Full Time,2016-02-05 00:00:00,,Yes,Yes
381,No,Employed Full Time,,,No,No
382,Yes,,,,No,No
383,Yes,,,,No,No
384,Yes,,,,No,No
385,Yes,,,,No,No
386,No,,,,No,No
387,No,Employed Full Time,2015-01-28 00:00:00,,No,No
388,Yes,,,,No,No
389,Yes,,,,No,No
390,No,Employed Full Time,,,No,No
391,Yes,,,,No,No
392,Yes,,,,No,No
393,Yes,,,,No,No
394,Yes,,,,No,No
395,Yes,,,,No,No
396,No,Employed Full Time,,,No,No
397,Yes,,,,No,No
398,Yes,,,,No,No
399,Yes,,,,No,No
400,No,,,,No,No
401,Yes,,,,No,No
402,Yes,,,,No,No
403,Yes,,,,No,No
404,Yes,,,,Yes,No
405,Yes,,,,No,No
406,No,Employed Full Time,,,No,No
407,Yes,,,,No,No
408,Yes,Employed Part Time,,,No,No
409,Yes,Employed Part Time,2015-06-01 00:00:00,,No,No
410,No,,,,,
411,No,,,,No,No
412,No,,,,No,No
413,Yes,,,,No,No
414,Yes,,,,No,No
415,Yes,,,,No,No
416,Yes,,,,No,No
417,No,Employed Full Time,,,No,No
418,Yes,Employed Part Time,,,No,No
419,Yes,,,,No,No
420,No,,,,Yes,No
421,Yes,,,,No,No
422,Yes,,,,No,No
423,Yes,,,,No,No
424,No,Employed Full Time,,,No,No
425,Yes,,,,No,No
426,Yes,,,,No,No
427,No,Employed Full Time,,,No,No
428,No,Employed Full Time,,,No,No
429,No,,,,Yes,No
430,Yes,,,,Yes,No
431,Yes,,,,No,No
432,No,Employed Full Time,,,No,No
433,No,Employed Full Time,,,No,No
434,Yes,,,,No,No
435,Yes,,,,No,No
436,No,,,,No,No
437,Yes,,,,No,No
438,No,,,,No,No
439,No,,,,No,No
440,Yes,,,,No,No
441,No,,,,No,No
442,Yes,Employed Full Time,,,No,No
443,No,,,,No,No
444,No,,,,No,No
445,Yes,,,,No,No
446,Yes,,,,No,No
447,Yes,,,,No,No
448,Yes,,,,No,No
449,Yes,,,,No,No
450,No,Employed Full Time,,,No,No
451,Yes,,,,Yes,No
452,Yes,,,,No,No
453,Yes,,,,No,No
454,Yes,,,,No,No
455,Yes,,,,No,No
456,No,Employed Full Time,,,No,No
457,No,Employed Full Time,,,No,No
458,No,,,,No,No
459,Yes,,,,No,No
460,Yes,,,,No,No
461,Yes,,,,No,No
462,No,,,,No,No
463,No,Employed Full Time,,,No,No
464,Yes,,,,No,No
465,No,,,No,,No
466,Yes,,,,No,No
467,Yes,,,,No,No
468,Yes,,,,No,No
469,Yes,,,,No,No
470,Yes,,,,No,No
471,Yes,,,,No,No
472,Yes,,,,No,No
473,Yes,,,,No,No
474,No,,,,No,No
475,Yes,,,,No,No
476,Yes,,,,No,No
477,No,Employed Full Time,,,No,No
478,No,Employed Part Time,,,No,No
479,Yes,,,,No,No
480,Yes,,,,No,No
481,Yes,,,,No,No
482,Yes,,,,No,No
483,Yes,,,,No,No
