clientid,emp,emp_date
1.66166E+11,Not employed,
1.66822E+11,Employed Part Time,2017-03-01 00:00:00
1011770,Employed Full Time,1988-10-01 00:00:00
1012741,Not employed,
1014223,Not employed,
1027494,Employed Full Time,2018-08-13 00:00:00
1034665,Not employed,
1035689,Employed Part Time,2015-11-09 00:00:00
1035903,Employed Full Time,2016-01-20 00:00:00
1035936,Employed Full Time,2018-04-01 00:00:00
1036002,Employed Full Time,2015-10-28 00:00:00
1036147,Employed Full Time,2016-02-29 00:00:00
1036346,Employed Full Time,
1036544,Employed Full Time,
1036578,Employed Full Time,
1036591,,
1036595,,
1036596,Employed Full Time,2015-08-03 00:00:00
1036632,,
1036695,Not employed,
1036884,Not employed,
1036893,Not employed,2015-08-17 00:00:00
1037080,Employed Full Time,
1037082,Not employed,
1037195,Employed Full Time,
1037253,Employed Full Time,
1037321,,
1037360,,
1037507,Employed Full Time,
1037538,,
1037540,,
1037836,Employed Full Time,
1037846,Not employed,2015-07-13 00:00:00
1037849,Not employed,2015-07-22 00:00:00
1037855,Not employed,2015-08-24 00:00:00
1037877,Employed Full Time,2015-10-28 00:00:00
1037909,Not employed,
1037916,,
1037942,,
1037967,Employed Full Time,
1037982,Employed Full Time,
1038057,,
1038065,Employed Full Time,
1038079,Not employed,2015-07-20 00:00:00
1038080,,
1038081,Not employed,2015-08-25 00:00:00
1038097,Not employed,
1038099,Not employed,2016-04-04 00:00:00
1038195,,
1038198,,
1038217,,
1038226,Not employed,2015-07-09 00:00:00
1038273,Employed Full Time,
1038278,,
1038296,Not employed,2015-07-06 00:00:00
1038305,Employed Part Time,2008-10-01 00:00:00
1038352,Employed Full Time,
1038366,Employed Full Time,2016-03-07 00:00:00
1038367,Not employed,
1038413,,
1038468,Not employed,
1038473,,
1038479,,
1038521,Not employed,
1038550,Employed Full Time,2017-01-01 00:00:00
1038574,Not employed,
1038575,Employed Full Time,2015-11-17 00:00:00
1038576,Employed Part Time,
1038583,Employed Full Time,2017-11-01 00:00:00
1038636,Employed Full Time,
1038665,Employed Full Time,
1038680,Not employed,2015-10-26 00:00:00
1038731,,
1038733,,
1038750,,
1038787,Not employed,
1038808,Employed Full Time,2016-09-22 00:00:00
1038826,Employed Full Time,
1038869,Not employed,
1038889,Employed Part Time,2016-12-27 00:00:00
1038909,Employed Full Time,2015-10-28 00:00:00
1038936,Not employed,2016-04-04 00:00:00
1038944,Employed Full Time,2016-11-15 00:00:00
1038950,Not employed,2016-01-04 00:00:00
1038951,Employed Part Time,2016-01-04 00:00:00
1038995,,
1038997,Employed Full Time,
1039041,Employed Part Time,2017-01-02 00:00:00
1039057,Not employed,2016-05-18 00:00:00
1039096,Employed Part Time,
1039114,Employed Full Time,
1039115,Employed Full Time,
1039177,Not employed,2015-12-10 00:00:00
1039217,Not employed,2016-05-26 00:00:00
1039318,Not employed,
1039331,Employed Full Time,
1039338,Not employed,
1039371,Employed Full Time,2016-09-14 00:00:00
1039406,Not employed,2015-09-24 00:00:00
1039423,Employed Full Time,2015-08-14 00:00:00
1039454,,
1039468,Not employed,
1039485,,
1039490,Not employed,
1039493,Employed Full Time,
1039500,,
1039519,Employed Full Time,
1039538,Employed Full Time,
1039545,Not employed,2015-09-21 00:00:00
1039584,Not employed,2016-01-08 00:00:00
1039591,Not employed,2015-09-01 00:00:00
1039598,Not employed,2015-09-03 00:00:00
1039605,Not employed,2015-09-03 00:00:00
1039607,Not employed,2015-09-07 00:00:00
1039634,,
1039643,Employed Full Time,2016-03-17 00:00:00
1039658,Employed Full Time,2016-10-17 00:00:00
1039718,Not employed,
1039721,Employed Full Time,2015-08-31 00:00:00
1039854,Not employed,2016-04-19 00:00:00
1040004,Not employed,2015-10-30 00:00:00
1040005,Not employed,2015-11-12 00:00:00
1040427,Not employed,2015-09-02 00:00:00
1040528,Employed Full Time,
1040534,Employed Full Time,2015-08-12 00:00:00
1040570,Not employed,2016-04-27 00:00:00
1040580,Not employed,
1040582,Employed Full Time,2015-09-15 00:00:00
1040605,Employed Full Time,2015-09-08 00:00:00
1040606,,
1040607,,
1041098,Not employed,2015-09-12 00:00:00
1041145,Not employed,2015-09-11 00:00:00
1041155,Not employed,2015-09-27 00:00:00
1041192,Not employed,2015-09-07 00:00:00
1041218,Employed Full Time,2015-09-14 00:00:00
1041253,Not employed,2015-09-28 00:00:00
1041258,Not employed,2015-09-21 00:00:00
1041310,Employed Full Time,2015-10-06 00:00:00
1041521,Employed Full Time,2015-10-12 00:00:00
1041621,Employed Part Time,2016-06-21 00:00:00
1041622,Not employed,
1042152,Not employed,
1042240,Not employed,2015-12-17 00:00:00
1042564,Employed Full Time,
1042611,Not employed,2015-12-08 00:00:00
1042772,Employed Full Time,2016-02-09 00:00:00
1043199,Not employed,
1043312,Not employed,2015-12-18 00:00:00
1043480,,
1043565,Employed Full Time,2017-05-19 00:00:00
1043767,Not employed,2015-12-18 00:00:00
1044349,Employed Full Time,
1044399,Employed Part Time,
1044425,Employed Full Time,
1044427,Not employed,2016-02-22 00:00:00
1044508,Employed Full Time,
1044511,Not employed,
1044522,Not employed,
1044527,Not employed,
1044548,Employed Full Time,
1044551,Employed Full Time,
1044562,Employed Part Time,
1044563,Employed Full Time,
1044620,Not employed,2015-12-09 00:00:00
1044637,Employed Full Time,
1044661,Employed Full Time,
1044671,Employed Full Time,2015-12-01 00:00:00
1044681,Employed Full Time,2015-11-24 00:00:00
1044706,Employed Full Time,
1044721,Employed Full Time,2018-08-13 00:00:00
1044722,Employed Part Time,2016-02-22 00:00:00
1044758,Not employed,
1044764,Employed Full Time,2016-10-27 00:00:00
1044765,Employed Part Time,
1044781,Not employed,
1044813,Employed Full Time,2016-06-06 00:00:00
1044827,Not employed,
1044828,Employed Part Time,2016-01-25 00:00:00
1044832,Not employed,
1044834,Not employed,
1044835,Employed Full Time,
1044837,Not employed,
1044845,Not employed,2016-01-12 00:00:00
1044862,Not employed,
1044887,Not employed,
1044894,Employed Full Time,
1044904,Not employed,
1044919,Employed Full Time,
1044924,Not employed,
1045007,Employed Part Time,2016-01-19 00:00:00
1045026,Not employed,
1045033,Not employed,
1045038,Not employed,
1045039,Employed Part Time,
1045040,Not employed,
1045041,Not employed,
1045042,Employed Part Time,
1045049,Not employed,
1045061,Employed Part Time,
1045062,Not employed,
1045063,Employed Part Time,
1045064,Employed Part Time,
1045065,Employed Part Time,
1045126,Not employed,
1045127,Not employed,
1045136,Employed Full Time,2016-03-09 00:00:00
1045149,Not employed,
1045157,Not employed,
1045184,Not employed,2015-01-29 00:00:00
1045207,Employed Full Time,
1045209,Employed Full Time,
1045212,Employed Full Time,
1045218,Employed Full Time,2016-01-25 00:00:00
1045219,Employed Full Time,
1045229,Not employed,
1045232,Employed Part Time,2016-04-21 00:00:00
1045305,Not employed,
1045319,Employed Full Time,
1045326,Not employed,2016-01-31 00:00:00
1045339,Not employed,2016-04-20 00:00:00
1045340,Employed Full Time,
1045341,Not employed,2016-01-25 00:00:00
1045351,Employed Full Time,
1045354,Employed Full Time,2016-03-01 00:00:00
1045355,Not employed,2015-08-17 00:00:00
1045357,Not employed,2015-08-03 00:00:00
1045358,Not employed,2015-09-28 00:00:00
1045360,Employed Full Time,2016-01-29 00:00:00
1045362,Not employed,2015-08-12 00:00:00
1045363,Not employed,2015-08-07 00:00:00
1045369,Not employed,2015-08-03 00:00:00
1045373,Not employed,2015-08-07 00:00:00
