,Savings,CreditScore,Debt
0,0,,0
1,0,,0
2,180,,0
3,0,,
4,0,,0
5,0,,0
6,0,570,933
7,0,647,22525
8,0,,0
9,200,,400
10,,,38208
11,0,,0
12,0,,0
13,0,,0
14,0,,
15,0,,0
16,0,,300
17,2000,,18000
18,,,
19,0,,
20,0,,2500
21,0,,0
22,0,,0
23,0,,
24,0,,0
25,0,,0
26,,631,624
27,0,,0
28,0,,0
29,0,,0
30,0,583,10544
31,0,,0
32,0,,0
33,0,,0
34,0,,0
35,0,,0
36,0,,0
37,0,,0
38,0,,0
39,0,,0
40,0,,0
41,0,,0
42,0,,0
43,0,593,
44,,,
45,0,,10000
46,,,
47,0,,0
48,0,,0
49,0,,1400
50,0,,
51,,,
52,,675,
53,,,
54,,,
55,,450,
56,,,
57,,700,
58,,,
59,,643,
60,,,
61,,587,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,550,
69,,719,
70,,663,
71,20000,825,
72,1000,620,17600
73,0,,90391.41
74,,,
75,,,
76,,,
77,400,,
78,,,
79,,,
80,,,
81,,525,500
82,,,
83,,,
84,,,
85,,,25000
86,0,550,7000
87,0,,
88,0,,6000
89,,,
90,,,
91,,700,
92,,,
93,0,,
94,,,
95,,,
96,,,
97,,,
98,0,620,3000
99,,,
100,,,
101,,570,
102,0,,2444.55
103,,,
104,0,,
105,,,
106,,,
107,,,
108,,,
109,400,,
110,200,600,2000
111,,540,513
112,,490,450
113,,540,5000
114,,548,5000
115,300,500,50000
116,,,
117,,,
118,,,
119,,,
120,0,700,3000
121,,,
122,0,,
123,0,670,7350
124,,,
125,,,
126,0,516,
127,,,
128,,,
129,0,,
130,,,
131,,,
132,800,611,790000
133,,,
134,,,
135,100,,
136,0,680,2000
137,,540,
138,,,
139,0,,
140,0,735,5000
141,,,5600
142,,470,16000
143,0,,
144,0,,
145,0,,
146,0,694,2900
147,,500,
148,,525,40900
149,0,,
150,,,
151,0,560,1900
152,,,13500
153,,,
154,,,
155,1500,586,
156,,,
157,,,
158,,,
159,,,
160,,,
161,0,,
162,0,,
163,0,,
164,0,,
165,0,,
166,0,,
167,0,,
168,,,
169,10000,740,
170,0,,
171,0,,
172,0,,
173,,,
174,0,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,0,650,
182,,,
183,,,
184,0,,
185,0,,
186,800,682,
187,0,,400
188,0,,1300
189,0,,
190,,500,
191,0,,
192,,,
193,20,,
194,,,
195,,,
196,2,550,
197,,,
198,,,
199,,625,
200,35,450,320
201,,,
202,,,
203,,,
204,0,,
205,0,,
206,0,,
207,0,500,
208,0,550,
209,,,
210,0,588,16000
211,1100,,5000
212,0,660,600
213,,,
214,0,,720
215,0,550,
216,150,,5800
217,,,
218,5000,780,
219,0,500,
220,0,,
221,,,
222,0,400,
223,0,,
224,724,636,
225,0,,9000
226,0,650,
227,30,,450
228,0,524,300
229,,,
230,0,,7700
231,,,1000
232,14000,661,148500
233,0,620,100000
234,300,580,
235,0,,
236,0,,
237,,,
238,40,,
239,0,,
240,40,,
241,,500,
242,1000,,
243,,465,
244,0,,
245,50,,
246,5500,,6500
247,,,5000
248,0,,
249,25,680,1440
250,0,,4600
251,8000,,
252,0,520,
253,,670,
254,0,,
255,0,,
256,0,,
257,0,,
258,5000,645,6500
259,0,500,
260,0,,
261,,,
262,0,,
263,0,562,2300
264,0,,
265,0,580,
266,,,3000
267,200,450,
268,0,,
269,0,512,
270,0,600,
271,,,
272,,,
273,,,
274,0,400,
275,,,
276,,,
277,,,
278,,,
279,,,
280,0,,
281,0,300,
282,,,
283,,,
284,,,
285,,,
286,,650,2000
287,,,
288,,,
289,,,
290,,,
291,0,,
292,0,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,0,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,0,,
313,0,,
314,,,
315,0,,
316,,,
317,,,
318,,,
319,0,,
320,0,,
321,,,
322,0,,
323,0,500,
324,0,,
325,0,,
326,,,
327,,,
328,,700,
329,,,
330,,,
331,,,
332,,,
333,0,,
334,0,,
335,,,
336,,,
337,0,,
338,,,
339,2000,100,
340,,350,
341,,,
342,0,724,
343,0,,
344,,,
345,2000,720,
346,0,,
347,0,,
348,,,
349,0,100,
350,0,,
351,0,,
352,1300,730,
353,0,,
354,0,,
355,0,,
356,0,,
357,,,
358,,,
359,,,
360,0,,
361,0,300,
362,0,,
363,900,,
364,0,,
365,0,721,
366,0,,
367,0,450,300000
368,,,
369,0,300,
370,0,300,
371,0,,
372,,,
373,,,
374,0,,
375,0,,
376,0,,
377,300,,
378,,,
379,,,
380,2000,,
381,0,350,
382,0,,
383,200,,200
384,,,
385,0,500,2000
386,0,300,
387,0,,
388,,,
389,3000,600,
390,,500,2000
391,,,
392,0,,
393,0,,
394,0,,
395,685,,
396,0,,
397,0,,
398,0,,2400
399,,,18125
400,0,,
401,0,,
402,,,
403,20,,
404,,,
405,100,580,40200
406,0,550,
407,0,558,2000
408,,,
409,,,0
410,200,,
411,0,689,
412,0,,980
413,0,,500
414,,,
415,0,,
416,10000,666,15000
417,0,579,4000
418,0,,
419,,,
420,,,
421,0,600,245400
422,0,,
423,0,701,3000
424,0,,
425,0,508,17500
426,7000,,
427,,,
428,,,
429,200,,
430,0,,
431,0,,
432,,670,1000
433,6000,650,
434,0,,
435,0,300,
436,0,,
437,1900,,4200
438,12000,,1500
439,,,
440,100,450,86000
441,0,,2400
442,4000,660,100
443,0,,5000
444,0,,
445,0,,
446,0,,
447,,,
448,0,,
449,8000,720,
450,0,568,250
451,0,763,250
452,0,,3000
453,0,576,400
454,0,,
455,3000,610,175
456,,,
457,500,616,62000
458,,,
459,0,,
460,0,,
461,50,660,2100
462,,,
463,0,,550
464,,,
465,0,,15000
466,0,,
467,0,,
468,0,,
469,,,
470,0,,
471,0,680,
472,,700,30000
473,0,300,15000
474,0,,
475,,,
476,0,560,435
477,200,650,4580
478,2200,,
479,0,,
480,0,,
481,0,,
482,0,,
483,,568,
484,0,,
485,,,
486,0,,
487,0,,
488,0,,
489,0,553,30100
490,10000,680,
491,0,700,
492,0,490,15000
493,0,,
494,,,600
495,0,,
496,,,
497,650,,
498,,,
499,,600,6000
500,,400,6000
501,,670,
502,56000,777,94000
503,,,
504,,,
505,,,
506,800,,
507,0,,
508,1000,,
509,,,
510,,,
511,,,
512,0,727,3000
513,,,
514,120,720,
515,0,500,
516,,,
517,0,,700
518,200,,
519,,,800
520,0,,
521,,,
522,0,,
523,0,,
524,0,500,5000
525,,,
526,0,,
527,0,,
528,,,
529,,,14000
530,,,
531,200,,
532,0,,
533,,635,6000
534,,,
535,,,
536,,,
537,,,
538,0,,
539,0,,
540,,,
541,,,
542,,,
543,0,,
544,150,,
