,FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
0,No,Not at all confident,No,Yes,No,Yes
1,No,Not at all confident,No,No,No,No
2,Yes,Very confident,No,No,Yes,No
3,Yes,Not at all confident,No,No,No,Yes
4,No,Not at all confident,No,No,No,Yes
5,No,Not at all confident,No,No,No,No
6,No,Very confident,No,No,No,No
7,Yes,Very confident,Yes,Yes,No,Yes
8,No,Not at all confident,No,No,No,No
9,No,Somewhat confident,No,No,No,Yes
10,No,Not at all confident,No,No,No,No
11,No,Not at all confident,No,No,No,Yes
12,No,Not at all confident,No,No,Yes,No
13,No,Somewhat confident,Yes,No,No,Yes
14,No,Somewhat confident,No,No,Yes,No
15,No,Not at all confident,No,No,No,No
16,No,Somewhat confident,No,No,Yes,Yes
17,Yes,Somewhat confident,Yes,Yes,No,Yes
18,Yes,Very confident,Yes,No,Yes,Yes
19,Yes,Somewhat confident,Yes,No,No,Yes
20,Yes,Very confident,No,No,Yes,Yes
21,No,Not at all confident,No,No,Yes,No
22,No,Not at all confident,No,No,No,No
23,Yes,Somewhat confident,No,No,No,Yes
24,No,Not at all confident,No,No,No,No
25,No,Somewhat confident,Yes,No,No,No
26,Yes,Somewhat confident,No,No,No,No
27,No,Not at all confident,No,No,No,Yes
28,No,Not at all confident,No,No,No,No
29,Yes,Somewhat confident,No,No,No,No
30,Yes,Somewhat confident,No,No,No,Yes
31,No,Not at all confident,No,No,No,No
32,No,Not at all confident,No,No,No,No
33,No,Not at all confident,No,No,No,No
34,No,Not at all confident,No,No,No,No
35,No,Not at all confident,No,No,No,No
36,No,Somewhat confident,No,Yes,Yes,No
37,No,Not at all confident,No,No,No,No
38,Yes,Very confident,Yes,Yes,Yes,Yes
39,No,Not at all confident,No,No,Yes,No
40,No,Not at all confident,No,No,No,No
41,No,Not at all confident,No,No,No,No
42,No,Not at all confident,No,No,No,No
43,No,Somewhat confident,No,No,No,No
44,Yes,Somewhat confident,No,No,No,Yes
45,No,Not at all confident,No,No,No,Yes
46,No,Somewhat confident,Yes,Yes,Yes,No
47,Yes,Somewhat confident,No,No,Yes,Yes
48,No,Not at all confident,No,No,No,No
49,No,Somewhat confident,Yes,No,No,Yes
50,No,Not at all confident,No,No,No,No
51,No,Not at all confident,No,No,Yes,No
52,,,,,,
53,,,,,,
54,No,Very confident,No,Yes,No,Yes
55,No,Somewhat confident,No,No,No,No
56,,,,,,
57,Yes,Very confident,No,No,No,Yes
58,Yes,Very confident,No,No,Yes,Yes
59,Yes,Very confident,Yes,No,Yes,Yes
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,Yes,Very confident,Yes,No,,Yes
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,No,Very confident,No,Yes,No,Yes
78,,,,,,
79,,,,,,
80,,,,,,
81,Yes,Very confident,No,No,Yes,Yes
82,,,,,,
83,,,,,,
84,,,,,,
85,Yes,Somewhat confident,No,No,Yes,Yes
