,IncomeClient,IncomeHH,PublicBenefits,ExpensesHH
0,1960.0,1960.0,0.0,2266.0
1,0.0,527.0,0.0,1257.0
2,551.54,2701.54,0.0,2809.0
3,1166.0,1166.0,0.0,3936.0
4,0.0,1500.0,530.0,1700.0
5,0.0,0.0,0.0,1664.0
6,1220.0,3780.0,0.0,3753.0
7,0.0,0.0,0.0,2500.0
8,0.0,0.0,1886.2,1727.9
9,1450.0,1450.0,750.0,1401.0
10,0.0,0.0,0.0,1578.0
11,0.0,0.0,511.0,1189.0
12,0.0,1870.0,0.0,1751.0
13,1811.2,1811.2,414.48,2686.25
14,1760.0,1760.0,187.0,1566.0
15,0.0,0.0,0.0,1873.0
16,1600.0,2800.0,0.0,1494.0
17,518.0,1670.0,90.0,2931.0
18,1152.0,1152.0,330.0,1551.13
19,0.0,0.0,483.0,2708.0
20,2640.0,3040.0,40.0,2500.0
21,0.0,1408.0,0.0,1355.0
22,0.0,0.0,0.0,1226.0
23,0.0,0.0,1500.0,2176.0
24,0.0,0.0,0.0,2275.0
25,0.0,0.0,1635.0,1485.0
26,1600.0,2240.0,0.0,1066.0
27,0.0,1023.0,0.0,1280.0
28,0.0,0.0,0.0,3104.0
29,1800.0,3000.0,0.0,3800.0
30,0.0,2600.0,0.0,2900.0
31,3539.0,5060.16,0.0,5622.98
32,0.0,0.0,809.0,969.0
33,788.0,788.0,0.0,2600.0
34,0.0,1280.0,310.0,2084.0
35,520.0,520.0,1236.0,2017.0
36,2160.0,2160.0,0.0,1674.97
37,1700.0,1700.0,0.0,3648.0
38,2300.0,2300.0,0.0,1310.0
39,522.0,1471.0,0.0,1310.0
40,0.0,800.0,194.0,1490.0
41,932.0,932.0,0.0,1404.0
42,0.0,1400.0,0.0,2000.0
43,1760.0,1760.0,0.0,1218.0
44,0.0,0.0,1224.0,1820.0
45,0.0,0.0,0.0,1318.0
46,1974.48,1974.48,0.0,1537.0
47,1300.0,1300.0,0.0,1377.0
48,0.0,0.0,575.0,1527.0
49,1400.0,1400.0,197.0,2170.0
50,754.0,754.0,935.0,2142.0
51,0.0,640.0,1528.0,1857.0
52,900.0,900.0,612.0,
53,,,,
54,650.0,650.0,192.0,
55,1600.0,1600.0,,1812.0
56,,,,
57,1300.0,1300.0,,
58,700.0,1900.0,0.0,
59,1600.0,1600.0,0.0,
60,,,,
61,,,1239.0,
62,1000.0,1000.0,500.0,
63,0.0,1200.0,150.0,
64,1400.0,1400.0,,
65,,5000.0,511.0,
66,0.0,0.0,,
67,220.0,220.0,,
68,1400.0,1400.0,,
69,,,815.0,
70,3000.0,3000.0,,
71,,,,
72,1700.0,5100.0,782.0,
73,3320.0,3320.0,,
74,0.0,1100.0,700.0,
75,1978.0,1978.0,0.0,
76,590.0,590.0,511.0,
77,1638.0,2838.0,0.0,
78,0.0,0.0,,
79,,,,
80,,,,
81,,1000.0,300.0,
82,0.0,1800.0,,
83,600.0,600.0,,
84,1750.0,1750.0,1146.0,
85,1783.0,1783.0,,
86,5500.0,8700.0,0.0,
87,0.0,800.0,440.0,
88,2900.0,2900.0,570.0,
89,,,,
90,,,,
91,,1700.0,,
92,,2500.0,,
93,300.0,300.0,,
94,1100.0,1100.0,356.0,
95,0.0,600.0,,
96,200.0,200.0,,
97,,,,
