,FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
0,No,Not at all confident,No,No,No,Yes
1,Yes,Very confident,No,No,No,No
2,Yes,Somewhat confident,No,Yes,Yes,Yes
3,No,Somewhat confident,No,No,Yes,Yes
4,Yes,Very confident,No,Yes,Yes,No
5,Yes,Somewhat confident,No,Yes,No,Yes
6,Yes,Somewhat confident,No,No,No,Yes
7,No,Very confident,No,Yes,No,Yes
8,Yes,Somewhat confident,No,Yes,Yes,No
9,Yes,Very confident,No,Yes,Yes,No
10,No,Very confident,No,No,Yes,Yes
11,Yes,Very confident,No,No,Yes,Yes
