,BenefitsScreening,PublicBenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
0,Yes,No,Yes,Yes,Yes,Yes,3
1,No,No,Yes,Yes,Yes,Yes,3
2,Yes,Yes,Yes,Yes,Yes,Yes,3
3,Yes,No,Yes,Yes,Yes,Yes,3
4,No,No,Yes,Yes,Yes,Yes,3
5,No,No,Yes,Yes,Yes,Yes,3
6,No,No,Yes,Yes,Yes,Yes,3
7,Yes,Yes,Yes,Yes,Yes,Yes,3
8,Yes,Yes,Yes,Yes,Yes,No,2
9,Yes,Yes,Yes,Yes,No,No,1
10,Yes,Yes,Yes,Yes,Yes,No,2
11,Yes,No,Yes,Yes,Yes,No,2
12,No,Yes,Yes,Yes,Yes,Yes,3
13,Yes,No,Yes,Yes,Yes,Yes,3
14,Yes,Yes,Yes,Yes,Yes,Yes,3
15,No,No,Yes,Yes,Yes,Yes,3
16,Yes,Yes,Yes,Yes,Yes,Yes,3
17,Yes,Yes,Yes,Yes,Yes,Yes,3
18,Yes,Yes,Yes,Yes,Yes,No,2
19,Yes,No,No,Yes,Yes,Yes,3
20,Yes,Yes,Yes,Yes,Yes,Yes,3
21,No,,Yes,Yes,Yes,Yes,3
22,Yes,Yes,Yes,Yes,Yes,No,2
23,Yes,Yes,Yes,Yes,No,Yes,2
24,Yes,,Yes,Yes,Yes,Yes,3
25,Yes,Yes,Yes,Yes,Yes,Yes,3
26,Yes,Yes,Yes,Yes,Yes,Yes,3
27,Yes,Yes,Yes,Yes,No,Yes,2
28,Yes,Yes,Yes,Yes,Yes,Yes,3
29,Yes,Yes,Yes,Yes,Yes,Yes,3
30,No,No,Yes,Yes,Yes,Yes,3
31,Yes,Yes,Yes,Yes,Yes,No,2
32,Yes,Yes,Yes,Yes,Yes,No,2
33,Yes,Yes,Yes,Yes,Yes,No,2
34,No,No,Yes,Yes,Yes,Yes,3
35,Yes,No,Yes,Yes,Yes,Yes,3
36,No,No,Yes,Yes,Yes,Yes,3
37,Yes,Yes,Yes,Yes,Yes,Yes,3
38,Yes,No,Yes,Yes,Yes,Yes,3
39,Yes,Yes,Yes,Yes,Yes,Yes,3
40,Yes,Yes,Yes,Yes,Yes,Yes,3
41,Yes,Yes,Yes,Yes,Yes,Yes,3
42,Yes,No,Yes,Yes,Yes,Yes,3
43,Yes,No,Yes,Yes,Yes,Yes,3
44,Yes,Yes,Yes,Yes,Yes,Yes,3
45,Yes,No,Yes,Yes,Yes,Yes,3
46,Yes,Yes,Yes,Yes,Yes,Yes,3
47,Yes,Yes,Yes,Yes,Yes,Yes,3
48,Yes,Yes,Yes,Yes,Yes,Yes,3
49,Yes,No,Yes,Yes,Yes,Yes,3
50,Yes,Yes,Yes,Yes,Yes,Yes,3
51,Yes,Yes,Yes,Yes,Yes,Yes,3
52,Yes,Yes,Yes,Yes,Yes,Yes,3
53,Yes,Yes,Yes,Yes,Yes,Yes,3
54,Yes,Yes,Yes,Yes,Yes,Yes,3
55,Yes,Yes,Yes,Yes,Yes,Yes,3
56,Yes,Yes,Yes,Yes,Yes,Yes,3
57,Yes,No,Yes,Yes,Yes,Yes,3
58,Yes,Yes,Yes,Yes,Yes,Yes,3
59,Yes,No,Yes,Yes,No,Yes,2
60,Yes,No,Yes,Yes,No,Yes,2
61,Yes,No,Yes,Yes,Yes,Yes,3
62,Yes,No,Yes,Yes,Yes,Yes,3
63,Yes,Yes,Yes,Yes,Yes,Yes,3
64,Yes,No,Yes,Yes,No,Yes,2
65,Yes,No,Yes,Yes,Yes,Yes,3
66,Yes,No,Yes,Yes,Yes,Yes,3
67,Yes,No,Yes,Yes,No,Yes,2
68,Yes,No,Yes,Yes,Yes,Yes,3
69,Yes,No,Yes,Yes,Yes,Yes,3
70,Yes,Yes,Yes,Yes,No,Yes,2
71,Yes,No,Yes,Yes,Yes,Yes,3
72,Yes,No,Yes,Yes,No,Yes,2
73,Yes,No,No,Yes,Yes,Yes,3
74,Yes,No,Yes,Yes,Yes,Yes,3
75,Yes,Yes,Yes,Yes,Yes,Yes,3
76,Yes,Yes,Yes,Yes,Yes,Yes,3
77,,,,No,No,No,0
78,Yes,No,Yes,Yes,No,Yes,2
79,Yes,No,Yes,Yes,No,Yes,2
80,Yes,No,Yes,Yes,No,Yes,2
81,Yes,No,Yes,Yes,No,Yes,2
82,Yes,No,Yes,Yes,Yes,Yes,3
83,Yes,No,Yes,Yes,No,Yes,2
84,Yes,No,Yes,Yes,No,Yes,2
85,Yes,No,Yes,Yes,Yes,Yes,3
86,Yes,No,Yes,Yes,Yes,Yes,3
87,Yes,No,Yes,Yes,Yes,Yes,3
88,Yes,No,Yes,Yes,No,Yes,2
89,Yes,No,Yes,Yes,Yes,Yes,3
90,Yes,No,Yes,Yes,No,Yes,2
91,Yes,No,Yes,Yes,Yes,Yes,3
92,Yes,No,Yes,Yes,Yes,Yes,3
93,Yes,No,Yes,Yes,No,Yes,2
94,Yes,No,Yes,Yes,No,Yes,2
95,Yes,No,Yes,Yes,Yes,Yes,3
96,Yes,Yes,Yes,Yes,No,Yes,2
97,Yes,No,Yes,Yes,Yes,Yes,3
98,Yes,No,Yes,Yes,Yes,Yes,3
99,Yes,No,Yes,Yes,Yes,Yes,3
100,No,Yes,Yes,Yes,Yes,Yes,3
101,Yes,Yes,Yes,Yes,Yes,Yes,3
102,Yes,Yes,Yes,Yes,Yes,Yes,3
103,Yes,No,Yes,Yes,Yes,Yes,3
104,Yes,No,Yes,Yes,Yes,Yes,3
105,Yes,Yes,Yes,Yes,Yes,Yes,3
106,No,,,No,Yes,Yes,2
107,Yes,,,Yes,Yes,Yes,3
108,No,,,No,Yes,Yes,2
109,No,,,No,Yes,Yes,2
110,No,,,No,Yes,Yes,2
111,No,,,No,Yes,Yes,2
112,No,,,No,Yes,Yes,2
113,Yes,,,Yes,Yes,Yes,3
114,No,,,No,Yes,Yes,2
115,Yes,,,Yes,Yes,Yes,3
116,No,,,No,Yes,Yes,2
117,No,,,No,Yes,Yes,2
118,No,,,No,Yes,Yes,2
119,No,,,No,Yes,Yes,2
120,No,,,No,Yes,Yes,2
121,No,,,No,Yes,Yes,2
122,Yes,,,Yes,Yes,Yes,3
123,Yes,,,Yes,Yes,Yes,3
124,No,,,No,Yes,Yes,2
125,No,,,No,Yes,Yes,2
126,Yes,,,Yes,Yes,Yes,3
127,No,,,No,Yes,Yes,2
128,No,,,No,Yes,Yes,2
129,No,,,No,Yes,Yes,2
130,No,,,No,Yes,Yes,2
131,No,,,No,Yes,Yes,2
132,No,,,No,Yes,Yes,2
133,,,Yes,Yes,No,Yes,2
134,,,Yes,Yes,Yes,Yes,3
135,,,Yes,Yes,Yes,Yes,3
136,,,Yes,Yes,Yes,Yes,3
137,,,Yes,Yes,Yes,Yes,3
138,,,Yes,Yes,Yes,Yes,3
139,,,Yes,Yes,Yes,Yes,3
140,,,Yes,Yes,Yes,Yes,3
141,,,Yes,Yes,Yes,Yes,3
142,,,Yes,Yes,Yes,Yes,3
143,,,Yes,Yes,Yes,Yes,3
144,,,Yes,Yes,Yes,Yes,3
145,No,No,Yes,Yes,No,Yes,2
146,No,No,Yes,Yes,No,Yes,2
147,Yes,Yes,Yes,Yes,No,Yes,2
148,,No,Yes,Yes,Yes,Yes,3
149,Yes,Yes,Yes,Yes,Yes,Yes,3
150,,,Yes,Yes,Yes,Yes,3
151,,,Yes,Yes,Yes,No,2
152,,,,No,Yes,Yes,2
153,,,,No,Yes,Yes,2
154,,,,No,Yes,Yes,2
155,,,,No,Yes,Yes,2
156,,,Yes,Yes,Yes,Yes,3
157,,,,No,Yes,Yes,2
158,,,,No,Yes,Yes,2
159,,,,No,Yes,Yes,2
160,,,,No,Yes,Yes,2
161,,,,No,Yes,Yes,2
162,,,,No,Yes,Yes,2
163,,,,No,Yes,Yes,2
164,,,,No,Yes,Yes,2
165,,,,No,Yes,Yes,2
166,,,,No,Yes,Yes,2
167,,,,No,Yes,Yes,2
168,,,,No,Yes,Yes,2
169,,,,No,Yes,Yes,2
170,,,,No,Yes,Yes,2
171,,,,No,Yes,Yes,2
172,,,,No,Yes,Yes,2
173,,,,No,Yes,Yes,2
174,,,,No,Yes,Yes,2
175,,,,No,Yes,Yes,2
176,,,,No,Yes,Yes,2
177,,,,No,Yes,Yes,2
178,,,,No,Yes,Yes,2
179,,,,No,Yes,Yes,2
180,,,,No,Yes,Yes,2
181,,,,No,Yes,Yes,2
