,Wages1,Hours1,Wages2,Hours2
0,15.0,,,40.0
1,15.0,40.0,,
2,,,,
3,4837.5,40.0,,
4,,,,
5,,,,
6,,,,
7,11.0,40.0,,
8,15.0,40.0,,
9,,,,
10,12.0,40.0,,
11,,,,
12,15.0,40.0,,
13,15.0,40.0,,
14,,,,
15,,,,
16,15.0,40.0,,
17,13.5,40.0,,
18,10.0,32.0,,
19,13.0,40.0,,
20,15.0,40.0,,
21,10.5,29.0,,
22,,,,
23,,,,
24,11.5,40.0,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,14.11,40.0,,
33,,,,
34,16.96,66.0,,
35,,,,
36,,,,
37,,,,
38,12.0,40.0,9.0,15.0
39,12.0,40.0,,
40,12.0,40.0,18.0,9.0
41,24.25,40.0,,
42,11.5,40.0,,
43,11.5,40.0,,
44,0.0,0.0,,
45,23.0,40.0,,
46,0.0,0.0,,
47,8.34,30.0,,
48,11.6,30.0,,
49,0.0,0.0,,
50,10.0,40.0,,
51,16.0,40.0,,
52,0.0,0.0,,
53,10.0,15.0,,
54,0.0,0.0,,
55,100.0,3.0,,
56,13.0,40.0,,
57,17.0,40.0,,
58,11.5,30.0,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,14.0,40.0,,
67,,,,
68,9.5,15.0,,
69,,,,
70,,,,
71,,,,
72,,,,
73,8.0,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,0.0,0.0,0.0,0.0
79,28.85,40.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,6.0,15.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,15.0,40.0,0.0,0.0
85,23.0,40.0,0.0,0.0
86,9.38,40.0,0.0,0.0
87,13.0,40.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,25.96,40.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,15.0,20.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,10.0,40.0,,
113,,,,
114,15.16,40.0,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,15.62,40.0,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,13.0,40.0,,
131,,,,
132,,,,
133,,,,
134,10.0,30.0,,
135,10.5,10.0,,
136,,,,
137,,,,
138,,,,
139,,,,
140,10.0,40.0,,
141,,,,
142,10.04,40.0,,
143,,,,
144,,,,
145,8.75,35.0,,
146,,,,
147,10.0,32.0,,
148,,,,
149,,,,
150,,,,
151,,,,
152,0.0,,,
153,0.0,,,
154,0.0,,,
155,0.0,,,
156,0.0,,,
157,0.0,,,
158,0.0,,,
159,13.0,40.0,,
160,0.0,,,
161,,,,
162,0.0,,,
163,0.0,,,
164,0.0,,,
165,0.0,,,
166,0.0,,,
167,0.0,,,
168,,,,
169,0.0,,,
170,,,,
171,0.0,,,
172,17.5,40.0,,
173,0.0,,,
174,0.0,,,
175,0.0,,,
176,12.35,25.0,,
177,0.0,,,
178,0.0,,,
179,0.0,,,
180,,,,
181,0.0,,,
