,Client ID,Quarter,Baseline,date
0,24453097986,2019 Q3,0,9/1/2019
1,24453098101,2019 Q3,0,9/1/2019
2,24453093953,2019 Q3,0,9/1/2019
3,24453095847,2019 Q3,0,9/1/2019
4,24453097871,2019 Q3,0,9/1/2019
5,24453098396,2019 Q3,0,9/1/2019
6,24453092773,2019 Q3,0,9/1/2019
7,24453092732,2019 Q3,0,9/1/2019
8,24453098524,2019 Q3,0,9/1/2019
9,24453097480,2019 Q3,0,9/1/2019
10,24453096160,2019 Q3,0,9/1/2019
11,24453098299,2019 Q3,0,9/1/2019
12,24453087746,2019 Q3,0,9/1/2019
13,24453098332,2019 Q3,0,9/1/2019
14,24453098402,2019 Q3,0,9/1/2019
15,24453097981,2019 Q3,0,9/1/2019
16,24453098487,2019 Q3,0,9/1/2019
17,24453098503,2019 Q3,0,9/1/2019
18,24453098461,2019 Q3,0,9/1/2019
19,24453098504,2019 Q3,0,9/1/2019
20,24453098557,2019 Q3,0,9/1/2019
21,24453098570,2019 Q3,0,9/1/2019
22,24453098680,2019 Q3,1,9/1/2019
23,24453067785,2019 Q3,1,9/1/2019
24,24453097152,2019 Q3,1,9/1/2019
25,24453098698,2019 Q3,1,9/1/2019
26,2418412,2019 Q3,1,9/1/2019
27,24453098683,2019 Q3,1,9/1/2019
28,24453098619,2019 Q3,1,9/1/2019
29,2330122,2019 Q3,0,9/1/2019
30,2328761,2019 Q3,0,9/1/2019
31,2314436,2019 Q3,0,9/1/2019
32,2330829,2019 Q3,0,9/1/2019
33,2328247,2019 Q3,0,9/1/2019
34,2313654,2019 Q3,0,9/1/2019
35,2315897,2019 Q3,0,9/1/2019
36,2334860,2019 Q3,0,9/1/2019
37,2331214,2019 Q3,0,9/1/2019
38,2314155,2019 Q3,0,9/1/2019
39,231579,2019 Q3,0,9/1/2019
40,2334457,2019 Q3,0,9/1/2019
41,2328577,2019 Q3,0,9/1/2019
42,2334664,2019 Q3,0,9/1/2019
43,2316027,2019 Q3,1,9/1/2019
44,2316027,2019 Q3,0,9/1/2019
45,2312594,2019 Q3,1,9/1/2019
46,2312594,2019 Q3,0,9/1/2019
47,2334425,2019 Q3,1,9/1/2019
48,2334425,2019 Q3,0,9/1/2019
49,2334960,2019 Q3,1,9/1/2019
50,2334960,2019 Q3,0,9/1/2019
51,2331729,2019 Q3,1,9/1/2019
52,2331729,2019 Q3,0,9/1/2019
53,2333120,2019 Q3,1,9/1/2019
54,2333120,2019 Q3,0,9/1/2019
55,2334803,2019 Q3,1,9/1/2019
56,2334803,2019 Q3,0,9/1/2019
57,251526654,2019 Q3,1,9/1/2019
58,25118490,2019 Q3,1,9/1/2019
59,25194739,2019 Q3,1,9/1/2019
60,25188195,2019 Q3,1,9/1/2019
61,25188508,2019 Q3,1,9/1/2019
62,25057268,2019 Q3,1,9/1/2019
63,25195140,2019 Q3,1,9/1/2019
64,25161133,2019 Q3,1,9/1/2019
65,25192627,2019 Q3,1,9/1/2019
66,25106991,2019 Q3,1,9/1/2019
67,25118492,2019 Q3,1,9/1/2019
68,25189519,2019 Q3,1,9/1/2019
69,25151839,2019 Q3,1,9/1/2019
70,25197410,2019 Q3,1,9/1/2019
71,25193099,2019 Q3,1,9/1/2019
72,25138542,2019 Q3,1,9/1/2019
73,2192067,2019 Q3,1,9/1/2019
74,25106239,2019 Q3,1,9/1/2019
75,25190073,2019 Q3,1,9/1/2019
76,25110311,2019 Q3,0,9/1/2019
77,25169297,2019 Q3,0,9/1/2019
78,25118750,2019 Q3,0,9/1/2019
79,25051455,2019 Q3,0,9/1/2019
80,25074881,2019 Q3,0,9/1/2019
81,25157001,2019 Q3,0,9/1/2019
82,26a02i000000U4aVp,2019 Q3,1,9/1/2019
83,26a021Y00000udxWo,2019 Q3,1,9/1/2019
84,26a021Y00000vQyjr,2019 Q3,1,9/1/2019
85,26a021Y00000ux1ns,2019 Q3,1,9/1/2019
86,26a021Y00000skLgk,2019 Q3,1,9/1/2019
87,26a021Y00000uwM8f,2019 Q3,1,9/1/2019
88,26a02i000000lvZbz,2019 Q3,1,9/1/2019
89,26a02i000000Eqjqk,2019 Q3,1,9/1/2019
90,26a02i000000YZA5S,2019 Q3,1,9/1/2019
91,26a02i000000J5HHZ,2019 Q3,1,9/1/2019
92,26a021Y00000uwqgq,2019 Q3,1,9/1/2019
93,26a021Y00000tNyee,2019 Q3,1,9/1/2019
94,26a021Y00000sFqir,2019 Q3,1,9/1/2019
95,26a02i000000Eqo6R,2019 Q3,1,9/1/2019
96,26a02i000000Eqk5T,2019 Q3,1,9/1/2019
97,26a021Y00000uwvKa,2019 Q3,1,9/1/2019
98,26a02i000000EqnXy,2019 Q3,1,9/1/2019
99,26a021Y00000vROZ0,2019 Q3,1,9/1/2019
100,26a021Y00000uwvRi,2019 Q3,1,9/1/2019
101,26a021Y00000uwcT6,2019 Q3,1,9/1/2019
102,26a021Y00000sl0GX,2019 Q3,1,9/1/2019
103,26a02i000000Eqmhi,2019 Q3,1,9/1/2019
104,26a021Y00000sJGZQ,2019 Q3,1,9/1/2019
105,26a02i000000by0mh,2019 Q3,1,9/1/2019
106,26a021Y00000sjtdh,2019 Q3,1,9/1/2019
107,26a021Y00000uwzLU,2019 Q3,1,9/1/2019
108,2095534,2019 Q3,1,9/1/2019
109,2094278,2019 Q3,1,9/1/2019
110,2094274,2019 Q3,1,9/1/2019
111,2093432,2019 Q3,1,9/1/2019
112,2094279,2019 Q3,1,9/1/2019
113,2090022,2019 Q3,1,9/1/2019
114,2008154,2019 Q3,1,9/1/2019
115,2091183,2019 Q3,1,9/1/2019
116,2091847,2019 Q3,1,9/1/2019
117,2017442,2019 Q3,1,9/1/2019
118,2095535,2019 Q3,1,9/1/2019
119,2093127,2019 Q3,1,9/1/2019
120,2092146,2019 Q3,1,9/1/2019
121,2094050,2019 Q3,1,9/1/2019
122,2085913,2019 Q3,1,9/1/2019
123,2094051,2019 Q3,1,9/1/2019
124,2092333,2019 Q3,1,9/1/2019
125,2092509,2019 Q3,1,9/1/2019
126,2050053,2019 Q3,1,9/1/2019
127,2091041,2019 Q3,0,9/1/2019
128,2071491,2019 Q3,1,9/1/2019
129,2068957,2019 Q3,1,9/1/2019
130,2006607,2019 Q3,0,9/1/2019
131,2075468,2019 Q3,1,9/1/2019
132,2006266,2019 Q3,1,9/1/2019
