,Savings,CreditScore,Debt
0,600,565,0
1,150,600,3000
2,100,550,
3,0,,
4,200,501,2500
5,368,,
6,60,580,3000
7,3000,400,2500
8,0,,600
9,0,,
10,0,,
11,,,
12,25,,
13,0,,
14,,635,
15,,,
16,,,
17,10,,
18,,,
19,,,
20,,,
21,,650,
22,,,
23,,,
24,,,
25,25,500,
26,,400,
27,,,
28,,550,
29,100,520,30000
30,200,531,8000
31,0,665,219193
32,100000,733,224000
33,2000,610,7982
34,100,520,2000
35,0,597,0
36,30000,813,0
37,0,516,9000
38,100,669,10000
39,0,395,2200
40,1025,511,30000
41,0,708,16000
42,0,760,200
43,0,495,7737
44,0,579,240000
45,0,496,32000
46,0,496,32000
47,2000,512,16063
48,2.34,574,16063
49,4000,400,20000
50,3400,400,20000
51,0,833,32000
52,0,833,32000
53,500,562,20000
54,0,590,20000
55,1283.61,800,142741.36
56,1283.61,773,141465
57,,,12000
58,,,800
59,,,0
60,90,,7000
61,,,14500
62,,,96000
63,,,0
64,,,0
65,,,5000
66,0,,120000
67,0,,0
68,,,10000
69,,,15000
70,,,6370
71,,,1000
72,,,0
73,,,0
74,,,45000
75,50,,200
76,,,0
77,1200,,22000
78,,,800
79,,,0
80,500,,0
81,,,0
82,,,
83,,,1800
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,0,,0
109,,,
110,,,
111,0,545,15000
112,,,
113,,,
114,0,540,
115,,440,
116,,,
117,0,526,13000
118,,,
119,300,552,
120,,,
121,0,,10000
122,,,
123,,,
124,,,
125,,524,
126,,,
127,0,,
128,,,
129,,542,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,0,640,20000
139,,,
140,,,
141,,,
142,0,710,3600
143,0,,
144,,,
145,,,
146,,,
147,,,24000
148,,,
149,,,
150,,,
151,0,,
152,,,
153,0,,
154,600,,
155,,,
156,,,
157,0,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,500,
175,0,,3000
176,0,,4800
177,,,
178,,,
179,,,
180,0,679,64879
181,0,610,8000
182,0,,1200
183,0,570,84000
184,0,,127000
185,0,673,13462
186,0,,3000
187,0,539,30000
188,0,,1100
