,IncomeClient,IncomeHH,PublicBenefits,ExpensesHH
0,2400.0,2400.0,0.0,1200.0
1,2400.0,2400.0,0.0,1934.0
2,2400.0,2400.0,100.0,1800.0
3,,,400.0,100.0
4,2000.0,2400.0,350.0,600.0
5,2048.0,2048.0,,1100.0
6,2400.0,3000.0,0.0,2758.0
7,2400.0,4000.0,0.0,1500.0
8,2040.0,2040.0,0.0,
9,,,197.0,800.0
10,2880.0,2880.0,230.0,1900.0
11,1920.0,1920.0,0.0,1300.0
12,1912.0,1912.0,300.0,1200.0
13,1100.0,1100.0,0.0,900.0
14,1320.0,1320.0,0.0,800.0
15,2880.0,2880.0,0.0,1250.0
16,2500.0,2500.0,0.0,1400.0
17,2300.0,2300.0,,
18,2445.0,2445.0,0.0,
19,2400.0,2600.0,420.0,1200.0
20,,400.0,0.0,
21,1824.0,1824.0,1.0,850.0
22,,2500.0,1.0,950.0
23,,,1.0,
24,1976.0,1976.0,1.0,1200.0
25,1600.0,1600.0,1.0,200.0
26,850.0,850.0,1.0,
27,,3000.0,0.0,
28,1600.0,1600.0,1.0,700.0
29,2460.0,2460.0,0.0,2280.0
30,3060.0,3060.0,11.0,3200.0
31,5080.0,5080.0,326.0,3000.0
32,1880.0,7673.0,0.0,3457.0
33,0.0,0.0,353.0,1654.0
34,1296.0,2296.0,43.0,2100.0
35,1600.0,1600.0,0.0,1320.0
36,1820.0,1820.0,0.0,1300.0
37,0.0,1000.0,0.0,2455.0
38,1680.0,1680.0,300.0,3900.0
39,540.0,540.0,775.0,800.0
40,2240.0,2240.0,1026.0,1200.0
41,1680.0,1680.0,0.0,2966.0
42,1380.0,1380.0,0.0,2500.0
43,2400.0,5600.0,0.0,4722.0
44,2560.0,5560.0,0.0,4722.0
45,0.0,0.0,0.0,1150.0
46,2240.0,2240.0,0.0,1150.0
47,1760.0,1760.0,139.0,1735.0
48,1200.0,1200.0,139.0,1735.0
49,1080.0,3400.0,0.0,2300.0
50,1440.0,3760.0,0.0,2300.0
51,2560.0,2560.0,0.0,3000.0
52,3440.0,3440.0,0.0,3000.0
53,1140.0,1140.0,326.0,1879.0
54,1200.0,1200.0,326.0,1879.0
55,4424.0,4424.0,0.0,3226.0
56,4675.0,4675.0,0.0,3226.0
57,1692.0,2300.0,0.0,1692.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,1860.0
61,920.0,920.0,59.0,1200.0
62,1800.0,1800.0,0.0,2754.0
63,480.0,480.0,0.0,0.0
64,2400.0,2400.0,0.0,2200.0
65,0.0,0.0,0.0,2400.0
66,3450.0,3450.0,0.0,2316.0
67,870.0,870.0,0.0,800.0
68,2200.0,2200.0,0.0,3000.0
69,2400.0,2400.0,450.0,3000.0
70,2500.0,2500.0,0.0,2600.0
71,1019.0,1019.0,0.0,1000.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,2400.0,2400.0,0.0,1800.0
75,1500.0,1500.0,0.0,0.0
76,640.0,1152.0,720.0,0.0
77,2140.0,2140.0,0.0,2700.0
78,4800.0,4800.0,0.0,1100.0
79,1023.0,2583.0,0.0,1700.0
80,1200.0,1200.0,0.0,600.0
81,960.0,2960.0,0.0,1500.0
82,1440.0,1440.0,,
83,1450.0,1450.0,186.0,2560.0
84,2500.0,2500.0,,
85,1400.0,1400.0,,
86,3574.0,3574.0,,1735.0
87,2100.0,2100.0,,
88,3770.0,3770.0,,
89,1000.0,1000.0,,
90,5083.0,5083.0,,
91,1600.0,1600.0,,2126.0
92,1863.0,1863.0,,
93,1271.0,1271.0,,
94,1500.0,1500.0,,
95,1223.5,1223.5,,1780.0
96,0.0,0.0,,
97,1167.0,1167.0,,
98,2500.0,2500.0,,
99,2200.0,2200.0,,
100,1300.0,1300.0,,
101,2779.0,2779.0,,
102,2269.0,2269.0,,
103,1450.0,1450.0,,
104,2500.0,2500.0,,
105,0.0,5000.0,,
106,1666.0,1666.0,,
107,2014.0,2014.0,,
108,400.0,,0.0,
109,550.0,,0.0,
110,,,,
111,1800.0,,0.0,2128.0
112,,,,
113,952.0,,,
114,1200.0,,0.0,
115,,,,
116,1346.0,,,
117,1100.0,1100.0,0.0,900.0
118,,,,
119,2200.0,3000.0,229.0,3000.0
120,,,,
