recordid,clientid,quarter,date,baseline_baseline,employmentid,financialsid,fincapid,wagesid,incomeexpensesid,bundledservicesid
4080,1949333,2018 Q1,2018-01-01 00:00:00,t,4080,4080,4080,4080,4080,4080
6894,1939471,2018 Q4,2018-10-01 00:00:00,t,6894,6894,6894,6894,6894,6894
6915,1956438,2018 Q4,2018-10-01 00:00:00,t,6915,6915,6915,6915,6915,6915
6951,1954652,2018 Q4,2018-10-01 00:00:00,t,6951,6951,6951,6951,6951,6951
18536,1949333,2018 Q1,2018-01-01 00:00:00,f,18536,18536,18536,18536,18536,18536
20345,1949333,2018 Q2,2018-04-01 00:00:00,f,20345,20345,20345,20345,20345,20345
21918,1949333,2018 Q3,2018-07-01 00:00:00,f,21918,21918,21918,21918,21918,21918
23093,1949333,2018 Q4,2018-10-01 00:00:00,f,23093,23093,23093,23093,23093,23093
23558,1939471,2018 Q4,2018-10-01 00:00:00,f,23558,23558,23558,23558,23558,23558
23579,1956438,2018 Q4,2018-10-01 00:00:00,f,23579,23579,23579,23579,23579,23579
23615,1954652,2018 Q4,2018-10-01 00:00:00,f,23615,23615,23615,23615,23615,23615
25192,1959057,2019 Q1,2019-01-01 00:00:00,t,25192,25192,25192,25192,25192,25192
25219,1957245,2019 Q1,2019-01-01 00:00:00,t,25219,25219,25219,25219,25219,25219
25222,1958934,2019 Q1,2019-01-01 00:00:00,t,25222,25222,25222,25222,25222,25222
25253,1939471,2019 Q1,2019-01-01 00:00:00,f,25253,25253,25253,25253,25253,25253
25316,1954652,2019 Q1,2019-01-01 00:00:00,f,25316,25316,25316,25316,25316,25316
25346,1957245,2019 Q1,2019-01-01 00:00:00,f,25346,25346,25346,25346,25346,25346
25369,1958934,2019 Q1,2019-01-01 00:00:00,f,25369,25369,25369,25369,25369,25369
25372,1959057,2019 Q1,2019-01-01 00:00:00,f,25372,25372,25372,25372,25372,25372
