Wages1,Hours1,Wages2,Hours2
14,35,0,0
0,0,0,0
5,40,,
11,26.5,,
0,0,0,0
0,0,0,0
12.2,25,,
0,0,,
0,0,0,0
9,40,0,0
0,0,,
0,0,0,0
0,0,0,0
11.32,40,0,0
11,40,,
0,0,0,0
10,37,0,0
0,0,0,0
9.48,30,,
0,0,,
28,23,0,0
0,0,0,0
0,0,0,0
0,0,,
0,0,0,0
0,0,0,0
10,40,,
0,0,0,0
0,0,0,0
0,0,0,0
0,0,,
22.12,40,8,0
0,0,0,0
0,0,0,0
0,0,0,0
13,10,0,0
13.5,40,0,0
0,0,0,0
17,40,0,0
7.25,18,0,0
0,0,0,0
0,0,0,0
0,0,0,0
11,40,,
0,0,,
0,0,0,0
12.99,38,,
8.13,40,0,0
0,0,0,0
15,23,,
7.25,26,,
0,0,,
,,,
8,15,,
,,,
10,40,,
9,40,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
8.5,20,,
,,,
10,40,,
,,,
,,,
,,,
,,,
,,,
,,,
0,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
10,20,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,,,
10,20,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
10.5,30,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
12,14,,
,,,
,,,
12,15,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
9.5,40,,
9.5,40,,
,,,
9.5,40,,
9.5,40,,
,,,
,,,
,,,
9.5,40,,
,,,
,,,
,,,
,,,
9.5,40,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
9,40,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
13,40,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
10,40,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
10,30,,
,,,
,,,
,,,
10,20,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
10.5,40,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
9.5,40,,
,,,
10,20,,
,,,
,,,
,,,
11,40,,
11,40,,
,,,
,,,
,,,
,,,
,,,
,,,
9.5,40,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
8,25,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,,,
,,,
,,,
,,,
,,,
,,,
,,,
